area_name,baps_id
Alatornio,1
Alavus,2
Ambla,3
Anseküla,4
Asikkala,5
Audru,6
Eno,7
Haljala,8
Halliste,9
Hanila,10
Hargla,11
Harju-Jaani,12
Harju-Madise,13
Hartola,14
Hattula,15
Hauho,16
Heinjoki,17
Heinävesi,18
Helme,19
Hietamäki,20
Hollola,21
Hämeenlinna,22
Häädemeeste,23
Iisaku,24
Iisalmi,25
Ilomantsi,26
Impilahti,27
Isojoki,28
Jaakkima,29
Jaani,30
Jalasjärvi,31
Janakkala,32
Joroinen,33
Juuka,34
Juuru,35
Juva,36
Jällivaara,37
Järva-Jaani,38
Järva-Madise,39
Jõelähtme,40
Jõhvi,41
Jüri,42
Kaarma,43
Kaavi,44
Kadrina,45
Kalajoki,46
Kambja,47
Kanepi,48
Kangaslampi,49
Kangasniemi,50
Kankaanpää,51
Kaprio,52
Karja,53
Karksi,54
Karula,55
Karuna,56
Karuse,57
Kattila,58
Kauhava,59
Keila,60
Keltto,61
Kemi,62
Kerimäki,63
Kestilä,64
Kesälahti,65
Kiestinki,66
Kiihtelysvaara,67
Kiimaisjärvi,68
Kitee,69
Kittilä,70
Kiuruvesi,71
Kivennapa,72
Kivijärvi,73
Kodavere,74
Koeru,75
Koivisto,76
Kolga-Jaani,77
Kontiolahti,78
Kontokki,79
Koprina,80
Korpilahti,81
Korpiselkä,82
Kose,83
Kuhmo,84
Kuhmoinen,85
Kullamaa,86
Kuopio,87
Kupanitsa,88
Kurikka,89
Kursi,90
Kuusalu,91
Kuusamo,92
Käina,93
Kärla,94
Kõpu,95
Laihia,96
Laiuse,97
Lapinlahti,98
Lappee,99
Lavansaari,100
Lemi,101
Lempaala,102
Leppävirta,103
Liissilä,104
Liperi,105
Loppi,106
Luumäki,107
Lääne-Nigula,108
Lüganuse,109
Maaninka,110
Maarja-Magdaleena,111
Markkova,112
Martna,113
Metsäpirtti,114
Mihkli,115
Moloskovitsa,116
Muhos,117
Muhu,118
Muolaa,119
Mustjala,120
Muurla,121
Muuruvesi,122
Mynämäki,123
Mäntsälä,124
Mäntyharju,125
Märjamaa,126
Narvusi,127
Nilsiä,128
Nurmes,129
Nõo,130
Orimattila,131
Otepää,132
Oulu,133
Paide,134
Paistu,135
Palamuse,136
Paltamo,137
Peetri,138
Perho,139
Perniö,140
Pieksämäki,141
Pielavesi,142
Pielisjärvi,143
Piippola,144
Pilistvere,145
Pistojärvi,146
Porajärvi,147
Pudasjärvi,148
Puhja,149
Puolanka,150
Puumala,151
Pyhäjärvi Ol.,152
Pyhäjärvi Ul.,153
Pyhäjärvi Vpl.,154
Pälkjärvi,155
Pärnu,156
Pärnu-Jaagupi,157
Põltsamaa,158
Põlva,159
Pöide,160
Pöytyä,161
Pühalepa,162
Rakvere,163
Rannu,164
Ranua,165
Rapla,166
Rautavaara,167
Reigi,168
Renko,169
Repola,170
Ridala,171
Risti,172
Rovaniemi,173
Ruovesi,174
Räisälä,175
Räpina,176
Rääkkylä,177
Rääpyvä,178
Rõngu,179
Rõuge,180
Saarde,181
Saarijärvi,182
Sakkola,183
Salmi,184
Sangaste,185
Sauvo,186
Savitaipale,187
Savonlinna,188
Seiskari,189
Serepetta,190
Setumaa,191
Simo,192
Simuna,193
Skuoritsa,194
Soanlahti,195
Sodankylä,196
Soikkola,197
Somerniemi,198
Somero,199
Sonkajärvi,200
Sortavala,201
Sotkamo,202
Soutjärvi,203
Suistamo,204
Suojärvi,205
Suomussalmi,206
Suonenjoki,207
Suure-Jaani,208
Sysmä,209
Sääksmäki,210
Tammela,211
Tampere,212
Tartu-Maarja,213
Tarvastu,214
Terijoki,215
Tervo,216
Tervola,217
Tohmajärvi,218
Toksova,219
Tori,220
Torma,221
Tulemajärvi,222
Turku,223
Tuulos,224
Tuupovaara,225
Tuusniemi,226
Tyrvää,227
Tyrö,228
Tõstamaa,229
Töysä,230
Türi,231
Uhtua,232
Urvaste,233
Uskela,234
Uukuniemi,235
Uusikaupunki,236
Uusikirkko Tl.,237
Vaivara,238
Valtimo,239
Varbla,240
Varpaisjärvi,241
Vastseliina,242
Venjoki,243
Vesilahti,244
Vieljärvi,245
Vigala,246
Vihanti,247
Viitasaari,248
Viljandi,249
Virrat,250
Virtasalmi,251
Viru-Jaagupi,252
Viru-Nigula,253
Vuokkiniemi,254
Vuole,255
Väike-Maarja,256
Vändra,257
Võnnu,258
Yläne,259
Äksi,260
Östmark,261
