area_name,Ilmarinen::Ilmarinen,Ilmarinen::Ilmari/Ilmar,Väinämöinen::Väinämöinen,Väinämöinen::Väinö/Väinämö,Lemminkäinen::Lemminkäinen,Lemminkäinen::Lemmingäinen/Lemming,Jesus / Christ::Jesus,Jesus / Christ::Christ,Mary / Maria / Maarja / Mari::Mary,Mary / Maria / Maarja / Mari::Mari,Mary / Maria / Maarja / Mari::Maija/Maie,Mary / Maria / Maarja / Mari::Maria/Maaria,John / Jaan / Jussi / Hans::Jussi,John / Jaan / Jussi / Hans::Jaan/Jaani,John / Jaan / Jussi / Hans::Hans,John / Jaan / Jussi / Hans::John/St John,John / Jaan / Jussi / Hans::Ants,John / Jaan / Jussi / Hans::Juhan,Peter / Pietari / Peeter::Peter,Peter / Pietari / Peeter::Peeter,Peter / Pietari / Peeter::Pekka/Pekko,Peter / Pietari / Peeter::Petteri/Pietari,Martin / Mart / Märt::Martin,Martin / Mart / Märt::Mart/Marti,Martin / Mart / Märt::Märt/Märti,Martin / Mart / Märt::Mardi/Mard,Catherine / Kadri / Katri::Kadri,Catherine / Kadri / Katri::Katri/Katrina,Catherine / Kadri / Katri::Kaisa/Kaie,Catherine / Kadri / Katri::Kati,Catherine / Kadri / Katri::Catherine/Katherine,Anna / Anne / Ann / Anni::Anne,Anna / Anne / Ann / Anni::Ann,Anna / Anne / Ann / Anni::Anni/Annie,Anna / Anne / Ann / Anni::Anna,Anna / Anne / Ann / Anni::Anu,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Alatornio,,,,,,,1,0,0,0,1,0,,,,,,,1,0,0,0,,,,,0,0,1,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,5,17
Alavus,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,14
Ambla,,,,,,,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,7,190
Anseküla,,,,,,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,,,,,0,0,0,1,0,Estonia core/west,North Estonian,viP,4,12
Asikkala,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,0,0,1,0,0,0,0,0,1,0,Finland/Savo-Karelia,Finnish,su,6,28
Audru,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,6,147
Eno,1,0,1,0,,,1,0,1,0,0,0,,,,,,,1,0,0,0,,,,,0,0,1,0,0,,,,,,Finland/Savo-Karelia,Finnish,su,6,18
Haljala,,,,,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,8,285
Halliste,,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Estonia core/west,South Estonian,viE,7,383
Hanila,,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,7,44
Hargla,,,,,,,1,0,0,1,0,0,0,0,0,1,0,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,South Estonia/Seto,South Estonian,viE,6,21
Harju-Jaani,,,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Estonia core/west,North Estonian,viP,7,100
Harju-Madise,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,,,1,0,0,0,0,,,,,,Estonia core/west,North Estonian,viP,4,14
Hartola,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,0,0,0,0,1,,,,,,Finland/Savo-Karelia,Finnish,su,5,14
Hattula,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,5,43
Hauho,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,18
Heinjoki,,,,,,,,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,4,14
Heinävesi,1,0,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,5,43
Helme,,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Estonia core/west,South Estonian,viE,7,447
Hietamäki,1,0,1,0,,,1,0,0,0,1,0,,,,,,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Ingria,Finnish,su,8,26
Hollola,,,,,,,,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,0,0,1,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,5,13
Hämeenlinna,,,,,,,,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,0,0,1,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,5,24
Häädemeeste,,,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,7,113
Iisaku,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,6,36
Iisalmi,1,0,1,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,7,31
Ilomantsi,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,0,0,1,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,9,424
Impilahti,1,0,1,0,,,1,0,1,0,0,0,,,,,,,1,0,0,0,,,,,1,0,0,0,0,0,1,0,0,0,East Karelia/Veps/Tver,Livvi-Karelian,ka,7,92
Isojoki,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,11
Jaakkima,,,0,1,,,1,0,0,0,1,0,,,,,,,1,0,0,0,,,,,0,0,0,0,1,,,,,,Finland/Savo-Karelia,Finnish,su,5,13
Jaani,,,,,,,,,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,Estonia core/west,North Estonian,viP,4,11
Jalasjärvi,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,12
Janakkala,,,,,,,,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,1,0,0,0,Finland/Savo-Karelia,Finnish,su,4,15
Joroinen,1,0,1,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0,0,0,0,0,1,0,Finland/Savo-Karelia,Finnish,su,8,42
Juuka,0,1,1,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,6,19
Juuru,,,,,,,1,0,1,0,0,0,0,0,0,1,0,0,,,,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,6,39
Juva,1,0,1,0,,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,0,0,1,0,0,0,0,0,1,0,Finland/Savo-Karelia,Finnish,su,8,75
Jällivaara,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0,0,1,0,Finland/Savo-Karelia,Tornedalen Finnish,su,5,13
