area_name,macroRegion,langLabel,proper_name_mentions,n_groups,cluster,membership_confidence
Alatornio,Finland/Savo-Karelia,Finnish,17,5,1,0.9995476915725071
Alavus,Finland/Savo-Karelia,Finnish,14,4,1,0.9999616872858003
Ambla,Estonia core/west,North Estonian,190,7,2,0.9999978472076352
Anseküla,Estonia core/west,North Estonian,12,4,2,0.9995563794387063
Asikkala,Finland/Savo-Karelia,Finnish,28,6,1,0.9999194593706527
Audru,Estonia core/west,North Estonian,147,6,2,0.9999999353211079
Eno,Finland/Savo-Karelia,Finnish,18,6,1,0.9602058920282687
Haljala,Estonia core/west,North Estonian,285,8,2,0.9999999745615739
Halliste,Estonia core/west,South Estonian,383,7,2,0.9999999811617919
Hanila,Estonia core/west,North Estonian,44,7,2,0.999998274146688
Hargla,South Estonia/Seto,South Estonian,21,6,2,0.9975322279851908
Harju-Jaani,Estonia core/west,North Estonian,100,7,2,0.9999634273114341
Harju-Madise,Estonia core/west,North Estonian,14,4,2,0.9999998891032112
Hartola,Finland/Savo-Karelia,Finnish,14,5,1,0.9997277177523922
Hattula,Finland/Savo-Karelia,Finnish,43,5,1,0.9999909592589842
Hauho,Finland/Savo-Karelia,Finnish,18,4,1,0.9965330595209294
Heinjoki,Finland/Savo-Karelia,Finnish,14,4,1,0.9997191648952916
Heinävesi,Finland/Savo-Karelia,Finnish,43,5,1,0.9999999427278853
Helme,Estonia core/west,South Estonian,447,7,2,0.9999999811617919
Hietamäki,Ingria,Finnish,26,8,1,0.9999996780640273
Hollola,Finland/Savo-Karelia,Finnish,13,5,1,0.9999965430361285
Hämeenlinna,Finland/Savo-Karelia,Finnish,24,5,1,0.9999965430361285
Häädemeeste,Estonia core/west,North Estonian,113,7,2,0.9999999989929158
Iisaku,Estonia core/west,North Estonian,36,6,2,0.9999992187043928
Iisalmi,Finland/Savo-Karelia,Finnish,31,7,1,0.9999966210295161
Ilomantsi,Finland/Savo-Karelia,Finnish,424,9,1,0.9999997780025807
Impilahti,East Karelia/Veps/Tver,Livvi-Karelian,92,7,2,0.990135356908786
Isojoki,Finland/Savo-Karelia,Finnish,11,4,1,0.9965330595209294
Jaakkima,Finland/Savo-Karelia,Finnish,13,5,1,0.7115536286909334
Jaani,Estonia core/west,North Estonian,11,4,2,0.8967564402121041
Jalasjärvi,Finland/Savo-Karelia,Finnish,12,4,1,0.9965330595209294
Janakkala,Finland/Savo-Karelia,Finnish,15,4,1,0.9934040723286671
Joroinen,Finland/Savo-Karelia,Finnish,42,8,1,0.9999994737832444
Juuka,Finland/Savo-Karelia,Finnish,19,6,1,0.9998574989832123
Juuru,Estonia core/west,North Estonian,39,6,2,0.9999442655307637
Juva,Finland/Savo-Karelia,Finnish,75,8,1,0.9999522207568577
Jällivaara,Finland/Savo-Karelia,Tornedalen Finnish,13,5,1,0.9994605106634494
Järva-Jaani,Estonia core/west,North Estonian,65,7,2,0.9999956576103177
Järva-Madise,Estonia core/west,North Estonian,63,6,2,0.999999999355965
Jõelähtme,Estonia core/west,North Estonian,56,7,2,0.9057666121421621
Jõhvi,Estonia core/west,North Estonian,151,7,2,0.999858135203828
Jüri,Estonia core/west,North Estonian,55,7,2,0.9999516840352038
Kaarma,Estonia core/west,North Estonian,33,6,2,0.9998430559783077
Kaavi,Finland/Savo-Karelia,Finnish,40,8,1,0.9999994737832444
Kadrina,Estonia core/west,North Estonian,210,7,2,0.9999997015624161
Kalajoki,Finland/Savo-Karelia,Finnish,30,5,1,0.9999238235216653
Kambja,Estonia core/west,South Estonian,26,6,2,0.9999999943819242
Kanepi,South Estonia/Seto,South Estonian,37,6,2,0.9999580217019024
