area_name,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus / Christ,Mary / Maria / Maarja / Mari,John / Jaan / Jussi / Hans,Peter / Pietari / Peeter,Martin / Mart / Märt,Catherine / Kadri / Katri,Anna / Anne / Ann / Anni,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Alatornio,,,,Jesus,Maija/Maie,,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,17
Alavus,,,,Jesus,Mary,Jussi,Pekka/Pekko,,,,Finland/Savo-Karelia,Finnish,su,4,14
Ambla,,,,Jesus,Mary,Hans,Peter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,190
Anseküla,,,,,,Juhan,Peeter,Mart/Marti,,Anna,Estonia core/west,North Estonian,viP,4,12
Asikkala,,,,Jesus,Maija/Maie,Jussi,Peter,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,6,28
Audru,,,,,Mari,Hans,Peeter,Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,6,147
Eno,Ilmarinen,Väinämöinen,,Jesus,Mary,,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,6,18
Haljala,,,Lemmingäinen/Lemming,Jesus,Mari,Ants,Peter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,8,285
Halliste,,,,Jesus,Mary,Jaan/Jaani,Peter,Märt/Märti,Kadri,Anne,Estonia core/west,South Estonian,viE,7,383
Hanila,,,,Jesus,Mary,Jaan/Jaani,Peter,Mardi/Mard,Kadri,Ann,Estonia core/west,North Estonian,viP,7,44
Hargla,,,,Jesus,Mari,John/St John,,Martin,Katri/Katrina,Anne,South Estonia/Seto,South Estonian,viE,6,21
Harju-Jaani,,,,Jesus,Mari,John/St John,Peeter,Martin,Kadri,Anna,Estonia core/west,North Estonian,viP,7,100
Harju-Madise,,,,,Mari,Hans,Peeter,,Kadri,,Estonia core/west,North Estonian,viP,4,14
Hartola,,,,Jesus,Maija/Maie,Jussi,Peter,,Catherine/Katherine,,Finland/Savo-Karelia,Finnish,su,5,14
Hattula,,,,Jesus,Maija/Maie,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,43
Hauho,,,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,18
Heinjoki,,,,,Mari,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,4,14
Heinävesi,Ilmarinen,,,,,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,43
Helme,,,,Jesus,Mary,Jaan/Jaani,Peter,Märt/Märti,Kadri,Anne,Estonia core/west,South Estonian,viE,7,447
Hietamäki,Ilmarinen,Väinämöinen,,Jesus,Maija/Maie,,Pekka/Pekko,Martin,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,8,26
Hollola,,,,,Maija/Maie,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,13
Hämeenlinna,,,,,Maija/Maie,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,24
Häädemeeste,,,,Jesus,Mari,John/St John,Peeter,Mardi/Mard,Kadri,Anne,Estonia core/west,North Estonian,viP,7,113
Iisaku,,,,,Mari,Hans,Peeter,Martin,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,6,36
Iisalmi,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,,,Finland/Savo-Karelia,Finnish,su,7,31
Ilomantsi,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,9,424
Impilahti,Ilmarinen,Väinämöinen,,Jesus,Mary,,Peter,,Kadri,Ann,East Karelia/Veps/Tver,Livvi-Karelian,ka,7,92
Isojoki,,,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,11
Jaakkima,,Väinö/Väinämö,,Jesus,Maija/Maie,,Peter,,Catherine/Katherine,,Finland/Savo-Karelia,Finnish,su,5,13
Jaani,,,,,Maija/Maie,John/St John,Peter,Mart/Marti,,,Estonia core/west,North Estonian,viP,4,11
Jalasjärvi,,,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,12
Janakkala,,,,,Maija/Maie,Jussi,Peter,,,Ann,Finland/Savo-Karelia,Finnish,su,4,15
Joroinen,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,8,42
Juuka,Ilmari/Ilmar,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,,,Finland/Savo-Karelia,Finnish,su,6,19
