feature,variant_index,variant
Ilmarinen,1,Ilmarinen
Ilmarinen,2,Ilmari/Ilmar
Väinämöinen,1,Väinämöinen
Väinämöinen,2,Väinö/Väinämö
Lemminkäinen,1,Lemminkäinen
Lemminkäinen,2,Lemmingäinen/Lemming
Jesus / Christ,1,Jesus
Jesus / Christ,2,Christ
Mary / Maria / Maarja / Mari,1,Mary
Mary / Maria / Maarja / Mari,2,Mari
Mary / Maria / Maarja / Mari,3,Maija/Maie
Mary / Maria / Maarja / Mari,4,Maria/Maaria
John / Jaan / Jussi / Hans,1,Jussi
John / Jaan / Jussi / Hans,2,Jaan/Jaani
John / Jaan / Jussi / Hans,3,Hans
John / Jaan / Jussi / Hans,4,John/St John
John / Jaan / Jussi / Hans,5,Ants
John / Jaan / Jussi / Hans,6,Juhan
Peter / Pietari / Peeter,1,Peter
Peter / Pietari / Peeter,2,Peeter
Peter / Pietari / Peeter,3,Pekka/Pekko
Peter / Pietari / Peeter,4,Petteri/Pietari
Martin / Mart / Märt,1,Martin
Martin / Mart / Märt,2,Mart/Marti
Martin / Mart / Märt,3,Märt/Märti
Martin / Mart / Märt,4,Mardi/Mard
Catherine / Kadri / Katri,1,Kadri
Catherine / Kadri / Katri,2,Katri/Katrina
Catherine / Kadri / Katri,3,Kaisa/Kaie
Catherine / Kadri / Katri,4,Kati
Catherine / Kadri / Katri,5,Catherine/Katherine
Anna / Anne / Ann / Anni,1,Anne
Anna / Anne / Ann / Anni,2,Ann
Anna / Anne / Ann / Anni,3,Anni/Annie
Anna / Anne / Ann / Anni,4,Anna
Anna / Anne / Ann / Anni,5,Anu
