area_name,baps_id,cluster,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus / Christ,Mary / Maria / Maarja / Mari,John / Jaan / Jussi / Hans,Peter / Pietari / Peeter,Martin / Mart / Märt,Catherine / Kadri / Katri,Anna / Anne / Ann / Anni,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Alatornio,1,5,,,,Jesus,Maija/Maie,,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,17
Alavus,2,6,,,,Jesus,Mary,Jussi,Pekka/Pekko,,,,Finland/Savo-Karelia,Finnish,su,4,14
Ambla,3,7,,,,Jesus,Mary,Hans,Peter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,190
Anseküla,4,8,,,,,,Juhan,Peeter,Mart/Marti,,Anna,Estonia core/west,North Estonian,viP,4,12
Asikkala,5,2,,,,Jesus,Maija/Maie,Jussi,Peter,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,6,28
Audru,6,8,,,,,Mari,Hans,Peeter,Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,6,147
Eno,7,1,Ilmarinen,Väinämöinen,,Jesus,Mary,,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,6,18
Haljala,8,3,,,Lemmingäinen/Lemming,Jesus,Mari,Ants,Peter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,8,285
Halliste,9,4,,,,Jesus,Mary,Jaan/Jaani,Peter,Märt/Märti,Kadri,Anne,Estonia core/west,South Estonian,viE,7,383
Hanila,10,4,,,,Jesus,Mary,Jaan/Jaani,Peter,Mardi/Mard,Kadri,Ann,Estonia core/west,North Estonian,viP,7,44
Hargla,11,3,,,,Jesus,Mari,John/St John,,Martin,Katri/Katrina,Anne,South Estonia/Seto,South Estonian,viE,6,21
Harju-Jaani,12,8,,,,Jesus,Mari,John/St John,Peeter,Martin,Kadri,Anna,Estonia core/west,North Estonian,viP,7,100
Harju-Madise,13,7,,,,,Mari,Hans,Peeter,,Kadri,,Estonia core/west,North Estonian,viP,4,14
Hartola,14,2,,,,Jesus,Maija/Maie,Jussi,Peter,,Catherine/Katherine,,Finland/Savo-Karelia,Finnish,su,5,14
Hattula,15,5,,,,Jesus,Maija/Maie,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,43
Hauho,16,1,,,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,18
Heinjoki,17,5,,,,,Mari,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,4,14
Heinävesi,18,6,Ilmarinen,,,,,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,43
Helme,19,4,,,,Jesus,Mary,Jaan/Jaani,Peter,Märt/Märti,Kadri,Anne,Estonia core/west,South Estonian,viE,7,447
Hietamäki,20,5,Ilmarinen,Väinämöinen,,Jesus,Maija/Maie,,Pekka/Pekko,Martin,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,8,26
Hollola,21,5,,,,,Maija/Maie,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,13
Hämeenlinna,22,5,,,,,Maija/Maie,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,24
Häädemeeste,23,8,,,,Jesus,Mari,John/St John,Peeter,Mardi/Mard,Kadri,Anne,Estonia core/west,North Estonian,viP,7,113
