source,k,log_likelihood,bic,icl,entropy,params,n_areas,n_observed_feature_values
standard,2,-1208.754,2880.469,2880.688,0.109,63,256,1554
standard,3,-1197.203,3092.521,3097.459,2.469,95,256,1554
standard,4,-1186.662,3306.594,3331.751,12.579,127,256,1554
standard,5,-1186.662,3541.749,3566.906,12.579,159,256,1554
standard,6,-1186.662,3776.904,3802.061,12.579,191,256,1554
standard,7,-1186.662,4012.058,4037.216,12.579,223,256,1554
standard,8,-1186.662,4247.213,4272.37,12.579,255,256,1554
english,2,-1294.522,2980.198,3002.251,11.027,53,261,1604
english,3,-1286.716,3163.853,3200.213,18.18,80,261,1604
english,4,-1287.401,3364.49,3394.332,14.921,107,261,1604
english,5,-1285.939,3560.832,3599.211,19.189,134,261,1604
english,6,-1279.348,3746.917,3808.749,30.916,161,261,1604
english,7,-1285.939,3959.366,3997.745,19.189,188,261,1604
english,8,-1281.324,4149.403,4207.805,29.201,215,261,1604
