source,cluster,areas,mentions,top_macro_regions,top_languages,example_areas,dominant_feature_states
standard,1,22,1139,Finland/Savo-Karelia: 9; Ingria: 9; East Karelia/Veps/Tver: 4,Finnish: 18; Karelian Proper: 3; Livvi-Karelian: 1,Korpiselkä; Vuokkiniemi; Vuole; Repola; Kaprio; Tulemajärvi; Liissilä; Moloskovitsa; Koprina; Toksova; Koivisto; Kupanitsa,"Ilmarinen: Ilmarinen (10), Other (1); Väinämöinen: Väinämöinen (11); Lemminkäinen: Lemminkäinen (5); Jesus / Christ: Jeesus (20); Mary / Maria / Maarja / Mari: Mari (10), Maria (6), Maaria (4); John / Jaan / Jussi / Hans: Jussi/Juss (9), Other (3), Iivana (2); Peter / Pietari / Peeter: Pietari (12), Pekka (5), Petteri/Petri (3); Martin / Mart / Märt: Martti (6); Catherine / Kadri / Katri: Katri (12), Kati (5); Anna / Anne / Ann / Anni: Anni (20)"
standard,2,44,2387,Finland/Savo-Karelia: 38; East Karelia/Veps/Tver: 4; Ingria: 2,Finnish: 40; Karelian Proper: 2; Veps: 1; Livvi-Karelian: 1,Suistamo; Ilomantsi; Lempaala; Kitee; Tyrö; Juva; Venjoki; Uhtua; Joroinen; Tammela; Rääkkylä; Liperi,"Ilmarinen: Ilmarinen (20); Väinämöinen: Väinämöinen (23); Lemminkäinen: Lemminkäinen (3); Jesus / Christ: Jeesus (38), Christ/Kristus (4); Mary / Maria / Maarja / Mari: Maria (28), Maaria (9), Mari (5); John / Jaan / Jussi / Hans: Jussi/Juss (37); Peter / Pietari / Peeter: Pietari (40); Martin / Mart / Märt: Martti (8); Catherine / Kadri / Katri: Kaisa (24), Kadri (1); Anna / Anne / Ann / Anni: Anni (17), Anna (5), Anne (1)"
standard,3,29,1424,Finland/Savo-Karelia: 25; Ingria: 3; East Karelia/Veps/Tver: 1,Finnish: 27; Ingrian: 2,Narvusi; Soikkola; Saarijärvi; Uskela; Hattula; Sortavala; Kalajoki; Asikkala; Pyhäjärvi Vpl.; Hietamäki; Hämeenlinna; Tyrvää,"Ilmarinen: Ilmarinen (6); Väinämöinen: Väinämöinen (11); Lemminkäinen: Lemminkäinen (3); Jesus / Christ: Jeesus (15), Christ/Kristus (1); Mary / Maria / Maarja / Mari: Maija/Maie (29); John / Jaan / Jussi / Hans: Jussi/Juss (21), Iivana (2); Peter / Pietari / Peeter: Pietari (25); Martin / Mart / Märt: Martti (4); Catherine / Kadri / Katri: Kaisa (13), Katri (3), Kati (2); Anna / Anne / Ann / Anni: Anni (17), Anna (4)"
standard,4,30,1264,Finland/Savo-Karelia: 23; East Karelia/Veps/Tver: 7,Finnish: 24; Livvi-Karelian: 3; Karelian Proper: 2; Tornedalen Finnish: 1,Suojärvi; Salmi; Impilahti; Pielavesi; Tohmajärvi; Kontokki; Soanlahti; Kiuruvesi; Sääksmäki; Leppävirta; Tuupovaara; Kiihtelysvaara,"Ilmarinen: Ilmarinen (12); Väinämöinen: Väinämöinen (22); Lemminkäinen: Lemminkäinen (6); Jesus / Christ: Jeesus (19), Other (9); Mary / Maria / Maarja / Mari: Maria (30); John / Jaan / Jussi / Hans: Jussi/Juss (16), Other (4); Peter / Pietari / Peeter: Pekka (14), Pietari (7), Petteri/Petri (4); Martin / Mart / Märt: Martti (5), Mart/Martin (4); Catherine / Kadri / Katri: Kaisa (10), Katariina/Katriina (4), Katri (4); Anna / Anne / Ann / Anni: Anni (11), Other (5)"
standard,5,26,672,Finland/Savo-Karelia: 25; East Karelia/Veps/Tver: 1,Finnish: 25; Karelian Proper: 1,Porajärvi; Nurmes; Pielisjärvi; Heinävesi; Sotkamo; Nilsiä; Rovaniemi; Sonkajärvi; Kangasniemi; Suomussalmi; Maaninka; Mäntyharju,"Ilmarinen: Ilmarinen (11); Väinämöinen: Väinämöinen (14); Lemminkäinen: Lemminkäinen (2); Jesus / Christ: Jeesus (21), Other (1), Christ/Kristus (1); Mary / Maria / Maarja / Mari: Maija/Maie (16), Maaria (5), Maria (2); John / Jaan / Jussi / Hans: Jussi/Juss (20), Other (3); Peter / Pietari / Peeter: Pekka (24), Petteri/Petri (2); Martin / Mart / Märt: Martti (5); Catherine / Kadri / Katri: Kaisa (7), Katariina/Katriina (6), Katri (2); Anna / Anne / Ann / Anni: Anni (9), Anna (6), Anne (1)"
standard,6,12,268,Finland/Savo-Karelia: 5; Ingria: 4; East Karelia/Veps/Tver: 3,Finnish: 9; Votic: 1; Karelian Proper: 1; Livvi-Karelian: 1,Kesälahti; Serepetta; Kiimaisjärvi; Uukuniemi; Kattila; Rääpyvä; Markkova; Sysmä; Kankaanpää; Säämäjärvi; Tervola; Turku,"Ilmarinen: Ilmarinen (4); Väinämöinen: Väinämöinen (5); Lemminkäinen: Lemminkäinen (2); Jesus / Christ: Jeesus (6), Other (4); Mary / Maria / Maarja / Mari: Maaria (7), Maria (2), Mari (1); John / Jaan / Jussi / Hans: Other (7), Jussi/Juss (2); Peter / Pietari / Peeter: Pietari (8), Other (2), Petteri/Petri (1); Martin / Mart / Märt: Martti (2); Catherine / Kadri / Katri: Katri (4), Kaisa (1); Anna / Anne / Ann / Anni: Anu (3), Anna (2)"
standard,7,62,8143,Estonia core/west: 55; South Estonia/Seto: 7,North Estonian: 43; South Estonian: 19,Helme; Paistu; Setumaa; Halliste; Karksi; Suure-Jaani; Kuusalu; Torma; Kolga-Jaani; Kadrina; Räpina; Urvaste,"Lemminkäinen: Lemminkäinen (1); Jesus / Christ: Jeesus (36), Christ/Kristus (3), Other (1); Mary / Maria / Maarja / Mari: Mari (60), Maarja (2); John / Jaan / Jussi / Hans: Jaan (61); Peter / Pietari / Peeter: Peeter (53), Other (1); Martin / Mart / Märt: Mart/Martin (26), Märt (16), Mard/Mardi (12); Catherine / Kadri / Katri: Kadri (48), Katri (2), Other (2); Anna / Anne / Ann / Anni: Anne (50), Ann (9), Anni (2)"
standard,8,31,3449,Estonia core/west: 29; South Estonia/Seto: 2,North Estonian: 27; South Estonian: 4,Tarvastu; Haljala; Viljandi; Põltsamaa; Ambla; Palamuse; Vändra; Kose; Saarde; Väike-Maarja; Audru; Viru-Nigula,"Jesus / Christ: Jeesus (16), Other (1); Mary / Maria / Maarja / Mari: Mari (27), Maarja (3), Other (1); John / Jaan / Jussi / Hans: Hans (19), Ants (8), Other (4); Peter / Pietari / Peeter: Peeter (27), Other (1); Martin / Mart / Märt: Mart/Martin (15), Märt (8), Mard/Mardi (5); Catherine / Kadri / Katri: Kadri (20), Other (3), Katri (2); Anna / Anne / Ann / Anni: Anne (21), Ann (7), Anu (2)"
english,1,60,3901,Finland/Savo-Karelia: 34; East Karelia/Veps/Tver: 13; Ingria: 11; Estonia core/west: 2,Finnish: 46; Karelian Proper: 6; Livvi-Karelian: 4; North Estonian: 2; Votic: 1,Suistamo; Ilomantsi; Suojärvi; Soikkola; Korpiselkä; Lempaala; Vuokkiniemi; Repola; Kaprio; Salmi; Tulemajärvi; Liissilä,"Ilmarinen: Ilmarinen (24), Ilmari/Ilmar (2); Väinämöinen: Väinämöinen (33); Lemminkäinen: Lemminkäinen (12); Jesus / Christ: Jesus (53), Christ (2); Mary / Maria / Maarja / Mari: Mary (60); John / Jaan / Jussi / Hans: Jussi (34), John/St John (8), Ants (1); Peter / Pietari / Peeter: Peter (50), Petteri/Pietari (1); Martin / Mart / Märt: Martin (14); Catherine / Kadri / Katri: Kaisa/Kaie (18), Katri/Katrina (15), Kati (1); Anna / Anne / Ann / Anni: Anni/Annie (28), Ann (8), Anu (2)"
english,2,28,690,Finland/Savo-Karelia: 27; East Karelia/Veps/Tver: 1,Finnish: 27; Tornedalen Finnish: 1,Kitee; Juva; Metsäpirtti; Uukuniemi; Kalajoki; Asikkala; Kiihtelysvaara; Töysä; Tyrvää; Rautavaara; Pudasjärvi; Ranua,"Ilmarinen: Ilmarinen (7), Ilmari/Ilmar (1); Väinämöinen: Väinämöinen (7), Väinö/Väinämö (2); Lemminkäinen: Lemmingäinen/Lemming (1); Jesus / Christ: Jesus (25); Mary / Maria / Maarja / Mari: Mary (14), Maija/Maie (11), Maria/Maaria (2); John / Jaan / Jussi / Hans: Jussi (23); Peter / Pietari / Peeter: Peter (24); Martin / Mart / Märt: Martin (2), Mart/Marti (1); Catherine / Kadri / Katri: Kaisa/Kaie (11), Catherine/Katherine (6); Anna / Anne / Ann / Anni: Anna (20)"
