area_name,baps_id
Alatornio,1
Alavus,2
Ambla,3
Asikkala,4
Audru,5
Brandval,6
Eno,7
Hageri,8
Haljala,9
Halliste,10
Hanila,11
Hargla,12
Harju-Jaani,13
Harju-Madise,14
Hartola,15
Hattula,16
Hauho,17
Heinjoki,18
Heinävesi,19
Helme,20
Hietamäki,21
Hollola,22
Hämeenlinna,23
Häädemeeste,24
Iisaku,25
Iisalmi,26
Ilomantsi,27
Impilahti,28
Isojoki,29
Jaani,30
Jalasjärvi,31
Janakkala,32
Joroinen,33
Juuka,34
Juuru,35
Juva,36
Jällivaara,37
Järva-Jaani,38
Järva-Madise,39
Jõelähtme,40
Jõhvi,41
Jüri,42
Kaarma,43
Kaavi,44
Kadrina,45
Kalajoki,46
Kambja,47
Kanepi,48
Kangaslampi,49
Kangasniemi,50
Kankaanpää,51
Kaprio,52
Karja,53
Karksi,54
Karula,55
Karuna,56
Karuse,57
Kattila,58
Kauhava,59
Keila,60
Keltto,61
Kemi,62
Kerimäki,63
Kestilä,64
Kesälahti,65
Kiestinki,66
Kiihtelysvaara,67
Kiimaisjärvi,68
Kitee,69
Kiuruvesi,70
Kivennapa,71
Kivijärvi,72
Kodavere,73
Koeru,74
Koivisto,75
Kolga-Jaani,76
Kontiolahti,77
Kontokki,78
Koprina,79
Korpilahti,80
Korpiselkä,81
Kose,82
Kuhmo,83
Kuhmoinen,84
Kullamaa,85
Kuopio,86
Kupanitsa,87
Kurikka,88
Kursi,89
Kuusalu,90
Kuusamo,91
Käina,92
Kärla,93
Kõpu,94
Laihia,95
Laiuse,96
Lapinlahti,97
Lappee,98
Lapua,99
Lavansaari,100
Lemi,101
Lempaala,102
Leppävirta,103
Liissilä,104
Liperi,105
Loppi,106
Luopioinen,107
Lääne-Nigula,108
Lüganuse,109
Maaninka,110
Maarja-Magdaleena,111
Markkova,112
Martna,113
Metsäpirtti,114
Mihkli,115
Moloskovitsa,116
Muhos,117
Muhu,118
Muolaa,119
Mustjala,120
Muurla,121
Muuruvesi,122
Mynämäki,123
Mäntsälä,124
Mäntyharju,125
Märjamaa,126
Narvusi,127
Nilsiä,128
Nurmes,129
Nõo,130
Orimattila,131
Otepää,132
Oulu,133
Paide,134
Paistu,135
Palamuse,136
Paltamo,137
Peetri,138
Perniö,139
Pieksämäki,140
Pielavesi,141
Pielisjärvi,142
Piippola,143
Pilistvere,144
Pistojärvi,145
Porajärvi,146
Pudasjärvi,147
Puhja,148
Puolanka,149
Puumala,150
Pyhäjärvi Ol.,151
Pyhäjärvi Ul.,152
Pyhäjärvi Vpl.,153
Pälkjärvi,154
Pärnu,155
Pärnu-Jaagupi,156
Põltsamaa,157
Põlva,158
Pöide,159
Pöytyä,160
Pühalepa,161
Rakvere,162
Rannu,163
Ranua,164
Rapla,165
Rautavaara,166
Reigi,167
Renko,168
Repola,169
Ridala,170
Risti,171
Rovaniemi,172
Ruovesi,173
Räpina,174
Rääkkylä,175
Rääpyvä,176
Rõngu,177
Rõuge,178
Saarde,179
Saarijärvi,180
Sakkola,181
Salmi,182
Sangaste,183
Savitaipale,184
Savonlinna,185
Seiskari,186
Serepetta,187
Setumaa,188
Simo,189
Simuna,190
Skuoritsa,191
Soanlahti,192
Sodankylä,193
Soikkola,194
Somero,195
Sonkajärvi,196
Sortavala,197
Sotkamo,198
Soutjärvi,199
Suistamo,200
Suojärvi,201
Suomussalmi,202
Suonenjoki,203
Suure-Jaani,204
Sysmä,205
Sääksmäki,206
Säämäjärvi,207
Tammela,208
Tampere,209
Tartu-Maarja,210
Tarvastu,211
Terijoki,212
Tervo,213
Tervola,214
Tohmajärvi,215
Toksova,216
Tori,217
Torma,218
Tulemajärvi,219
Turku,220
Tuulos,221
Tuupovaara,222
Tuusniemi,223
Tyrvää,224
Tyrö,225
Tõstamaa,226
Töysä,227
Türi,228
Uhtua,229
Urvaste,230
Uskela,231
Uukuniemi,232
Uusikaupunki,233
Uusikirkko Tl.,234
Vaivara,235
Valtimo,236
Varbla,237
Varpaisjärvi,238
Vastseliina,239
Venjoki,240
Vieljärvi,241
Vigala,242
Vihanti,243
Viitasaari,244
Viljandi,245
Virtasalmi,246
Viru-Jaagupi,247
Viru-Nigula,248
Vuokkiniemi,249
Vuole,250
Väike-Maarja,251
Vändra,252
Võnnu,253
Yläne,254
Äksi,255
Östmark,256
