area_name,Ilmarinen::Ilmarinen,Ilmarinen::Other,Väinämöinen::Väinämöinen,Lemminkäinen::Lemminkäinen,Jesus / Christ::Jeesus,Jesus / Christ::Christ/Kristus,Jesus / Christ::Other,Mary / Maria / Maarja / Mari::Mari,Mary / Maria / Maarja / Mari::Maria,Mary / Maria / Maarja / Mari::Maija/Maie,Mary / Maria / Maarja / Mari::Maarja,Mary / Maria / Maarja / Mari::Maaria,Mary / Maria / Maarja / Mari::Other,John / Jaan / Jussi / Hans::Jaan,John / Jaan / Jussi / Hans::Jussi/Juss,John / Jaan / Jussi / Hans::Hans,John / Jaan / Jussi / Hans::Ants,John / Jaan / Jussi / Hans::Iivana,John / Jaan / Jussi / Hans::Other,Peter / Pietari / Peeter::Pietari,Peter / Pietari / Peeter::Peeter,Peter / Pietari / Peeter::Pekka,Peter / Pietari / Peeter::Petteri/Petri,Peter / Pietari / Peeter::Other,Martin / Mart / Märt::Märt,Martin / Mart / Märt::Mart/Martin,Martin / Mart / Märt::Mard/Mardi,Martin / Mart / Märt::Martti,Martin / Mart / Märt::Other,Catherine / Kadri / Katri::Kadri,Catherine / Kadri / Katri::Katri,Catherine / Kadri / Katri::Kaisa,Catherine / Kadri / Katri::Kati,Catherine / Kadri / Katri::Katariina/Katriina,Catherine / Kadri / Katri::Other,Anna / Anne / Ann / Anni::Anne,Anna / Anne / Ann / Anni::Anni,Anna / Anne / Ann / Anni::Ann,Anna / Anne / Ann / Anni::Anna,Anna / Anne / Ann / Anni::Anu,Anna / Anne / Ann / Anni::Other,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Alatornio,,,,,1,0,0,0,0,1,0,0,0,,,,,,,1,0,0,0,0,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,5,20
Alavus,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,12
Ambla,,,,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,183
Asikkala,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,6,27
Audru,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,6,126
Brandval,1,0,1,,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,5,11
Eno,1,0,1,,1,0,0,1,0,0,0,0,0,,,,,,,1,0,0,0,0,,,,,,0,0,1,0,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,6,18
Hageri,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,Estonia core/west,North Estonian,viP,4,18
Haljala,,,,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,337
Halliste,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,South Estonian,viE,7,459
