area_name,macroRegion,langLabel,proper_name_mentions,n_groups,cluster,membership_confidence
Alatornio,Finland/Savo-Karelia,Finnish,20,5,1,0.9999999849566451
Alavus,Finland/Savo-Karelia,Finnish,12,4,1,0.9999994929052136
Ambla,Estonia core/west,North Estonian,183,7,2,0.9999999992319228
Asikkala,Finland/Savo-Karelia,Finnish,27,6,1,0.9999999999565627
Audru,Estonia core/west,North Estonian,126,6,2,0.9999999994720081
Brandval,Finland/Savo-Karelia,Finnish,11,5,1,0.9999453413331431
Eno,Finland/Savo-Karelia,Finnish,18,6,1,0.9998568515413954
Hageri,Estonia core/west,North Estonian,18,4,2,0.9999994413745777
Haljala,Estonia core/west,North Estonian,337,7,2,0.9999999982192813
Halliste,Estonia core/west,South Estonian,459,7,2,0.9999999999668985
Hanila,Estonia core/west,North Estonian,47,7,2,0.9999999998426174
Hargla,South Estonia/Seto,South Estonian,48,6,2,0.9999943880329976
Harju-Jaani,Estonia core/west,North Estonian,96,7,2,0.9999999997577396
Harju-Madise,Estonia core/west,North Estonian,17,5,2,0.9999999947482365
Hartola,Finland/Savo-Karelia,Finnish,15,5,1,0.9999999918159039
Hattula,Finland/Savo-Karelia,Finnish,37,5,1,0.9999999915774898
Hauho,Finland/Savo-Karelia,Finnish,18,4,1,0.9999995695348914
Heinjoki,Finland/Savo-Karelia,Finnish,13,4,1,0.999994807542315
Heinävesi,Finland/Savo-Karelia,Finnish,36,6,1,0.9999999999306759
Helme,Estonia core/west,South Estonian,555,7,2,0.9999999999668985
Hietamäki,Ingria,Finnish,22,7,1,0.9999998578054113
Hollola,Finland/Savo-Karelia,Finnish,11,4,1,0.9999999857833567
Hämeenlinna,Finland/Savo-Karelia,Finnish,22,5,1,0.9999999999356475
Häädemeeste,Estonia core/west,North Estonian,111,7,2,0.9999999999534195
Iisaku,Estonia core/west,North Estonian,34,6,2,0.9999999973021989
Iisalmi,Finland/Savo-Karelia,Finnish,30,7,1,0.9999999996085105
Ilomantsi,Finland/Savo-Karelia,Finnish,431,9,1,0.9999999999761426
Impilahti,East Karelia/Veps/Tver,Livvi-Karelian,96,9,1,0.9999999981994616
Isojoki,Finland/Savo-Karelia,Finnish,11,4,1,0.9999998350791486
Jaani,Estonia core/west,North Estonian,10,5,2,0.9999999833776997
Jalasjärvi,Finland/Savo-Karelia,Finnish,14,4,1,0.9999998350791486
Janakkala,Finland/Savo-Karelia,Finnish,13,4,1,0.9999999920403511
Joroinen,Finland/Savo-Karelia,Finnish,46,8,1,0.999999999984782
Juuka,Finland/Savo-Karelia,Finnish,17,6,1,0.9999998223371269
Juuru,Estonia core/west,North Estonian,41,6,2,0.9999999012371346
Juva,Finland/Savo-Karelia,Finnish,75,7,1,0.9999999993187667
Jällivaara,Finland/Savo-Karelia,Tornedalen Finnish,12,4,1,0.9999985463381723
Järva-Jaani,Estonia core/west,North Estonian,67,7,2,0.9999999954601106
Järva-Madise,Estonia core/west,North Estonian,68,6,2,0.9999999997436517
Jõelähtme,Estonia core/west,North Estonian,55,6,2,0.9999998845334663
Jõhvi,Estonia core/west,North Estonian,169,7,2,0.9999999997577396
Jüri,Estonia core/west,North Estonian,57,7,2,0.9999999997577396
Kaarma,Estonia core/west,North Estonian,38,6,2,0.9999997164277066
Kaavi,Finland/Savo-Karelia,Finnish,35,7,1,0.9999999950867986
Kadrina,Estonia core/west,North Estonian,216,7,2,0.9999999997577396
Kalajoki,Finland/Savo-Karelia,Finnish,31,5,1,0.9999999936265658
Kambja,Estonia core/west,South Estonian,24,6,2,0.9999999999884572
