area_name,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus / Christ,Mary / Maria / Maarja / Mari,John / Jaan / Jussi / Hans,Peter / Pietari / Peeter,Martin / Mart / Märt,Catherine / Kadri / Katri,Anna / Anne / Ann / Anni,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Alatornio,,,,Jeesus,Maija/Maie,,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,5,20
Alavus,,,,Jeesus,Maija/Maie,Jussi/Juss,Pekka,,,,Finland/Savo-Karelia,Finnish,su,4,12
Ambla,,,,Jeesus,Mari,Hans,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,183
Asikkala,,,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,Kaisa,Anna,Finland/Savo-Karelia,Finnish,su,6,27
Audru,,,,,Mari,Hans,Peeter,Mart/Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,6,126
Brandval,Ilmarinen,Väinämöinen,,Other,Maria,,,,Kati,,Finland/Savo-Karelia,Finnish,su,5,11
Eno,Ilmarinen,Väinämöinen,,Jeesus,Mari,,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,6,18
Hageri,,,,,Mari,Jaan,Peeter,Mart/Martin,,,Estonia core/west,North Estonian,viP,4,18
Haljala,,,,Jeesus,Mari,Ants,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,337
Halliste,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,Estonia core/west,South Estonian,viE,7,459
Hanila,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,7,47
Hargla,,,,Jeesus,Mari,Jaan,,Mard/Mardi,Katri,Anne,South Estonia/Seto,South Estonian,viE,6,48
Harju-Jaani,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,96
Harju-Madise,,,,,Mari,Hans,Peeter,Mard/Mardi,Kadri,,Estonia core/west,North Estonian,viP,5,17
Hartola,,,,Other,Maija/Maie,Jussi/Juss,Pekka,,Katariina/Katriina,,Finland/Savo-Karelia,Finnish,su,5,15
Hattula,,,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,,Anni,Finland/Savo-Karelia,Finnish,su,5,37
Hauho,,,,Jeesus,Maaria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,18
Heinjoki,,,,,Mari,Jussi/Juss,Pietari,,,Anni,Finland/Savo-Karelia,Finnish,su,4,13
Heinävesi,Ilmarinen,,,,Maija/Maie,Jussi/Juss,Pekka,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,6,36
Helme,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,Estonia core/west,South Estonian,viE,7,555
Hietamäki,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,,,Martti,Katri,Anni,Ingria,Finnish,su,7,22
Hollola,,,,,Maija/Maie,,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,4,11
Hämeenlinna,,,,,Maija/Maie,Jussi/Juss,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,5,22
Häädemeeste,,,,Jeesus,Mari,Jaan,Peeter,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,7,111
Iisaku,,,,,Mari,Hans,Peeter,Mart/Martin,Other,Anne,Estonia core/west,North Estonian,viP,6,34
Iisalmi,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,Martti,,,Finland/Savo-Karelia,Finnish,su,7,30
Ilomantsi,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,9,431
Impilahti,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,Other,Pietari,,Kaisa,Anni,East Karelia/Veps/Tver,Livvi-Karelian,ka,9,96
Isojoki,,,,Jeesus,Maria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,11
Jaani,,,,,Mari,Jaan,Peeter,Mart/Martin,,Anne,Estonia core/west,North Estonian,viP,5,10
Jalasjärvi,,,,Jeesus,Maria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,14
Janakkala,,,,,Maija/Maie,Jussi/Juss,Pietari,,,Anni,Finland/Savo-Karelia,Finnish,su,4,13
