area_name,baps_id,cluster,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus / Christ,Mary / Maria / Maarja / Mari,John / Jaan / Jussi / Hans,Peter / Pietari / Peeter,Martin / Mart / Märt,Catherine / Kadri / Katri,Anna / Anne / Ann / Anni,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Alatornio,1,3,,,,Jeesus,Maija/Maie,,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,5,20
Alavus,2,5,,,,Jeesus,Maija/Maie,Jussi/Juss,Pekka,,,,Finland/Savo-Karelia,Finnish,su,4,12
Ambla,3,8,,,,Jeesus,Mari,Hans,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,183
Asikkala,4,3,,,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,Kaisa,Anna,Finland/Savo-Karelia,Finnish,su,6,27
Audru,5,8,,,,,Mari,Hans,Peeter,Mart/Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,6,126
Brandval,6,4,Ilmarinen,Väinämöinen,,Other,Maria,,,,Kati,,Finland/Savo-Karelia,Finnish,su,5,11
Eno,7,2,Ilmarinen,Väinämöinen,,Jeesus,Mari,,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,6,18
Hageri,8,7,,,,,Mari,Jaan,Peeter,Mart/Martin,,,Estonia core/west,North Estonian,viP,4,18
Haljala,9,8,,,,Jeesus,Mari,Ants,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,337
Halliste,10,7,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,Estonia core/west,South Estonian,viE,7,459
Hanila,11,7,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,7,47
Hargla,12,7,,,,Jeesus,Mari,Jaan,,Mard/Mardi,Katri,Anne,South Estonia/Seto,South Estonian,viE,6,48
Harju-Jaani,13,7,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,96
Harju-Madise,14,8,,,,,Mari,Hans,Peeter,Mard/Mardi,Kadri,,Estonia core/west,North Estonian,viP,5,17
Hartola,15,5,,,,Other,Maija/Maie,Jussi/Juss,Pekka,,Katariina/Katriina,,Finland/Savo-Karelia,Finnish,su,5,15
Hattula,16,3,,,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,,Anni,Finland/Savo-Karelia,Finnish,su,5,37
Hauho,17,2,,,,Jeesus,Maaria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,18
Heinjoki,18,1,,,,,Mari,Jussi/Juss,Pietari,,,Anni,Finland/Savo-Karelia,Finnish,su,4,13
Heinävesi,19,5,Ilmarinen,,,,Maija/Maie,Jussi/Juss,Pekka,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,6,36
Helme,20,7,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,Estonia core/west,South Estonian,viE,7,555
Hietamäki,21,3,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,,,Martti,Katri,Anni,Ingria,Finnish,su,7,22
Hollola,22,3,,,,,Maija/Maie,,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,4,11
Hämeenlinna,23,3,,,,,Maija/Maie,Jussi/Juss,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,5,22
Häädemeeste,24,7,,,,Jeesus,Mari,Jaan,Peeter,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,7,111
Iisaku,25,8,,,,,Mari,Hans,Peeter,Mart/Martin,Other,Anne,Estonia core/west,North Estonian,viP,6,34
Iisalmi,26,2,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,Martti,,,Finland/Savo-Karelia,Finnish,su,7,30
Ilomantsi,27,2,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,9,431
Impilahti,28,4,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,Other,Pietari,,Kaisa,Anni,East Karelia/Veps/Tver,Livvi-Karelian,ka,9,96
Isojoki,29,2,,,,Jeesus,Maria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,11
Jaani,30,7,,,,,Mari,Jaan,Peeter,Mart/Martin,,Anne,Estonia core/west,North Estonian,viP,5,10
Jalasjärvi,31,2,,,,Jeesus,Maria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,14
Janakkala,32,3,,,,,Maija/Maie,Jussi/Juss,Pietari,,,Anni,Finland/Savo-Karelia,Finnish,su,4,13
Joroinen,33,2,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,Anna,Finland/Savo-Karelia,Finnish,su,8,46
Juuka,34,4,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pekka,,,,Finland/Savo-Karelia,Finnish,su,6,17
Juuru,35,7,,,,Jeesus,Mari,Jaan,,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,41
Juva,36,2,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,7,75
