collection,display_prefix,Christ-type,Jesus-type,Other Jesus-cluster,total,christ_share
erab,H II ,19,199,0,218,0.0871559633027523
erab,H III ,14,45,0,59,0.23728813559322035
erab,H I ,1,45,0,46,0.021739130434782608
erab,E ,4,25,0,29,0.13793103448275862
erab,"H, Jagomann ",0,17,0,17,0.0
erab,"H, R ",3,13,0,16,0.1875
erab,E A ,0,14,0,14,0.0
erab,ERA II ,3,10,0,13,0.23076923076923078
erab,EÜS VIII ,3,10,0,13,0.23076923076923078
erab,H IV ,3,9,0,12,0.25
jr,JR ,93,552,0,645,0.14418604651162792
skvr,SKVR VII,34,444,0,478,0.07112970711297072
skvr,SKVR VI,10,126,0,136,0.07352941176470588
skvr,SKVR IX,10,117,0,127,0.07874015748031496
skvr,SKVR IV,8,104,0,112,0.07142857142857142
skvr,SKVR V,2,108,0,110,0.01818181818181818
skvr,SKVR III,11,89,0,100,0.11
skvr,SKVR VIII ,6,20,0,26,0.23076923076923078
skvr,SKVR II ,5,18,0,23,0.21739130434782608
