broad_region,mentions,subtype,share_of_subtype
Finland/Savo-Karelia,92,Christ-type,0.39826839826839827
East Karelia/Veps/Tver,58,Christ-type,0.2510822510822511
Estonia core/west,41,Christ-type,0.1774891774891775
Ingria,28,Christ-type,0.12121212121212122
South Estonia/Seto,7,Christ-type,0.030303030303030304
Other/unclear,5,Christ-type,0.021645021645021644
Finland/Savo-Karelia,814,Jesus-type,0.406187624750499
East Karelia/Veps/Tver,404,Jesus-type,0.20159680638722555
Ingria,346,Jesus-type,0.17265469061876249
Estonia core/west,255,Jesus-type,0.12724550898203593
South Estonia/Seto,161,Jesus-type,0.08033932135728543
Other/unclear,24,Jesus-type,0.011976047904191617
