area_name,variant,mentions,poems
Alatornio,Jeesus,1,1
Alavus,Jeesus,2,2
Ambla,Christ/Kristus,2,1
Ambla,Jeesus,9,2
Ambla,Other,2,2
Asikkala,Jeesus,5,3
Brandval,Christ/Kristus,1,1
Brandval,Jeesus,1,1
Brandval,Other,2,1
Eno,Jeesus,3,3
Eno,Other,1,1
Enontekiö,Jeesus,1,1
Eräjärvi,Other,1,1
Evijärvi,Christ/Kristus,1,1
Fryksände,Jeesus,2,1
Grue Finnskog,Jeesus,4,3
Haapajärvi,Jeesus,1,1
Hailuoto,Jeesus,3,2
Haljala,Jeesus,5,5
Haljala,Other,2,2
Halliste,Jeesus,2,2
Hanila,Jeesus,1,1
Hargla,Jeesus,1,1
Harjavalta,Christ/Kristus,1,1
Harju-Jaani,Jeesus,1,1
Hartola,Christ/Kristus,1,1
Hartola,Jeesus,2,2
Hartola,Other,3,3
Hattula,Christ/Kristus,1,1
Hattula,Jeesus,3,3
Hauho,Jeesus,5,3
Hauho,Other,2,1
Haukipudas,Christ/Kristus,1,1
Haukipudas,Other,1,1
Helme,Jeesus,3,2
Hietamäki,Jeesus,2,2
Hiitola,Jeesus,1,1
Hirvensalmi,Jeesus,4,2
Huittinen,Jeesus,1,1
Hämeenkyrö,Jeesus,1,1
Häädemeeste,Jeesus,1,1
Iisalmi,Jeesus,3,3
Iisalmi,Other,2,1
Iitti,Jeesus,3,3
Ilomantsi,Christ/Kristus,13,5
Ilomantsi,Jeesus,33,25
Ilomantsi,Other,12,9
Impilahti,Christ/Kristus,3,2
Impilahti,Jeesus,20,15
Impilahti,Other,7,4
Isojoki,Jeesus,3,2
Isojoki,Other,3,2
Isokyrö,Jeesus,2,2
Isokyrö,Other,3,2
Jaakkima,Jeesus,2,2
Jaakkima,Other,1,1
Jaala,Christ/Kristus,1,1
Jaala,Jeesus,1,1
Jalasjärvi,Christ/Kristus,3,2
Jalasjärvi,Jeesus,6,4
Jokioinen,Jeesus,5,4
Jokioinen,Other,1,1
Joroinen,Jeesus,5,3
Joroinen,Other,1,1
Joutsa,Jeesus,1,1
Joutsa,Other,1,1
Joutseno,Jeesus,2,2
Junosuvanto,Jeesus,1,1
Jurva,Jeesus,5,5
Juuka,Jeesus,5,5
Juuka,Other,1,1
Juupajoki,Christ/Kristus,1,1
Juupajoki,Jeesus,1,1
Juuru,Jeesus,2,1
Juva,Christ/Kristus,4,3
Juva,Jeesus,17,13
Juva,Other,9,7
Jällivaara,Christ/Kristus,1,1
Jällivaara,Jeesus,7,6
Jämsä,Jeesus,2,2
Jämsä,Other,1,1
Jäppilä,Jeesus,1,1
Järva-Jaani,Jeesus,2,1
Jõelähtme,Jeesus,3,2
Jõhvi,Jeesus,9,6
Jüri,Jeesus,1,1
Kaarma,Jeesus,3,1
Kaavi,Jeesus,3,3
Kadrina,Jeesus,15,6
Kadrina,Other,3,2
Kalajoki,Jeesus,2,1
Kalvola,Jeesus,3,2
Kalvola,Other,1,1
Kanepi,Christ/Kristus,1,1
Kanepi,Jeesus,1,1
Kangasniemi,Jeesus,6,4
Kankaanpää,Christ/Kristus,1,1
Kankaanpää,Jeesus,1,1
Kankaanpää,Other,1,1
Kanneljärvi,Jeesus,3,2
Kannus,Jeesus,1,1
Kaprio,Christ/Kristus,2,2
Kaprio,Jeesus,11,9
Kaprio,Other,2,2
Karkku,Jeesus,6,4
Karksi,Jeesus,3,2
Karttula,Jeesus,3,3
Karula,Other,1,1
Karunki,Jeesus,1,1
Kattila,Christ/Kristus,1,1
Kattila,Jeesus,7,4
Kauhava,Christ/Kristus,1,1
Kauhava,Jeesus,5,5
Kauhava,Other,1,1
Kaustinen,Jeesus,1,1
Keitele,Jeesus,1,1
Keltto,Jeesus,1,1
Kemi,Christ/Kristus,2,1
Kemi,Jeesus,4,3
Kerimäki,Jeesus,3,3
Kerimäki,Other,1,1
Kestilä,Jeesus,4,1
Kesälahti,Jeesus,12,6
Kesälahti,Other,1,1
Kiestinki,Jeesus,2,2
Kiihtelysvaara,Jeesus,5,5
Kiihtelysvaara,Other,4,1
Kiikala,Christ/Kristus,1,1
Kiimaisjärvi,Jeesus,1,1
Kitee,Christ/Kristus,2,1
Kitee,Jeesus,37,25
Kitee,Other,7,5
Kittilä,Jeesus,3,2
Kiukainen,Jeesus,2,1
Kiuruvesi,Christ/Kristus,1,1
Kiuruvesi,Jeesus,6,2
Kiuruvesi,Other,3,3
Kivennapa,Christ/Kristus,2,2
Kivijärvi,Jeesus,3,3
Kivijärvi,Other,4,4
Kodavere,Christ/Kristus,3,2
Kodavere,Jeesus,5,4
Koeru,Jeesus,8,5
Koivisto,Jeesus,6,3
Kolari,Jeesus,3,3
Kolga-Jaani,Jeesus,4,2
Kontiolahti,Jeesus,3,2
Kontiolahti,Other,1,1
Kontokki,Jeesus,3,3
Koprina,Jeesus,10,7
Koprina,Other,2,2
Korpilahti,Jeesus,9,8
Korpilahti,Other,4,4
Korpilompolo,Jeesus,2,2
Korpiselkä,Christ/Kristus,8,3
Korpiselkä,Jeesus,31,19
Korpiselkä,Other,1,1
Kortesjärvi,Christ/Kristus,1,1
Koski Hl.,Other,4,2
Koski Tl.,Christ/Kristus,2,2
Koski Tl.,Jeesus,1,1
Kuhmo,Jeesus,1,1
Kuhmoinen,Christ/Kristus,2,2
Kuhmoinen,Jeesus,3,3
Kuhmoinen,Other,3,2
Kuolemajärvi,Jeesus,1,1
Kuopio,Jeesus,4,4
Kuorevesi,Christ/Kristus,1,1
Kuorevesi,Other,2,2
Kupanitsa,Jeesus,5,2
Kupanitsa,Other,1,1
Kurikka,Jeesus,1,1
Kuru,Christ/Kristus,1,1
Kuru,Jeesus,1,1
Kuusalu,Christ/Kristus,6,6
Kuusalu,Jeesus,11,8
Kuusalu,Other,3,3
Kuusamo,Jeesus,4,4
Kuusjärvi,Jeesus,1,1
Kylmäkoski,Jeesus,1,1
Kärkölä,Jeesus,1,1
Kõpu,Christ/Kristus,1,1
Kõpu,Jeesus,1,1
Laihia,Jeesus,2,2
Laiuse,Christ/Kristus,4,3
Laiuse,Jeesus,2,2
Lammi,Jeesus,2,1
Lappajärvi,Jeesus,1,1
Lappee,Jeesus,1,1
Lavansaari,Jeesus,1,1
Lehtimäki,Christ/Kristus,1,1
Lempaala,Jeesus,76,44
Lempaala,Other,9,4
Leppävirta,Jeesus,3,2
Leppävirta,Other,1,1
Lieto,Christ/Kristus,1,1
Liissilä,Christ/Kristus,5,3
Liissilä,Jeesus,36,17
Liperi,Jeesus,8,6
Liperi,Other,1,1
Loppi,Jeesus,5,5
Loppi,Other,1,1
Luhanka,Jeesus,2,1
Luopioinen,Jeesus,3,1
Luumäki,Jeesus,3,2
Luumäki,Other,1,1
