county,person_cluster,mentions,poems,distinct_standard_lemmas,distinct_local_lemmas,top_standard_lemmas,top_local_lemmas,county_join,county_or_self,county_label,lat,lon,mapped,dominant_name_type,top_standard_name
,John / Jaan / Jussi / Hans,62,31,10,13,Hans (27); Jaan (25); Ants (2); Juhan (2); jussi (1); Juss (1); jaan (1); Hannus (1),Hans (27); Jaan (12); jani (10); Jussi (2); Ants (2); Juhan (2); jussi (1); jaan (1),,,Unknown / missing county,,,False,Estonian Jaan/Hans/Ants,Hans
Aunus,John / Jaan / Jussi / Hans,3,2,2,2,Iivana (2); jää+n (1),Iivana (2); jää+n (1),Aunus,Aunus,Aunus,61.25,32.95,True,Karelian/Ingrian Iivana,Iivana
Etelä-Karjala,John / Jaan / Jussi / Hans,46,36,2,6,Jussi (45); Juhana (1),Jussi (41); Jassi (1); Juhana (1); Jusse (1); jussi (1); Jussikko-kin (1),Etelä-Karjala,Etelä-Karjala,Etelä-Karjala,61.2,28.5,True,Finnish Jussi/Juhani,Jussi
Etelä-Pohjanmaa,John / Jaan / Jussi / Hans,41,38,4,3,Jussi (38); Juhana (1); Johannes (1); Juha (1),Jussi (39); Johannekselta (1); Juha (1),Etelä-Pohjanmaa,Etelä-Pohjanmaa,Etelä-Pohjanmaa,62.9,22.8,True,Finnish Jussi/Juhani,Jussi
Etelä-Savo,John / Jaan / Jussi / Hans,49,42,4,6,Jussi (46); Juhani (1); Iivana (1); Johannes (1),Jussi (43); Jutas (2); Johan (1); Iitam (1); Johannes (1); jussim (1),Etelä-Savo,Etelä-Savo,Etelä-Savo,61.75,27.7,True,Finnish Jussi/Juhani,Jussi
Harjumaa,John / Jaan / Jussi / Hans,181,101,13,25,Jaan (68); Hans (52); Ants (34); Juhan (6); Juss (5); Joan (5); Johannes (3); hans (2),Jaan (53); Hans (41); Ants (34); Hants (7); jaan (7); Juhan (6); Jussi (3); Hansu (3),Harjumaa,Harjumaa,Harjumaa,59.4,24.8,True,Estonian Jaan/Hans/Ants,Jaan
Häme,John / Jaan / Jussi / Hans,117,98,4,6,Jussi (113); Juhani (2); Johannes (1); Jussi (name) (1),Jussi (111); Juhani (2); Johannes (1); Jussi(n) (1); Jassi (1); Jussille (1),Häme,Häme,Häme,61.1,24.4,True,Finnish Jussi/Juhani,Jussi
Itä- ja Pohjois-Inkeri,John / Jaan / Jussi / Hans,20,13,7,6,Jussi (9); Hannus (6); Juhana (1); Juhani (1); Jussi+si (1); Iivana (1); (proper) (1),Jussi (10); Hannus (6); Juhana (1); Juhani (1); Jussi+si (1); Iivana (1),Itä- ja Pohjois-Inkeri,Itä- ja Pohjois-Inkeri,Itä- ja Pohjois-Inkeri,60.15,30.7,True,Finnish Jussi/Juhani,Jussi
Järvamaa,John / Jaan / Jussi / Hans,227,72,8,19,Jaan (87); jaan (58); Hans (48); Juhan (17); Ants (12); Juku (2); Junnu (2); juhan (1),jaan (46); Hans (42); Jaan (39); Jaanike (35); Juhan (17); Ants (12); jaanike (12); Jaani (7),Järvamaa,Järvamaa,Järvamaa,58.9,25.6,True,Estonian Jaan/Hans/Ants,Jaan
Kainuu,John / Jaan / Jussi / Hans,16,12,3,4,Jussi (14); Johannes (1); Juhani (1),Jussi (12); jussi (2); Johannes (1); Juhani (1),Kainuu,Kainuu,Kainuu,64.3,28.2,True,Finnish Jussi/Juhani,Jussi
