county_or_self,tokens,poems,places,variation_rate,raw_variation_rate,top_mismatch_pairs,county_label,lat,lon,mapped,macro_region
Setumaa,85852,1187,1,0.6469622140427713,0.6473233005637609,iks -> - (677); ma -> mina (637); pääle -> peale (571); iks -> -ks (562); õks -> - (520); kodo -> kodu (400); sa -> sina (398); sis -> siis (354),Setumaa,57.82,27.38,True,South Estonia/Seto
Vepsäläisalueet,8473,562,1,0.608639206892482,0.6104095361737283,,Vepsäläisalueet,61.37,35.36,True,East Karelia/Veps/Tver
Tveri,4711,194,8,0.5818297601358523,0.5839524517087668,,Tveri,57.8,35.88,True,East Karelia/Veps/Tver
Võrumaa,158742,3241,10,0.5253367098814429,0.5258343727557924,pääle -> peale (985); ma -> mina (753); iks -> - (532); iks -> -ks (472); ta -> tema (438); sääl -> seal (436); om -> olema (432); pääl -> peal (411),Võrumaa,57.85,26.95,True,South Estonia/Seto
Novgorodin alue,400,18,1,0.48,0.48,,Novgorodin alue,58.55,31.25,True,East Karelia/Veps/Tver
Muurmanni,142,5,2,0.4154929577464789,0.4295774647887324,,Muurmanni,68.97,33.08,True,East Karelia/Veps/Tver
Aunus,46431,1210,18,0.3805216342529775,0.3814262023217247,on -> olla (251); mie -> minä (116); i -> ja (103); sie -> sinä (89); terveh -> terve (81); da -> ja (63); moa -> maa (58); kui -> kuin (52),Aunus,61.25,32.95,True,East Karelia/Veps/Tver
Valgamaa,4388,79,2,0.3776207839562443,0.3776207839562443,,Valgamaa,57.9,26.15,True,South Estonia/Seto
Länsi-Inkeri,222791,4021,5,0.3505392946752786,0.3512170599350961,mie -> minä (1716); on -> olla (754); vello -> veli (608); miä -> minä (540); miun -> minun (489); sie -> sinä (463); ku -> kun (351); kui -> kuin (317),Länsi-Inkeri,59.65,28.75,True,Ingria
Keski-Inkeri,154178,2813,16,0.348363579758461,0.3489538066390795,mie -> minä (1325); sie -> sinä (603); on -> olla (479); miun -> minun (467); miä -> minä (357); ku -> kun (226); vello -> veli (157); männä -> mennä (138),Keski-Inkeri,59.75,30.2,True,Ingria
