person_cluster,area_total_threshold,areas,mentions,variants,chi2,dof,p_value,cramers_v
Ilmarinen,1,73,281,2,118.6026571268238,72,0.0004516382650405904,0.6496718501727209
Ilmarinen,5,13,184,2,10.979005524861876,12,0.5307187735278871,0.2442713824566701
Ilmarinen,10,4,128,2,6.7584,3,0.0800103404772883,0.22978250586152116
Ilmarinen,20,2,105,2,2.6799349547511313,1,0.10161987893415128,0.1597597885741242
Väinämöinen,1,119,1130,2,144.93883804527692,118,0.04666063889570746,0.3581402776108096
Väinämöinen,5,43,999,2,101.86570238564106,42,6.956177832045369e-07,0.3193237699509649
Väinämöinen,10,27,892,2,89.70287906073631,26,6.20890687884772e-09,0.31711790514437577
Väinämöinen,20,11,666,2,62.81387080356794,10,1.0594025555701526e-09,0.3071076705761004
Lemminkäinen,1,29,252,2,47.56354268528181,28,0.011935462528220264,0.4344470243943288
Lemminkäinen,5,11,215,2,33.78020883309345,10,0.00020121481529223025,0.396380184149613
Lemminkäinen,10,8,196,2,29.135945473445474,7,0.0001366563198138806,0.385555162107555
Lemminkäinen,20,4,144,2,12.625312063949762,3,0.005521106613775404,0.29610095950853205
