person_cluster,area_name,english_category,mentions,poems
Ilmarinen,Brandval,Ilmarinen,1,1
Ilmarinen,Eno,Ilmarinen,2,2
Ilmarinen,Haapavesi,Ilmarinen,1,1
Ilmarinen,Heinävesi,Ilmarinen,1,1
Ilmarinen,Hietamäki,Ilmarinen,1,1
Ilmarinen,Hyrynsalmi,Ilmarinen,1,1
Ilmarinen,Iisalmi,Ilmarinen,1,1
Ilmarinen,Ilomantsi,Ilmarinen,64,14
Ilmarinen,Ilomantsi,Other,1,1
Ilmarinen,Impilahti,Ilmarinen,2,2
Ilmarinen,Joroinen,Ilmarinen,1,1
Ilmarinen,Juuka,Ilmarinen,1,1
Ilmarinen,Juva,Ilmarinen,3,3
Ilmarinen,Kaavi,Ilmarinen,1,1
Ilmarinen,Kangaslampi,Ilmarinen,1,1
Ilmarinen,Kaprio,Ilmarinen,2,2
Ilmarinen,Keltto,Ilmarinen,1,1
Ilmarinen,Kerimäki,Ilmarinen,3,2
Ilmarinen,Kesälahti,Ilmarinen,4,3
Ilmarinen,Kiihtelysvaara,Ilmarinen,1,1
Ilmarinen,Kitee,Ilmarinen,12,8
Ilmarinen,Kontiolahti,Ilmarinen,2,2
Ilmarinen,Korpiselkä,Ilmarinen,7,2
Ilmarinen,Korpiselkä,Other,4,1
Ilmarinen,Kuhmoinen,Ilmarinen,2,1
Ilmarinen,Kuusamo,Ilmarinen,1,1
Ilmarinen,Kuusjärvi,Ilmarinen,1,1
Ilmarinen,Lapinlahti,Ilmarinen,3,1
Ilmarinen,Lempaala,Ilmarinen,6,6
Ilmarinen,Liissilä,Ilmarinen,1,1
Ilmarinen,Liperi,Ilmarinen,2,2
Ilmarinen,Metsäpirtti,Ilmarinen,1,1
Ilmarinen,Moloskovitsa,Ilmarinen,2,2
Ilmarinen,Muuruvesi,Ilmarinen,1,1
Ilmarinen,Narvusi,Ilmarinen,3,3
Ilmarinen,Nilsiä,Ilmarinen,4,3
Ilmarinen,Nurmes,Ilmarinen,2,2
Ilmarinen,Oulu,Ilmarinen,1,1
Ilmarinen,Paltamo,Ilmarinen,5,2
Ilmarinen,Pieksämäki,Ilmarinen,1,1
Ilmarinen,Pielavesi,Ilmarinen,2,2
Ilmarinen,Pielavesi,Other,1,1
Ilmarinen,Pielisjärvi,Ilmarinen,3,3
Ilmarinen,Porajärvi,Ilmarinen,6,2
Ilmarinen,Repola,Ilmarinen,1,1
Ilmarinen,Rovaniemi,Ilmarinen,1,1
Ilmarinen,Ruskeala,Ilmarinen,1,1
Ilmarinen,Saarijärvi,Ilmarinen,1,1
Ilmarinen,Salmi,Ilmarinen,1,1
Ilmarinen,Serepetta,Ilmarinen,1,1
Ilmarinen,Soikkola,Ilmarinen,7,4
Ilmarinen,Sortavala,Ilmarinen,1,1
Ilmarinen,Sotkamo,Ilmarinen,1,1
Ilmarinen,Suistamo,Ilmarinen,6,4
Ilmarinen,Sulkava,Ilmarinen,1,1
Ilmarinen,Suojärvi,Ilmarinen,35,12
Ilmarinen,Suojärvi,Other,5,3
Ilmarinen,Suomussalmi,Ilmarinen,8,1
Ilmarinen,Suonenjoki,Ilmarinen,1,1
Ilmarinen,Säräisniemi,Ilmarinen,2,1
Ilmarinen,Säämäjärvi,Ilmarinen,1,1
Ilmarinen,Södra Finnskoga,Ilmarinen,1,1
Ilmarinen,Tohmajärvi,Ilmari/Ilmar,1,1
Ilmarinen,Tohmajärvi,Ilmarinen,2,1
Ilmarinen,Toksova,Ilmarinen,4,1
Ilmarinen,Tulemajärvi,Ilmarinen,5,2
Ilmarinen,Tyrvää,Ilmarinen,5,1
Ilmarinen,Tyrö,Ilmarinen,3,3
Ilmarinen,Uhtua,Ilmarinen,1,1
Ilmarinen,Uukuniemi,Ilmarinen,1,1
Ilmarinen,Varkaus,Ilmarinen,2,1
Ilmarinen,Venjoki,Ilmarinen,2,1
Ilmarinen,Vieljärvi,Ilmarinen,8,1
Ilmarinen,Vihanti,Ilmarinen,1,1
Ilmarinen,Vitele,Other,1,1
Ilmarinen,Vuokkiniemi,Ilmarinen,1,1
Ilmarinen,Vuole,Other,2,1
Ilmarinen,Östmark,Other,1,1
Lemminkäinen,Askainen,Lemminkäinen,2,1
Lemminkäinen,Ilomantsi,Lemminkäinen,23,11
Lemminkäinen,Ilomantsi,Other,2,1
Lemminkäinen,Impilahti,Lemminkäinen,2,1
Lemminkäinen,Jyskyjärvi,Lemminkäinen,6,1
Lemminkäinen,Kesälahti,Lemminkäinen,3,1
Lemminkäinen,Kesälahti,Other,1,1
Lemminkäinen,Kiimaisjärvi,Lemminkäinen,14,1
Lemminkäinen,Kontokki,Lemminkäinen,8,3
Lemminkäinen,Korpiselkä,Lemminkäinen,3,2
Lemminkäinen,Kuusalu,Lemmingäinen/Lemming,4,1
Lemminkäinen,Lemu,Lemminkäinen,2,1
Lemminkäinen,Lokalahti,Lemminkäinen,2,1
Lemminkäinen,Mynämäki,Lemminkäinen,1,1
Lemminkäinen,Nilsiä,Lemminkäinen,3,1
Lemminkäinen,Nilsiä,Other,1,1
Lemminkäinen,Pistojärvi,Lemminkäinen,1,1
Lemminkäinen,Porajärvi,Lemminkäinen,30,6
Lemminkäinen,Raisio,Lemminkäinen,1,1
Lemminkäinen,Repola,Lemminkäinen,37,9
Lemminkäinen,Saarijärvi,Lemminkäinen,18,1
Lemminkäinen,Salmi,Lemminkäinen,1,1
Lemminkäinen,Soanlahti,Lemminkäinen,10,3
Lemminkäinen,Suistamo,Lemmingäinen/Lemming,7,3
Lemminkäinen,Suistamo,Lemminkäinen,40,11
Lemminkäinen,Suistamo,Other,5,2
Lemminkäinen,Suojärvi,Lemmingäinen/Lemming,2,1
Lemminkäinen,Suojärvi,Lemminkäinen,8,2
Lemminkäinen,Taivassalo,Lemminkäinen,2,2
Lemminkäinen,Tulemajärvi,Lemminkäinen,1,1
Lemminkäinen,Uhtua,Lemminkäinen,1,1
Lemminkäinen,Uusikirkko Tl.,Lemminkäinen,4,2
Lemminkäinen,Vehmaa,Other,1,1
Lemminkäinen,Vuokkiniemi,Lemminkäinen,5,3
Lemminkäinen,Vuole,Lemminkäinen,1,1
Väinämöinen,Brandval,Väinämöinen,1,1
Väinämöinen,Eno,Väinämöinen,3,2
Väinämöinen,Grue Finnskog,Väinämöinen,2,2
Väinämöinen,Haapajärvi,Väinämöinen,10,2
Väinämöinen,Hankasalmi,Väinämöinen,1,1
Väinämöinen,Hietamäki,Väinämöinen,1,1
Väinämöinen,Huittinen,Väinämöinen,1,1
Väinämöinen,Iisalmi,Väinämöinen,5,5
Väinämöinen,Ilmajoki,Väinämöinen,1,1
Väinämöinen,Ilomantsi,Väinämöinen,157,61
Väinämöinen,Impilahti,Väinämöinen,25,8
Väinämöinen,Joroinen,Väinämöinen,19,8
Väinämöinen,Joutsa,Väinämöinen,2,1
Väinämöinen,Juuka,Väinämöinen,2,2
Väinämöinen,Juva,Väinämöinen,5,5
Väinämöinen,Jäppilä,Väinämöinen,2,1
Väinämöinen,Kaavi,Väinämöinen,9,7
Väinämöinen,Kangaslampi,Väinämöinen,1,1
Väinämöinen,Kangasniemi,Väinämöinen,1,1
Väinämöinen,Kaprio,Väinämöinen,22,9
Väinämöinen,Karstula,Väinämöinen,3,1
Väinämöinen,Kauhava,Väinämöinen,1,1
Väinämöinen,Keitele,Väinämöinen,1,1
Väinämöinen,Keltto,Väinämöinen,1,1
Väinämöinen,Kerimäki,Väinämöinen,3,3
Väinämöinen,Kestilä,Väinämöinen,2,2
Väinämöinen,Kesälahti,Väinämöinen,25,7
Väinämöinen,Kiestinki,Väinämöinen,18,3
Väinämöinen,Kiimaisjärvi,Väinämöinen,16,5
Väinämöinen,Kinnula,Väinämöinen,3,1
Väinämöinen,Kitee,Väinämöinen,30,13
Väinämöinen,Kittilä,Väinämöinen,5,4
Väinämöinen,Kiuruvesi,Väinämöinen,4,2
Väinämöinen,Kivijärvi,Väinämöinen,2,2
Väinämöinen,Kontiolahti,Väinämöinen,5,4
Väinämöinen,Kontokki,Väinämöinen,9,8
Väinämöinen,Korpilahti,Väinämöinen,1,1
Väinämöinen,Korpiselkä,Other,1,1
Väinämöinen,Korpiselkä,Väinämöinen,41,24
Väinämöinen,Kuhmo,Väinämöinen,1,1
Väinämöinen,Kuhmoinen,Väinämöinen,2,1
Väinämöinen,Kuopio,Väinämöinen,1,1
Väinämöinen,Kurkijoki,Väinämöinen,2,2
Väinämöinen,Kuusamo,Väinämöinen,3,1
Väinämöinen,Kuusjärvi,Väinämöinen,2,2
Väinämöinen,Kärsämäki,Väinämöinen,1,1
Väinämöinen,Köyliö,Väinämöinen,1,1
Väinämöinen,Lapinlahti,Väinämöinen,10,3
Väinämöinen,Lekvattnet,Väinämöinen,1,1
Väinämöinen,Lemi,Väinämöinen,2,2
Väinämöinen,Lempaala,Väinämöinen,12,11
Väinämöinen,Leppävirta,Väinämöinen,1,1
Väinämöinen,Liperi,Väinämöinen,8,4
Väinämöinen,Maaninka,Väinämöinen,2,2
Väinämöinen,Metsäpirtti,Väinämöinen,2,2
Väinämöinen,Muonio,Väinämöinen,1,1
Väinämöinen,Muuruvesi,Väinämöinen,4,3
Väinämöinen,Mäntyharju,Väinämöinen,1,1
Väinämöinen,Narvusi,Other,1,1
Väinämöinen,Narvusi,Väinämöinen,8,3
Väinämöinen,Nivala,Väinämöinen,1,1
Väinämöinen,Nurmes,Other,1,1
Väinämöinen,Nurmes,Väinämöinen,8,8
Väinämöinen,Padasjoki,Väinämöinen,3,1
