person_cluster,area_total_threshold,areas,mentions,variants,chi2,dof,p_value,cramers_v
Ilmarinen,1,73,281,3,204.29327410534958,144,0.0007130714775311924,0.6029188700716892
Ilmarinen,5,13,184,2,30.18732899284624,12,0.002616665220437696,0.4050451463890103
Ilmarinen,10,4,128,2,18.240113784520567,3,0.00039243443040589516,0.37749289919357015
Ilmarinen,20,2,105,2,3.6751529720279725,1,0.0552291854896425,0.1870867629642912
Väinämöinen,1,119,1130,3,94.87209648023484,236,1.0,0.2048872952437908
Väinämöinen,5,43,999,3,69.848991339295,84,0.8660027602498914,0.1869744772014947
Väinämöinen,10,27,892,3,49.68031137949511,52,0.5656305395629702,0.16687632597933935
Väinämöinen,20,11,666,3,28.266472384967795,20,0.10323996276521863,0.1456745529050628
Lemminkäinen,1,29,252,3,141.91193023436088,56,2.1196624863245965e-09,0.5306329146854174
Lemminkäinen,5,11,215,3,38.05748400120259,20,0.008713462610818677,0.2974992046157145
Lemminkäinen,10,8,196,3,33.37695726495726,14,0.002541274710112882,0.29179667432186257
Lemminkäinen,20,4,144,3,20.303147928994086,6,0.002445389957352295,0.26551278956034935
