county,person_cluster,mentions,poems,distinct_standard_lemmas,distinct_local_lemmas,top_standard_lemmas,top_local_lemmas
,God / Jumala / Jumal,189,93,15,22,herra (67); jumal (24); Jumala (24); härra (20); luoja (18); Jumal (10); jumala (7); isand (5),herra (64); jumal (21); Jumala (21); härra (19); luoja (17); jumala (10); jummal (6); looja (6)
,John / Jaan / Jussi / Hans,62,31,10,13,Hans (27); Jaan (25); Ants (2); Juhan (2); jussi (1); Juss (1); jaan (1); Hannus (1),Hans (27); Jaan (12); jani (10); Jussi (2); Ants (2); Juhan (2); jussi (1); jaan (1)
,Mary / Maria / Maarja / Mari,58,38,7,11,Mari (32); mari (15); Maaria (4); Maarja (3); Maria (2); marra (1); marj (1),Mari (28); mari (12); marja (4); Maaria (4); Maarja (3); Marja (2); marran (1); marä (1)
,Martin / Mart / Märt,35,8,6,6,märti (14); Märt (8); Mart (5); mard (4); märt (2); marti (2),märti (14); Märt (8); Mart (5); mard (4); märt (2); marti (2)
,Anna / Anne / Ann / Anni,30,11,4,5,Ann (13); Anne (13); Anni (3); anne (1),Ann (13); Anne (10); Annekene (3); Anni (3); anne (1)
,Ukko,29,21,2,3,ukko (22); Ukko (7),ukko (21); Ukko (7); ukko+n (1)
,Kokki,25,3,1,1,Kokki (25),Kokki (25)
,Jesus / Christ,24,19,2,7,Jeesus (22); Kristus (2),Jeesus (10); Jiesus (5); Jeesu (4); Kristus (2); jeesus + -kene (1); jesuxen (1); Jesus (1)
,Catherine / Kadri / Katri,23,9,3,3,Kadri (18); Kaisa (3); Kati (2),Kadri (18); Kaisa (3); Kati (2)
,Matthew / Matti,19,12,4,5,Matti (7); mats (6); Mats (5); Matsi (1),Matti (7); Mats (5); mats (5); malts (1); Matsi (1)
,Peter / Pietari / Peeter,19,15,7,8,Peeter (8); Pekka (4); Pietari (3); Peet (1); peeter (1); Petteri (1),Peeter (6); Pekka (5); Pietari (3); Pert (1); Peet (1); peetrikene (1); petteri (1); Peetrus (1)
,Thomas / Toomas / Tuomas,18,8,2,3,Toomas (9); Tuomas (9),Tuomas (9); Toomas (8); toomas (1)
,Väinämöinen,15,7,1,1,Väinämöinen (15),Väinämöinen (15)
,Kai,12,3,1,1,Kai (12),Kai (12)
,George / Jüri,9,9,2,4,Jüri (8); Juri (1),Jüri (6); Juri (1); jüri (1); Jürikene (1)
,Henry / Heikki,9,4,2,2,Heikki (8); Henrikki (1),Heikki (8); Henrikki (1)
,Jacob / Jaak / Jaakko,8,6,4,4,Jaak (4); Jakob (1); Jaakko (1),Jaak (4); Jakob (1); Jaakko (1)
,Michael / Mikko / Mihkel,8,5,3,4,Mihkel (5); Mikk (2); Mikko (1),Mihkel (4); Miku (2); Mikko (1); mihkel (1)
,Tuoni,8,7,3,3,Tuoni (6); tuoni (1); tuonen (1),Tuoni (6); tuoni (1); tuone-n (1)
,Lauri,7,3,1,1,Lauri (7),Lauri (7)
,Oudin,7,1,1,1,Oudin (7),Oudin (7)
,Andrew / Antti,6,3,1,1,Antti (6),Antti (6)
,Elizabeth / Liisa / Liisu / Elli,6,6,3,4,Liisu (3); Liisa (2),Liisu (2); Liisa (2); Liisuke (1)
,Eve / Eeva,6,4,2,2,Eeva (5); aatto (1),Eeva (5); aatto (1)
,Ilmarinen,6,6,1,2,Ilmarinen (6),Ilmarinen (5); Silmarinen (1)
,Makkonen,6,1,1,1,Makkonen (6),Makkonen (6)
,Kalev / Kalervo,5,5,1,2,Kalev (5),Kalev (4); kalev (1)
,Simana,5,1,1,1,Simana (5),Simana (5)
,Tapio,5,3,1,1,Tapio (5),Tapio (5)
,Judas / Juudas,4,2,2,2,Juudas (2); Juutas (2),Juudas (2); Juutas (2)
,Kaie,4,2,1,1,Kaie (4),Kaie (4)
,(proper noun),3,2,1,3,(proper noun) (3),loja (1); junne (1); Immerki (1)
,Esko,3,2,1,2,Esko (3),Esko (2); Eskon (1)
,Helkka,3,1,1,1,Helkka (3),Helka (3)
,Lilla,3,2,1,2,Lilla (3),Lilla (2); lilla (1)
,Mulk,3,1,1,1,Mulk (3),Mulk (3)
,Taipale,3,1,1,1,Taipale (3),Taipale (3)
,Tarjus,3,1,1,1,Tarjus (3),Tarjus (3)
,Vasko,3,1,1,1,Vasko (3),Vasko (3)
,(name),2,1,1,2,(name) (2),Santi (1); Lauri (1)
,Duomar,2,1,1,1,Duomar (2),Duomar (2)
,Elias / Eljas,2,2,2,2,eljas (1); Elias (1),eljas (1); Elias (1)
,Hippa,2,1,1,1,Hippa (2),Hippa (2)
,Ivar,2,1,1,1,Ivar (2),Ivar (2)
,Johan,2,1,1,1,Johan (2),Johan (2)
,Jääsken,2,1,1,1,Jääsken (2),Jääsken (2)
,Kuokkala,2,2,1,1,Kuokkala (2),Kuokkala (2)
,Kuri,2,1,1,1,Kuri (2),Kuri (2)
,Luukas,2,1,1,1,Luukas (2),Luukas (2)
,Mai,2,1,1,1,Mai (2),Mai (2)
,Maie,2,1,1,1,Maie (2),Maie (2)
,Malle,2,1,1,1,Malle (2),Malle (2)
,Nirgi,2,2,1,1,Nirgi (2),Nirgi (2)
,Olli,2,1,1,1,Olli (2),Olli (2)
,Rampori,2,1,1,1,Rampori (2),Rampori (2)
,Simon / Siim / Simo,2,2,1,1,Siim (2),Siim (2)
,Tahvo,2,1,1,1,Tahvo (2),Tahvo (2)
,Talna,2,2,1,1,Talna (2),Talna (2)
,Teppo,2,1,1,1,Teppo (2),Teppana (2)
,Tetermann,2,1,1,1,Tetermann (2),tetermann (2)
,Tiiu,2,1,1,1,Tiiu (2),Tiiu (2)
,Viia,2,1,1,1,Viia (2),Viio (2)
,Viire,2,1,1,1,Viire (2),viire (2)
,Aadam,1,1,1,1,Aadam (1),Aadam (1)
,Ahmo,1,1,1,1,Ahmo (1),Ahmo (1)
,Ahti,1,1,1,1,Ahti (1),Ahti (1)
,Alli,1,1,1,1,Alli (1),Alli (1)
,Amber,1,1,1,1,Amber (1),Ambr (1)
,Ankarström,1,1,1,1,Ankarström (1),Ankarström (1)
,Ants,1,1,1,1,Ants (1),Antsu (1)
,Ants (gen),1,1,1,1,Ants (gen) (1),Ansu (gen) (1)
,Ats,1,1,1,1,Ats (1),Ats (1)
,Berg,1,1,1,1,Berg (1),Berg (1)
,Eevake,1,1,1,1,Eevake (1),Eevake (1)
,Else,1,1,1,1,Else (1),Else (1)
,Elts,1,1,1,1,Elts (1),Eltse (1)
,Gajanus,1,1,1,1,Gajanus (1),Gajanus (1)
,Hannu,1,1,1,1,Hannu (1),Hannu (1)
