p_id,v_id,v_pos,w_pos,county,place_name,person_cluster,person_category,same_person_confidence,detection_signal,word,word_normalised,local_lemma,standard_lemma,root,word_in_english,same_person_note
89288,1190171,1,1,Virumaa,Viru-Jaagupi,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,ann,Ann,Ann,Ann,Anna,Ann,Same name family/diminutive set; individual identity depends on poem context.
89288,1190178,8,3,Virumaa,Viru-Jaagupi,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,anne,Anne,Ann,Ann,Anna,Ann's,Same name family/diminutive set; individual identity depends on poem context.
89288,1190171,11,1,Virumaa,Viru-Jaagupi,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,ann,Ann,Ann,Ann,Anna,Ann,Same name family/diminutive set; individual identity depends on poem context.
89288,1190185,18,3,Virumaa,Viru-Jaagupi,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,anne,Anne,Ann,Ann,Anna,Ann's,Same name family/diminutive set; individual identity depends on poem context.
89288,1190171,21,1,Virumaa,Viru-Jaagupi,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,ann,Ann,Ann,Ann,Anna,Ann,Same name family/diminutive set; individual identity depends on poem context.
89288,1190193,31,3,Virumaa,Viru-Jaagupi,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,anne,Anne,Ann,Ann,Anna,Ann's,Same name family/diminutive set; individual identity depends on poem context.
89316,1190525,19,1,Virumaa,Viru-Jaagupi,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,mart,Mart,Mart,Mart,Mart,Martin,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
89316,1190526,20,1,Virumaa,Viru-Jaagupi,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,mardil,Mardil,Mardi-l,Mardi,Mart,at Martin's,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
89316,1190529,23,1,Virumaa,Viru-Jaagupi,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,mart,Mart,Mart,Mart,Mart,Martin,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
89316,1190532,27,1,Virumaa,Viru-Jaagupi,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,mart,Mart,Mart,Mart,Mart,Martin,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
89316,1190526,28,1,Virumaa,Viru-Jaagupi,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,mardil,Mardil,Mardi-l,Mardi,Mart,at Martin's,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
89316,1190535,32,1,Virumaa,Viru-Jaagupi,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,mardil,Mardil,Mardi-l,Mardi,Mart,at Martin's,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
