person_cluster,person_category,same_person_confidence,standard_lemma,local_lemma,word_normalised,root,word_in_english,mentions,poems,counties,county_counts,place_counts
Ukko,mythic_or_religious_deity,medium,ukko,ukko,ukko,ukko,old man,931,692,22,Etelä-Savo (149); Laatokan Karjala (Raja-Karjala) (131); Etelä-Karjala (105); Pohjois-Karjala (103); Viena (65); Itä- ja Pohjois-Inkeri (51); Pohjois-Savo (48); Länsi-Inkeri (46),Suistamo (63); Narvusi (28); Vuokkiniemi (25); Juva (23); Ilomantsi (23); Saarijärvi (23); Lempaala (19); Suojärvi (18)
God / Jumala / Jumal,religious_title_or_deity,medium,herra,herra,herra,herra,lord,691,460,31,Itä- ja Pohjois-Inkeri (63); Länsi-Inkeri (58); Keski-Inkeri (55); Virumaa (52); Varsinais-Suomi (49); Pohjois-Karjala (48); Laatokan Karjala (Raja-Karjala) (45); Etelä-Karjala (32),Vuole (29); Soikkola (27); Narvusi (23); Lempaala (20); Kivennapa (15); Impilahti (14); Karula (13); Kaprio (13)
God / Jumala / Jumal,religious_title_or_deity,medium,Jumala,Jumala,Jumala,Jumala,God,542,426,20,Länsi-Inkeri (98); Pohjois-Karjala (90); Laatokan Karjala (Raja-Karjala) (79); Itä- ja Pohjois-Inkeri (55); Etelä-Savo (48); Keski-Inkeri (45); Etelä-Karjala (30); Pohjois-Savo (21),Narvusi (55); Lempaala (35); Suistamo (32); Ilomantsi (30); Soikkola (25); Korpiselkä (18); Kattila (17); Kitee (14)
God / Jumala / Jumal,religious_title_or_deity,medium,härra,härra,härra,härra,lord,415,258,11,Virumaa (69); Pärnumaa (67); Viljandimaa (66); Tartumaa (56); Järvamaa (38); Harjumaa (36); Läänemaa (28); Saaremaa (19),Haljala (19); Ambla (16); Põltsamaa (16); Viljandi (15); Halliste (15); Saarde (13); Laiuse (12); Pärnu (12)
Mary / Maria / Maarja / Mari,biblical_religious,medium,Mari,Mari,Mari,Mari,Mari,411,242,19,Viljandimaa (69); Virumaa (56); Pärnumaa (46); Harjumaa (45); Tartumaa (41); Läänemaa (30); Võrumaa (24); Järvamaa (22),Risti (18); Jõhvi (17); Kolga-Jaani (12); Suure-Jaani (12); Tori (11); Narvusi (11); Pohjois-Pohjanmaa (11); Rõuge (10)
God / Jumala / Jumal,religious_title_or_deity,medium,Jumala,Jumala,Jumalan,Jumala,God's,387,285,19,Laatokan Karjala (Raja-Karjala) (84); Pohjois-Karjala (69); Länsi-Inkeri (60); Aunus (26); Viena (23); Pohjois-Savo (21); Etelä-Savo (18); Keski-Inkeri (17),Suistamo (43); Narvusi (30); Soikkola (28); Ilomantsi (28); Repola (21); Suojärvi (16); Vuokkiniemi (14); Korpiselkä (12)
Anna / Anne / Ann / Anni,given_name_family,medium,Anne,Anne,Anne,Anne,Anne,358,184,11,Viljandimaa (110); Pärnumaa (72); Tartumaa (48); Virumaa (40); Järvamaa (29); Harjumaa (21); Saaremaa (13); Läänemaa (11),Karksi (28); Paistu (26); Kolga-Jaani (20); Helme (15); Halliste (13); Kadrina (13); Koeru (12); Põltsamaa (12)
Väinämöinen,mythic_epic,high,Väinämöinen,Väinämöinen,Väinämöinen,Väinämöinen,Väinämöinen,340,191,18,Pohjois-Karjala (135); Laatokan Karjala (Raja-Karjala) (83); Pohjois-Savo (24); Aunus (23); Viena (18); Etelä-Savo (16); Pohjois-Pohjanmaa (7); Keski-Inkeri (7),Ilomantsi (84); Suistamo (31); Suojärvi (18); Vuokkiniemi (16); Korpiselkä (16); Kesälahti (14); Impilahti (11); Rääkkylä (9)
Jesus / Christ,biblical_religious,high,Jeesus,Jeesus,Jeesus,Jeesus,Jesus,311,190,29,Laatokan Karjala (Raja-Karjala) (44); Võrumaa (34); Pohjois-Karjala (29); Itä- ja Pohjois-Inkeri (26); Virumaa (22); Pärnumaa (21); Viljandimaa (19); Tartumaa (17),Suistamo (24); Vastseliina (19); Lempaala (19); Setumaa (14); Urvaste (14); Salmi (10); Viljandi (9); Ilomantsi (9)
Mary / Maria / Maarja / Mari,biblical_religious,medium,mari,mari,marja,mari,berry,307,216,11,Virumaa (88); Harjumaa (45); Viljandimaa (44); Pärnumaa (36); Tartumaa (19); Võrumaa (18); Läänemaa (16); Setumaa (13),Haljala (33); Kuusalu (27); Kadrina (15); Helme (14); Setumaa (13); Karksi (10); Halliste (9); Vaivara (9)
God / Jumala / Jumal,religious_title_or_deity,medium,jumal,jumal,jumal,jumal,God,296,232,12,Virumaa (54); Pärnumaa (47); Viljandimaa (40); Järvamaa (32); Tartumaa (32); Harjumaa (28); Läänemaa (25); Võrumaa (13),Koeru (13); Tori (11); Haljala (10); Tarvastu (10); Karksi (8); Jõhvi (8); Risti (8); Simuna (7)
Matthew / Matti,given_name_family,medium,Matti,Matti,Matti,Matti,Matti,287,202,21,Keski-Suomi (58); Häme (24); Etelä-Karjala (24); Aunus (22); Keski-Inkeri (19); Itä- ja Pohjois-Inkeri (17); Länsi-Inkeri (17); Peräpohjola (15),Saarijärvi (54); Narvusi (14); Porajärvi (13); Kivennapa (8); Repola (7); Suojärvi (7); Kerimäki (5); Moloskovitsa (5)
God / Jumala / Jumal,religious_title_or_deity,medium,herra,herra,herran,herra,lord's,280,237,20,Keski-Inkeri (34); Varsinais-Suomi (27); Itä- ja Pohjois-Inkeri (27); Länsi-Inkeri (25); Etelä-Pohjanmaa (25); Pohjois-Karjala (21); Satakunta (19); Laatokan Karjala (Raja-Karjala) (18),Narvusi (14); Vuole (12); Suojärvi (10); Moloskovitsa (9); Soikkola (9); Kaprio (8); Saarijärvi (6); Uskela (6)
God / Jumala / Jumal,religious_title_or_deity,medium,Jumal,Jumal,Jumal,Jumal,God,219,178,10,Viljandimaa (39); Virumaa (37); Pärnumaa (36); Harjumaa (26); Tartumaa (22); Saaremaa (17); Järvamaa (15); Võrumaa (11),Väike-Maarja (10); Risti (9); Saarde (9); Karksi (9); Harju-Jaani (7); Paistu (7); Viljandi (7); Pöide (7)
Catherine / Kadri / Katri,given_name_family_or_saint,medium,Kadri,Kadri,Kadri,Kadri,Kadri,202,64,10,Viljandimaa (75); Pärnumaa (37); Läänemaa (18); Järvamaa (18); Võrumaa (18); Virumaa (16); Tartumaa (10); Saaremaa (5),Helme (17); Paistu (16); Suure-Jaani (11); Viljandimaa (9); Karuse (9); Türi (9); Põlva (9); Põltsamaa (9)
Anna / Anne / Ann / Anni,given_name_family,medium,Ann,Ann,Ann,Ann,Ann,181,96,10,Läänemaa (46); Viljandimaa (31); Saaremaa (22); Virumaa (19); Tartumaa (17); Järvamaa (17); Pärnumaa (11); Harjumaa (7),Pühalepa (11); Varbla (10); Käina (9); Koeru (7); Võnnu (7); Põltsamaa (6); Karja (6); Muhu (6)
Andrew / Antti,given_name_family_or_saint,medium,Antti,Antti,Antti,Antti,Antti,178,155,18,Pohjois-Savo (28); Pohjois-Karjala (26); Etelä-Savo (16); Etelä-Karjala (14); Satakunta (14); Pohjois-Pohjanmaa (10); Itä- ja Pohjois-Inkeri (10); Kainuu (9),Sonkajärvi (8); Pyhäjärvi Vpl. (6); Leppävirta (6); Saarijärvi (5); Vuole (5); Rantsila (4); Kauvatsa (4); Nurmes (4)
Mary / Maria / Maarja / Mari,biblical_religious,medium,Mari,Mari,Mari,Mari,Mary,177,104,19,Viljandimaa (57); Virumaa (25); Tartumaa (18); Harjumaa (17); Järvamaa (12); Läänemaa (9); Etelä-Karjala (7); Võrumaa (6),Viljandi (19); Põltsamaa (11); Pilistvere (9); Paistu (8); Kadrina (7); Jõelähtme (6); Kolga-Jaani (5); Järva-Jaani (4)
John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,Jussi,Jussi,Jussi,Jussi,Jussi,171,143,20,Pohjois-Savo (30); Häme (29); Pohjois-Karjala (18); Satakunta (12); Varsinais-Suomi (12); Etelä-Savo (12); Viena (10); Etelä-Karjala (10),Vuokkiniemi (9); Kiuruvesi (8); Tammela (5); Saarijärvi (4); Uskela (4); Leppävirta (4); Nurmes (4); Kangasniemi (4)
