person_cluster,person_category,same_person_confidence,mentions,poems,counties,distinct_standard_lemmas,distinct_local_lemmas,distinct_word_normalised_forms,standard_lemma_counts,local_lemma_counts,word_normalised_counts,english_gloss_counts,county_counts,poems_with_multiple_standard_lemmas_in_cluster,example_multi_standard_poem_ids,same_person_note
God / Jumala / Jumal,religious_title_or_deity,medium,10466,5969,37,172,470,405,herra (2677); Jumala (1923); luoja (1196); jumal (847); jumala (717); härra (677); Jumal (640); Herra (472); Luoja (327); looja (249); isand (98); Looja (68); Issand (51); Luojan (47); jumalainen (43),herra (2401); Jumala (1508); luoja (1064); jumala (832); jumal (738); härra (549); Jumal (424); Herra (408); Luoja (270); looja (239); jummal (145); herrä (86); härrä (84); herran (79); isand (76); jumalan (71); Jummal (70); Looja (70),Jumala (1323); herra (1213); Jumalan (752); härra (618); herran (585); Jumal (560); jumal (442); Luoja (428); jumala (342); luojan (330); Herra (322); luoja (315); Herran (296); herrat (226); looja (223); Luojan (180); jumalan (172); Looja (100),God (2538); lord (1649); God's (979); lord's (587); creator (551); Creator (514); Lord (487); Lord's (371); creator's (299); lords (250); Creator's (206); god (200),Laatokan Karjala (Raja-Karjala) (1195); Länsi-Inkeri (1115); Pohjois-Karjala (837); Keski-Inkeri (737); Itä- ja Pohjois-Inkeri (554); Viljandimaa (506); Virumaa (490); Etelä-Savo (441); Pärnumaa (425); Tartumaa (373),991,5619; 5645; 5670; 5789; 5796; 5803; 5804; 5897; 6224; 6239,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
Mary / Maria / Maarja / Mari,biblical_religious,medium,5063,3142,35,99,330,326,Mari (1256); mari (1125); Maria (772); Maija (582); Maarja (502); Maaria (441); maija (98); Maari (27); Marja (17); Marian (15); marja (13); marjake (13); maaria (13); marjuke (12); marjakene (11),Mari (1082); mari (842); Maaria (485); Maija (411); Maria (381); Maarja (305); marja (170); maija (121); Maie (81); Maari (79); maarja (66); maria (39); Maije (35); maaria (33); mara (32); Moaria (29); maari (24); Maarija (22),Mari (970); marja (555); Maria (388); Maaria (381); Maarja (369); Maija (330); marjad (142); Marian (116); mari (111); marju (78); Maie (70); Maarian (65); marjakene (61); Maijan (56); Maari (55); Maijaa (49); Marit (42); Maril (39),Mary (1413); Mari (695); berry (612); Maija (373); Mary's (334); berries (230); Maria (98); little berry (92); Maija's (80); Maie (73); to Mary (55); berry's (48),Viljandimaa (474); Virumaa (456); Länsi-Inkeri (455); Pärnumaa (374); Tartumaa (355); Harjumaa (294); Setumaa (293); Laatokan Karjala (Raja-Karjala) (248); Võrumaa (246); Läänemaa (172),105,5792; 7771; 9398; 9615; 9623; 10846; 12729; 13013; 13253; 14796,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
Martin / Mart / Märt,given_name_family,medium,3503,532,26,47,51,69,Märt (903); Mart (541); märt (453); mart (452); mard (389); Mard (195); Märti (138); marti (84); märti (81); märd (57); Martti (53); Mardi (22); mardi (16); karu (14); mardid (13),Mart (531); Märti (520); mart (439); Märt (372); märti (365); marti (323); mard (295); märt (136); Mard (112); Mardi (67); märdi (61); Marti (56); märd (44); Martti (34); mardi (29); mardid (19); Martin (13); Märdi (12),Märti (718); Mart (357); märti (346); marti (338); Mardi (304); mardi (253); mart (201); mardid (188); märdi (150); Märt (127); Marti (95); mardile (54); Mardil (38); mardil (31); Martin (30); Märdi (29); märt (25); Mardid (23),Martin (742); Märti (347); (refrain) (292); Mart (281); Martin's (242); Märt (232); Märt's (223); Mardi's (122); Marti (118); Mart's (114); marti (57); Martins (52),Viljandimaa (1007); Pärnumaa (844); Tartumaa (605); Virumaa (258); Läänemaa (258); Harjumaa (131); Järvamaa (125); Võrumaa (117); Saaremaa (29); välismaa (25),83,89316; 90103; 94609; 108339; 110390; 113138; 113166; 113169; 114837; 123630,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,2624,1448,33,61,116,158,Jaan (868); Jussi (618); Hans (454); Ants (239); jaan (145); Juhan (85); Iivana (26); Johannes (22); Juhani (17); Juss (14); Juhana (13); jään (10); jaanike (8); hans (8); jaanikene (7),Jaan (652); Jussi (608); Hans (400); Ants (231); Juhan (78); jaan (78); jaanike (63); Jaanike (37); jaanikene (33); Jaanikene (33); Jaani (29); Jaanik (25); jaani (23); Iivana (22); hans (20); Hants (18); Juhani (12); jaen (11),Jussi (534); Jaan (332); Jaani (281); Hans (263); Ants (156); Hansu (105); jaanike (82); Jussin (70); Juhan (65); Antsu (53); Jaanike (45); Jaanikene (40); jaanikene (38); Hansule (35); Jaaniga (35); Jaanil (24); jaani (24); jaaniku (24),Jussi (528); Hans (282); Jaan (241); Jaan's (159); Ants (158); John (151); John's (120); little Jaan (87); Jussi's (73); Hans's (68); Juhan (60); little John (53),Viljandimaa (402); Pärnumaa (242); Järvamaa (227); Läänemaa (194); Tartumaa (185); Harjumaa (181); Virumaa (165); Saaremaa (125); Häme (117); Varsinais-Suomi (95),106,92750; 94058; 94142; 94390; 95110; 96307; 105865; 107345; 108704; 108738,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
Anna / Anne / Ann / Anni,given_name_family,medium,2263,1260,31,63,147,176,Anne (708); Anni (511); Ann (443); anne (332); Anna (68); Anu (37); anni (22); ann (11); Annikki (10); Änni (7); Annin (7); Annolle (7); Annel (6); anu (6); Annike (5),Anne (639); Anni (472); Ann (398); anne (243); anni (62); Anna (56); Annekene (33); Anu (31); ann (20); annekene (19); and (17); Annin (15); anneke (12); anu (11); anned (9); Annel (8); Annõ (8); Annikki (8),Anne (588); Anni (380); Ann (372); Annin (81); andeid (63); Annekene (49); Annel (44); annid (42); Anna (39); ande (35); Annele (31); Anu (30); anne (27); annet (27); Anneke (22); Anned (22); Annille (21); anni (19),Anne (535); Ann (425); Anni (370); gifts (150); gift (68); little Anne (54); Anni's (50); Anna (46); Ann's (40); to Anne (34); Anne's (33); Anu (31),Viljandimaa (350); Virumaa (249); Tartumaa (210); Pärnumaa (191); Läänemaa (134); Harjumaa (123); Järvamaa (121); Saaremaa (94); Võrumaa (81); Laatokan Karjala (Raja-Karjala) (81),85,16367; 30887; 31235; 31248; 33439; 46392; 90984; 91590; 121619; 124101,Same name family/diminutive set; individual identity depends on poem context.
Jesus / Christ,biblical_religious,high,2235,1298,34,29,156,81,Jeesus (1712); Jesus (264); Kristus (205); Jeesuksen (16); Jeesukene (4); Jeesuse (4); hristos (3); Jeesusesse (2); Jeesu (2); kristillinen (2); Kristian (2); Iesus (1); Jeesu_kene (1); Eesus (1); jeesus (1),Jeesus (968); Jesus (327); Jiesus (155); Kristus (136); Iesus (58); jeesus (40); Kiesus (39); Jeesu (38); jiesus (29); Jessus (25); Iessus (21); Jiessus (19); Ristus (18); jeesu (14); eesus (12); jessu (11); Jiesuksen (11); jesus (11),Jeesus (1024); Jeesuksen (398); Jesus (227); Kristus (121); Jesuksen (61); Jeesuse (41); Kristuksen (39); Jeesu (34); Jeesukene (30); Jeesukselle (23); Jeesukselta (17); Jeesust (14); Jeesusele (13); Jeesusta (11); Ristus (11); Jiesus (10); Iesus (9); Jesusta (9),Jesus (1368); Jesus's (467); Christ (153); Christ's (54); to Jesus (42); little Jesus (33); Jesus' (33); from Jesus (22); of Jesus (12); my Jesus (6); at Jesus (3); dear Jesus (3),Laatokan Karjala (Raja-Karjala) (389); Pohjois-Karjala (226); Häme (158); Länsi-Inkeri (130); Keski-Inkeri (126); Itä- ja Pohjois-Inkeri (118); Võrumaa (103); Etelä-Savo (96); Pohjois-Savo (72); Setumaa (65),92,10976; 11338; 11471; 11517; 11521; 15941; 15976; 16081; 16082; 16132,Jeesus/Jesus/Kristus/Christ are treated as the same religious figure.
Ukko,mythic_or_religious_deity,medium,2207,1642,25,16,84,92,ukko (1793); Ukko (389); ukkonen (7); (as above) (3); ukon (2); Ukkonen (2); Uku (1); ukko (proto-Finnic *ukko 'old man') (1); Ukon (1); ukki (1); ukkojen (1); ukkojalla (1); ukot (1); uksi (1); ukottaa (1),ukko (1682); Ukko (349); ukon (17); uko (12); ukki (12); uukko (12); ukkonen (8); äijä (8); ukot (5); ukkas (4); ukku (3); okka (3); ukko+ni (3); ukko (vocative) (2); ukkoa (2); utti (2); ukkolo (2); ukkoi (2),ukko (1219); Ukko (401); ukon (189); ukot (100); Ukon (26); ukkoa (19); ukkojen (17); ukolle (13); ukkoja (12); ukolta (12); ukkoilta (11); ukkas (10); ukosta (10); ukoilta (10); ukkonen (9); ukkis (9); uukon (8); ukolla (7),old man (1263); Ukko (175); old man's (108); Ukko's (89); men (68); Old Man (50); old men (44); old-man (33); old man/god (31); man (26); from old men (21); husband (16),Laatokan Karjala (Raja-Karjala) (348); Pohjois-Karjala (288); Etelä-Savo (267); Etelä-Karjala (234); Länsi-Inkeri (130); Pohjois-Savo (122); Keski-Inkeri (104); Viena (100); Peräpohjola (97); Itä- ja Pohjois-Inkeri (95),17,5661; 6209; 25687; 28851; 29895; 30589; 30773; 32301; 37090; 37425,May be a mythic sky deity or an appellative 'old man'; context needed.
Catherine / Kadri / Katri,given_name_family_or_saint,medium,2169,638,34,45,99,127,Kadri (893); Katri (372); Kaisa (219); kadri (165); Kati (99); katri (88); kadrina (70); kadrik (47); Katariina (37); kadrike (29); kaisa (27); Katriina (17); Kadrina (14); kadr (12); Kadril (9),Kadri (809); Katri (344); kadri (210); Kaisa (194); katri (111); Kati (91); kadrina (70); kadrike (47); kaisa (31); kadrikene (23); Katrina (21); Kadrina (14); kadr (12); Katriina (11); Katariina (10); Kaie (10); kati (10); Triinu (8),Kadri (696); Katri (321); Kaisa (150); katri (109); kadri (99); Kati (80); Kadril (76); kadrina (70); kadrid (59); Kadrike (52); Kadrid (43); Kaisan (39); kadril (33); Kadrile (24); Katrina (21); Katrin (19); kadrikesed (14); Katriina (14),Kadri (730); Katri (313); Kaisa (168); (refrain) (130); Kati (81); Kadris (81); Kadri's (65); on Kadri (65); Kadrina (55); Kadrike (49); Kaisa's (45); Catherine (30),Viljandimaa (444); Pärnumaa (268); Võrumaa (207); Harjumaa (129); Virumaa (123); Läänemaa (115); Keski-Inkeri (112); Tartumaa (108); Järvamaa (106); Länsi-Inkeri (105),55,7709; 7943; 12272; 12678; 13263; 14227; 16648; 17149; 17161; 100315,Catherine/Katariina-derived group; in ritual songs may point to St Catherine/Kadri.
Peter / Pietari / Peeter,given_name_family_or_biblical,medium,1795,1245,35,31,173,162,Pietari (759); Peeter (470); Pekka (366); Petteri (77); Petri (30); Peetrus (29); pekka (8); Petra (7); Pietarin (7); Piiter (6); peeter (6); Perttu (3); Pietarista (3); Peterburi (2); Petter (2),Pietari (513); Pekka (344); Peeter (329); Petteri (56); Petri (30); Pietar (29); Peetrus (28); Piiter (27); Pedri (24); Piitre (21); pietari (19); Petter (17); peeter (15); Pieter (15); pekka (15); Piatari (14); Petra (13); Petro (12),Pietari (321); Pekka (310); Peeter (251); Pietarin (151); Peetri (90); Pietariin (47); Pietarista (35); Pietarille (32); Petteri (31); Pietarissa (30); Peetrus (29); Petri (26); Pekan (25); Pietar (21); Piitre (16); Piiter (13); Pedri (13); Peetrile (12),Peter (734); Pekka (293); Peter's (181); Peeter (66); to Peter (60); Peeter's (52); Pekka's (24); from Peter (23); in Petersburg (19); to St. Petersburg (14); Petteri (12); Piitre (11),Pohjois-Karjala (203); Laatokan Karjala (Raja-Karjala) (174); Viljandimaa (107); Pohjois-Savo (107); Etelä-Savo (106); Länsi-Inkeri (87); Etelä-Karjala (77); Virumaa (68); Tartumaa (68); Varsinais-Suomi (60),52,5751; 5753; 8595; 11660; 25142; 25144; 25145; 25146; 35140; 35144,"Pietari/Peeter/Peter are close equivalents; Pekka is included as a name-family variant, not guaranteed same person."
Elizabeth / Liisa / Liisu / Elli,given_name_family,medium,1285,729,29,27,69,88,Liisu (451); Liisa (333); Elli (265); Elina (166); liisu (12); Eliina (12); Liisuke (8); Liisakene (5); Liisukene (5); Liis (3); Elinainen (3); liisukene (2); Liisul (2); Elli (proper noun) (2); elinainen (2),Liisu (403); Liisa (299); Elli (255); Elina (126); Elinainen (30); liisu (26); Liiso (14); Liisukene (11); liisa (11); Eliina (9); elinainen (8); Liisuke (6); Liisakene (5); liisukene (5); elli (4); liisud (3); Liisoo (3); Liisul (3),Liisu (311); Liisa (237); Elli (196); Elina (90); Ellin (60); Elinainen (37); Liisul (36); Elinan (31); Liisan (30); Liisukene (26); Liisud (21); Liisut (19); Liisuke (13); Liiso (12); Liisule (11); Liisaa (9); Liisal (8); Liisakene (7),Liisu (283); Liisa (247); Elli (191); Elina (130); Elli's (60); Liisu's (52); Elina's (41); Liisa's (37); Liisus (24); Lisa (23); little Liisu (17); at Liisu's (17),Satakunta (176); Virumaa (92); Läänemaa (88); Viljandimaa (85); Etelä-Savo (85); Etelä-Karjala (77); Pärnumaa (76); Harjumaa (71); Tartumaa (71); Keski-Suomi (53),20,118962; 124510; 127725; 143147; 146343; 155996; 158334; 163315; 168303; 171953,Elizabeth-derived name family; not one person unless poem context supports it.
