person_cluster,tokens,variant_tokens,poems,variation_rate,person_category,same_person_confidence
God / Jumala / Jumal,10018,2040,5956,0.20363345977240965,religious_title_or_deity,medium
Mary / Maria / Maarja / Mari,4750,1502,3136,0.3162105263157895,biblical_religious,medium
Martin / Mart / Märt,3226,1290,532,0.39987600743955365,given_name_family,medium
John / Jaan / Jussi / Hans,2455,459,1447,0.1869653767820774,given_name_family_or_biblical,medium
Ukko,2179,216,1641,0.09912804038549794,mythic_or_religious_deity,medium
Jesus / Christ,2173,831,1297,0.3824206166589968,biblical_religious,high
Anna / Anne / Ann / Anni,2145,375,1258,0.17482517482517482,given_name_family,medium
Catherine / Kadri / Katri,1972,285,637,0.14452332657200812,given_name_family_or_saint,medium
Peter / Pietari / Peeter,1713,454,1244,0.26503210741389377,given_name_family_or_biblical,medium
Matthew / Matti,1231,159,866,0.12916328188464662,given_name_family,medium
Elizabeth / Liisa / Liisu / Elli,1217,160,727,0.1314708299096138,given_name_family,medium
Väinämöinen,1206,384,583,0.31840796019900497,mythic_epic,high
Andrew / Antti,778,68,611,0.08740359897172237,given_name_family_or_saint,medium
Henry / Heikki,729,76,562,0.10425240054869685,given_name_family_or_saint,medium
George / Jüri,713,219,471,0.3071528751753156,given_name_family_or_saint,medium
Tuoni,699,119,480,0.17024320457796852,mythic_deity,high
Michael / Mikko / Mihkel,698,219,473,0.3137535816618911,given_name_family,medium
Kalev / Kalervo,685,191,449,0.27883211678832115,mythic_epic_or_name,medium
Thomas / Toomas / Tuomas,628,109,468,0.1735668789808917,given_name_family_or_biblical,medium
Nicholas / Nikka / Klaus,621,59,207,0.09500805152979067,given_name_family,low
Simon / Siim / Simo,473,86,231,0.18181818181818182,given_name_family_or_biblical,medium
Jacob / Jaak / Jaakko,333,79,234,0.23723723723723725,given_name_family_or_biblical,medium
Mai,304,53,105,0.17434210526315788,unmapped_possible_person_name,low
Ilmarinen,293,111,158,0.378839590443686,mythic_epic,high
Kai,282,64,189,0.22695035460992907,unmapped_possible_person_name,low
Lemminkäinen,269,99,81,0.3680297397769517,mythic_epic,high
Joukamoinen / Joukahainen,262,158,95,0.6030534351145038,mythic_epic,medium
Eve / Eeva,245,58,167,0.23673469387755103,biblical_religious,medium
Kirsti,231,9,79,0.03896103896103896,unmapped_possible_person_name,low
Untamo,228,82,58,0.35964912280701755,unmapped_possible_person_name,low
Lauri,226,20,166,0.08849557522123894,unmapped_possible_person_name,low
Kaie,194,8,139,0.041237113402061855,unmapped_possible_person_name,low
Judas / Juudas,183,101,140,0.5519125683060109,biblical_religious,high
Kaija,178,11,136,0.06179775280898876,unmapped_possible_person_name,low
Tapio,153,29,108,0.1895424836601307,mythic_deity,high
Maie,139,7,73,0.050359712230215826,unmapped_possible_person_name,low
Sarah / Saara,133,19,93,0.14285714285714285,given_name_family_or_biblical,medium
Alli,126,5,105,0.03968253968253968,unmapped_possible_person_name,low
Kalle,120,5,90,0.041666666666666664,unmapped_possible_person_name,low
Malle,113,13,77,0.11504424778761062,unmapped_possible_person_name,low
Tiiu,113,2,76,0.017699115044247787,unmapped_possible_person_name,low
Esko,108,45,100,0.4166666666666667,unmapped_possible_person_name,low
Killi,98,1,40,0.01020408163265306,unmapped_possible_person_name,low
Ahti,94,22,67,0.23404255319148937,mythic_deity,high
Lassi,88,4,81,0.045454545454545456,unmapped_possible_person_name,low
Salme,78,5,36,0.0641025641025641,unmapped_possible_person_name,low
Unto,68,10,28,0.14705882352941177,unmapped_possible_person_name,low
nimi,65,5,60,0.07692307692307693,unmapped_possible_person_name,low
Hekko,59,23,15,0.3898305084745763,unmapped_possible_person_name,low
Jaanika,55,0,3,0.0,unmapped_possible_person_name,low
Tuuri,48,5,47,0.10416666666666667,unmapped_possible_person_name,low
Tuuteri,48,3,31,0.0625,unmapped_possible_person_name,low
