unified_name,broad_region,mentions,poems,counties,top_counties,top_standard_forms,top_local_forms,top_word_forms
Mary / Maria / Maarja / Mari,Estonia core/west,2321,1384,8,Viljandimaa (474); Virumaa (456); Pärnumaa (374); Tartumaa (355); Harjumaa (294); Läänemaa (172),Mari (893); mari (852); Maarja (352); Maria (94); Maaria (23); Maari (22); marjuke (8); Marike (8); Marija (8); marjake (5),Mari (789); mari (680); Maarja (222); marja (110); Maria (85); Maari (73); maarja (32); Maie (32); Maaria (24); maari (22),Mari (682); marja (431); Maarja (264); marjad (136); Maria (76); marju (62); mari (61); Maari (52); Marit (37); Marid (35)
Mary / Maria / Maarja / Mari,South Estonia/Seto,543,288,3,Setumaa (293); Võrumaa (246); Valgamaa (4),mari (236); Maarja (133); Mari (109); Maria (14); marjakene (9); marjake (8); marja (5); Maarjale (5); marjuke (4); marjale (2),mari (122); Mari (65); Maarja (56); marja (43); maarja (30); mara (23); marakõnõ (18); marä (13); maräkõnõ (8); maarinna (8),marja (107); Mari (96); Maarja (84); mari (45); marjakene (40); Maarjat (23); Maarjale (18); marju (11); marjale (10); marjake (9)
Mary / Maria / Maarja / Mari,Finland/Savo-Karelia,1031,817,15,Pohjois-Karjala (159); Häme (152); Etelä-Savo (110); Varsinais-Suomi (90); Satakunta (75); Pohjois-Pohjanmaa (74),Maria (352); Maija (324); Maaria (183); Mari (69); maija (43); maaria (12); Maarja (7); Marja (5); Marian (5); Maarian (3),Maija (292); Maaria (226); Maria (194); Mari (67); maija (63); maria (16); maaria (15); Maarja (13); Marja (10); Maarija (6),Maija (227); Maria (171); Maaria (148); Mari (52); Marian (47); Maijaa (39); Maarian (32); Maijan (31); Maariaan (28); Maariasta (21)
Mary / Maria / Maarja / Mari,Ingria,709,332,3,Länsi-Inkeri (455); Keski-Inkeri (164); Itä- ja Pohjois-Inkeri (90),Maija (246); Maaria (132); Mari (118); Maria (114); maija (40); Marja (10); Marja/Mari (6); Marian (4); Maarja (4); Marjatta (3),Maaria (127); Maija (114); Mari (104); maija (51); Maie (48); Maria (39); Maije (35); Maariainen (13); maijoi (13); maaria (10),Maija (102); Maaria (97); Mari (93); Maie (42); Maria (41); Marian (31); Maarian (25); Maijan (22); maijaa (16); Maije (15)
Mary / Maria / Maarja / Mari,East Karelia/Veps/Tver,372,291,5,Laatokan Karjala (Raja-Karjala) (248); Viena (64); Aunus (57); Vepsäläisalueet (2); Tveri (1),Maria (196); Maaria (99); Mari (29); maija (15); Maija (12); Marian (6); Mariatta (3); maarian (2); Marjatta (1); Maria/muori (1),Maaria (104); Maria (59); Moaria (26); Mari (25); Muaria (12); maria (9); Moarie (8); maijon (8); muarie (8); maija (7),Maaria (110); Maria (91); Marian (38); Mari (17); Marin (9); Maarian (8); maijan (8); Moarie (7); maijon (7); Muaria (4)
Mary / Maria / Maarja / Mari,Other/unclear,87,59,2, (58); välismaa (29),Mari (38); mari (35); Maarja (6); Maaria (4); Maria (2); marra (1); marj (1),Mari (32); mari (26); marja (11); Maarja (5); Maaria (4); Marja (2); marran (1); marä (1); Maret (1); maarja (1),Mari (30); marja (17); Maarja (6); marju (5); marjad (5); mari (4); Marit (4); Maaria (4); marra (1); marjule (1)
Jesus / Christ,Estonia core/west,296,159,8,Virumaa (61); Tartumaa (56); Viljandimaa (49); Pärnumaa (44); Harjumaa (38); Järvamaa (28),Jeesus (235); Kristus (40); Jesus (7); Jeesukene (4); Jeesusesse (2); Jeesuse (2); Iesus (1); Jeesu_kene (1); Eesus (1); jeesus (1),Jeesus (183); Kristus (28); jeesus (10); Jesus (8); kristus (7); Jeesu (6); Eesus (6); Jeesukene (6); Jeessu (4); Iesukene (4),Jeesus (157); Kristus (34); Jeesuse (28); Jeesukene (20); Jeesusele (8); Jeesust (7); Jeesu (6); Jeesusel (6); Kristuse (6); Jesus (4)
Jesus / Christ,South Estonia/Seto,168,37,2,Võrumaa (103); Setumaa (65),Jeesus (157); Kristus (7); Jeesuse (2); Jesus (1); Jeesu (1),Jeesus (62); jeesus (15); Jeesu (15); jeesu (13); eesus (12); jessu (11); eesust (6); Kristus (5); Jessu (5); jeesuken (4),Jeesus (123); Jeesuse (13); Jeesukene (10); Jeesust (7); Kristus (6); Jeesusele (4); Jeesu (3); Jesus (1); Kristuse (1)
Jesus / Christ,Finland/Savo-Karelia,906,667,16,Pohjois-Karjala (226); Häme (158); Etelä-Savo (96); Pohjois-Savo (72); Etelä-Karjala (61); Satakunta (54),Jeesus (665); Jesus (139); Kristus (84); Jeesuksen (11); kristillinen (2); kristitty (1); jesus (1); Ristus (1); Jeesus+en (1),Jeesus (385); Jesus (187); Jiesus (61); Kristus (56); Iesus (29); Jessus (19); Kiesus (19); Ristus (15); Jiessus (13); Jeesu (11),Jeesus (368); Jeesuksen (202); Jesus (127); Kristus (42); Jesuksen (39); Kristuksen (21); Jeesu (14); Jeesukselta (10); Ristus (9); Jeesukselle (8)
Jesus / Christ,Ingria,374,204,3,Länsi-Inkeri (130); Keski-Inkeri (126); Itä- ja Pohjois-Inkeri (118),Jeesus (291); Jesus (53); Kristus (24); Jeesuksen (3); Isus (1); Hristos (1); Jeesu (1),Jeesus (161); Jesus (62); Iesus (27); Kristus (16); Kiesus (14); Iessus (13); Jiesus (8); iesus (7); Jessus (6); Jiessus (6),Jeesus (190); Jeesuksen (70); Jesus (47); Kristus (14); Jesuksen (10); Kristuksen (7); Jeesu (6); Iesus (5); Jessus (3); Iesuksen (3)
