unified_name,category,same_person_confidence,total_mentions,poems,active_counties,dominant_region,dominant_region_share,region_mentions,top_counties,top_standard_forms,top_local_forms,interpretation
Mary / Maria / Maarja / Mari,biblical_religious,medium,5063,3142,35,Estonia core/west,0.458,Estonia core/west: 2321; South Estonia/Seto: 543; Finland/Savo-Karelia: 1031; Ingria: 709; East Karelia/Veps/Tver: 372; Other/unclear: 87,Viljandimaa (474); Virumaa (456); Länsi-Inkeri (455); Pärnumaa (374); Tartumaa (355); Harjumaa (294); Setumaa (293); Laatokan Karjala (Raja-Karjala) (248),Mari (1256); mari (1125); Maria (772); Maija (582); Maarja (502); Maaria (441); maija (98); Maari (27); Marja (17); Marian (15); marja (13); marjake (13); maaria (13); marjuke (12); marjakene (11),Mari (1082); mari (842); Maaria (485); Maija (411); Maria (381); Maarja (305); marja (170); maija (121); Maie (81); Maari (79); maarja (66); maria (39); Maije (35); maaria (33); mara (32); Moaria (29); maari (24); Maarija (22),"religious female-name cluster; useful for Christian/popular religious register, but Mari/Maija may also be ordinary names."
Jesus / Christ,biblical_religious,high,2235,1298,34,Finland/Savo-Karelia,0.405,Estonia core/west: 296; South Estonia/Seto: 168; Finland/Savo-Karelia: 906; Ingria: 374; East Karelia/Veps/Tver: 462; Other/unclear: 29,Laatokan Karjala (Raja-Karjala) (389); Pohjois-Karjala (226); Häme (158); Länsi-Inkeri (130); Keski-Inkeri (126); Itä- ja Pohjois-Inkeri (118); Võrumaa (103); Etelä-Savo (96),Jeesus (1712); Jesus (264); Kristus (205); Jeesuksen (16); Jeesukene (4); Jeesuse (4); hristos (3); Jeesusesse (2); Jeesu (2); kristillinen (2); Kristian (2); Iesus (1); Jeesu_kene (1); Eesus (1); jeesus (1),Jeesus (968); Jesus (327); Jiesus (155); Kristus (136); Iesus (58); jeesus (40); Kiesus (39); Jeesu (38); jiesus (29); Jessus (25); Iessus (21); Jiessus (19); Ristus (18); jeesu (14); eesus (12); jessu (11); Jiesuksen (11); jesus (11),high-confidence same religious figure; strong spelling/phonological variation across Finnic dialect zones.
John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,2624,1448,33,Estonia core/west,0.656,Estonia core/west: 1721; South Estonia/Seto: 98; Finland/Savo-Karelia: 630; Ingria: 57; East Karelia/Veps/Tver: 36; Other/unclear: 82,Viljandimaa (402); Pärnumaa (242); Järvamaa (227); Läänemaa (194); Tartumaa (185); Harjumaa (181); Virumaa (165); Saaremaa (125),Jaan (868); Jussi (618); Hans (454); Ants (239); jaan (145); Juhan (85); Iivana (26); Johannes (22); Juhani (17); Juss (14); Juhana (13); jään (10); jaanike (8); hans (8); jaanikene (7),Jaan (652); Jussi (608); Hans (400); Ants (231); Juhan (78); jaan (78); jaanike (63); Jaanike (37); jaanikene (33); Jaanikene (33); Jaani (29); Jaanik (25); jaani (23); Iivana (22); hans (20); Hants (18); Juhani (12); jaen (11),very useful east-west/north-south diagnostic: Estonian Jaan/Hans/Ants vs Finnish Jussi/Juhani vs eastern Iivana.
Peter / Pietari / Peeter,given_name_family_or_biblical,medium,1795,1245,35,Finland/Savo-Karelia,0.452,Estonia core/west: 441; South Estonia/Seto: 70; Finland/Savo-Karelia: 811; Ingria: 190; East Karelia/Veps/Tver: 256; Other/unclear: 27,Pohjois-Karjala (203); Laatokan Karjala (Raja-Karjala) (174); Pohjois-Savo (107); Viljandimaa (107); Etelä-Savo (106); Länsi-Inkeri (87); Etelä-Karjala (77); Virumaa (68),Pietari (759); Peeter (470); Pekka (366); Petteri (77); Petri (30); Peetrus (29); pekka (8); Petra (7); Pietarin (7); Piiter (6); peeter (6); Perttu (3); Pietarista (3); Peterburi (2); Petter (2),Pietari (513); Pekka (344); Peeter (329); Petteri (56); Petri (30); Pietar (29); Peetrus (28); Piiter (27); Pedri (24); Piitre (21); pietari (19); Petter (17); peeter (15); Pieter (15); pekka (15); Piatari (14); Petra (13); Petro (12),cross-linguistic biblical/given-name equivalent; good for Finnish/Karelian vs Estonian form split.
Martin / Mart / Märt,given_name_family,medium,3503,532,26,Estonia core/west,0.93,Estonia core/west: 3257; South Estonia/Seto: 128; Finland/Savo-Karelia: 43; Ingria: 13; East Karelia/Veps/Tver: 2; Other/unclear: 60,Viljandimaa (1007); Pärnumaa (844); Tartumaa (605); Läänemaa (258); Virumaa (258); Harjumaa (131); Järvamaa (125); Võrumaa (117),Märt (903); Mart (541); märt (453); mart (452); mard (389); Mard (195); Märti (138); marti (84); märti (81); märd (57); Martti (53); Mardi (22); mardi (16); karu (14); mardid (13),Mart (531); Märti (520); mart (439); Märt (372); märti (365); marti (323); mard (295); märt (136); Mard (112); Mardi (67); märdi (61); Marti (56); märd (44); Martti (34); mardi (29); mardid (19); Martin (13); Märdi (12),highly characteristic Estonian/ritual-name field; Mart/Märt/Märti variants are regionally informative.
Catherine / Kadri / Katri,given_name_family_or_saint,medium,2169,638,34,Estonia core/west,0.614,Estonia core/west: 1332; South Estonia/Seto: 240; Finland/Savo-Karelia: 241; Ingria: 271; East Karelia/Veps/Tver: 52; Other/unclear: 33,Viljandimaa (444); Pärnumaa (268); Võrumaa (207); Harjumaa (129); Virumaa (123); Läänemaa (115); Keski-Inkeri (112); Tartumaa (108),Kadri (893); Katri (372); Kaisa (219); kadri (165); Kati (99); katri (88); kadrina (70); kadrik (47); Katariina (37); kadrike (29); kaisa (27); Katriina (17); Kadrina (14); kadr (12); Kadril (9),Kadri (809); Katri (344); kadri (210); Kaisa (194); katri (111); Kati (91); kadrina (70); kadrike (47); kaisa (31); kadrikene (23); Katrina (21); Kadrina (14); kadr (12); Katriina (11); Katariina (10); Kaie (10); kati (10); Triinu (8),saint/name-family field; useful for Kadri/Katri/Kaisa ritual and given-name variation.
Anna / Anne / Ann / Anni,given_name_family,medium,2263,1260,31,Estonia core/west,0.65,Estonia core/west: 1472; South Estonia/Seto: 123; Finland/Savo-Karelia: 263; Ingria: 178; East Karelia/Veps/Tver: 183; Other/unclear: 44,Viljandimaa (350); Virumaa (249); Tartumaa (210); Pärnumaa (191); Läänemaa (134); Harjumaa (123); Järvamaa (121); Saaremaa (94),Anne (708); Anni (511); Ann (443); anne (332); Anna (68); Anu (37); anni (22); ann (11); Annikki (10); Änni (7); Annin (7); Annolle (7); Annel (6); anu (6); Annike (5),Anne (639); Anni (472); Ann (398); anne (243); anni (62); Anna (56); Annekene (33); Anu (31); ann (20); annekene (19); and (17); Annin (15); anneke (12); anu (11); anned (9); Annel (8); Annõ (8); Annikki (8),"common female name-family; broad coverage, but ordinary-name ambiguity requires context."
Väinämöinen,mythic_epic,high,1225,585,20,East Karelia/Veps/Tver,0.469,Estonia core/west: 1; Finland/Savo-Karelia: 542; Ingria: 90; East Karelia/Veps/Tver: 575; Other/unclear: 17,Laatokan Karjala (Raja-Karjala) (360); Pohjois-Karjala (296); Viena (133); Aunus (82); Etelä-Savo (64); Pohjois-Savo (53); Kainuu (48); Keski-Inkeri (35),Väinämöinen (1176); Väinämöisen (9); Väinö (9); (as above) (7); väinämöinen (6); väinä & möö (6); Wäinämöinen (3); Väinämöinen (via metathesis) (1); Proper noun (1); Vainämöinen (1); V. (1); Väinämöisellä (1); Väinämöistä (1); väinö (1); (proper noun) (1),Väinämöinen (824); väinämöinen (42); väinämöine (33); Väinämöini (31); väinämöini (28); Väinämöine (28); Wäinämöinen (22); Väinämöin (21); väinämöisen (10); Väinämöisen (10); väinämöne (10); Väinämö (9); Väinämöise+n (8); väinämöistä (7); Väinö (7); vänämöinen (5); vänämöne (5); Väinämöinen+sen (5),high-confidence epic figure; strongly diagnostic for Kalevala/Karelian-Finnish material.
Ilmarinen,mythic_epic,high,299,159,17,Finland/Savo-Karelia,0.559,Finland/Savo-Karelia: 167; Ingria: 35; East Karelia/Veps/Tver: 91; Other/unclear: 6,Pohjois-Karjala (101); Laatokan Karjala (Raja-Karjala) (65); Aunus (22); Pohjois-Savo (19); Kainuu (18); Etelä-Savo (13); Itä- ja Pohjois-Inkeri (13); Keski-Inkeri (12),Ilmarinen (288); Ilmari (6); (as above) (3); (prop.name) (1); Ilmar (1),Ilmarinen (179); Ilmari (11); ilmolline (8); Ilmovoinen (7); Ilimarinen (6); Ilmarinta (6); Ilmollinen (6); Ilmoninen (5); Ilmarin (5); Ilmorinen (5); Ilmarine (4); ilmollinen (4); Ilmaroi (4); Ilmollini (4); ilmarisen (3); ilmarinen (3); ilmollini (3); ilmarini (3),high-confidence epic figure; lower frequency but very characteristic of epic material.
Lemminkäinen,mythic_epic,high,269,81,9,East Karelia/Veps/Tver,0.729,Estonia core/west: 4; Finland/Savo-Karelia: 68; Ingria: 1; East Karelia/Veps/Tver: 196,Aunus (82); Laatokan Karjala (Raja-Karjala) (78); Viena (36); Pohjois-Karjala (29); Keski-Suomi (18); Varsinais-Suomi (17); Harjumaa (4); Pohjois-Savo (4),Lemminkäinen (241); Lemminkäistä (8); lemminkäinen (6); Lemmingäinen (5); lempi & -inen (3); Lämminkäinen (2); lemminkäistä (2); Lemminkäisen (2),Lemminkäinen (172); lemminkäinen (9); lemminkäin+ni (7); lemminkäistä (7); lemminkäin (5); lemminkäine (5); lemminkäisen (5); Lemminkäini (4); Lemminkäin+tä (4); Lemminkäin (4); Lemmingäinen (4); Lemmingi (3); lemminkäin+en (3); Lemminkäine (3); lemmingäinen (3); lämminkäinen (2); lemmiŋgäistä (2); lemmingäinj (2),high-confidence epic figure; concentrated and highly diagnostic despite lower frequency.
