person_cluster,area_name,variant,mentions,poems
Anna / Anne / Ann / Anni,Alahärmä,Anna,1,1
Anna / Anne / Ann / Anni,Alatornio,Anna,1,1
Anna / Anne / Ann / Anni,Alatornio,Anni,4,3
Anna / Anne / Ann / Anni,Ambla,Ann,7,7
Anna / Anne / Ann / Anni,Ambla,Anna,1,1
Anna / Anne / Ann / Anni,Ambla,Anne,19,15
Anna / Anne / Ann / Anni,Anna,Anne,1,1
Anna / Anne / Ann / Anni,Anttola,Anni,2,1
Anna / Anne / Ann / Anni,Asikkala,Anna,1,1
Anna / Anne / Ann / Anni,Audru,Ann,7,1
Anna / Anne / Ann / Anni,Audru,Anne,5,4
Anna / Anne / Ann / Anni,Audru,Other,3,1
Anna / Anne / Ann / Anni,Emmaste,Ann,1,1
Anna / Anne / Ann / Anni,Evijärvi,Anna,1,1
Anna / Anne / Ann / Anni,Forssa,Anni,1,1
Anna / Anne / Ann / Anni,Halikko,Anni,1,1
Anna / Anne / Ann / Anni,Haljala,Ann,9,8
Anna / Anne / Ann / Anni,Haljala,Anna,2,2
Anna / Anne / Ann / Anni,Haljala,Anne,47,36
Anna / Anne / Ann / Anni,Haljala,Anni,1,1
Anna / Anne / Ann / Anni,Haljala,Anu,1,1
Anna / Anne / Ann / Anni,Haljala,Other,2,2
Anna / Anne / Ann / Anni,Halliste,Ann,2,1
Anna / Anne / Ann / Anni,Halliste,Anne,26,18
Anna / Anne / Ann / Anni,Hanila,Ann,1,1
Anna / Anne / Ann / Anni,Hargla,Anne,9,5
Anna / Anne / Ann / Anni,Hargla,Other,1,1
Anna / Anne / Ann / Anni,Harju-Jaani,Ann,2,2
Anna / Anne / Ann / Anni,Harju-Jaani,Anna,2,2
Anna / Anne / Ann / Anni,Harju-Jaani,Anne,5,5
Anna / Anne / Ann / Anni,Harju-Jaani,Anu,1,1
Anna / Anne / Ann / Anni,Harju-Jaani,Other,2,2
Anna / Anne / Ann / Anni,Hattula,Anna,1,1
Anna / Anne / Ann / Anni,Hattula,Anni,2,2
Anna / Anne / Ann / Anni,Heinjoki,Anni,3,3
Anna / Anne / Ann / Anni,Heinävesi,Anna,2,2
Anna / Anne / Ann / Anni,Heinävesi,Anni,4,4
Anna / Anne / Ann / Anni,Helme,Ann,2,2
Anna / Anne / Ann / Anni,Helme,Anna,1,1
Anna / Anne / Ann / Anni,Helme,Anne,34,20
Anna / Anne / Ann / Anni,Hietamäki,Anni,5,3
Anna / Anne / Ann / Anni,Hollola,Anni,2,2
Anna / Anne / Ann / Anni,Hämeenlinna,Anni,6,6
Anna / Anne / Ann / Anni,Hämeenlinna,Other,1,1
Anna / Anne / Ann / Anni,Häädemeeste,Ann,2,2
Anna / Anne / Ann / Anni,Häädemeeste,Anne,7,5
Anna / Anne / Ann / Anni,Iisaku,Anne,7,7
Anna / Anne / Ann / Anni,Iitti,Anni,2,2
Anna / Anne / Ann / Anni,Ilmajoki,Other,1,1
Anna / Anne / Ann / Anni,Ilomantsi,Anna,2,1
Anna / Anne / Ann / Anni,Ilomantsi,Anni,12,7
Anna / Anne / Ann / Anni,Ilomantsi,Other,1,1
Anna / Anne / Ann / Anni,Impilahti,Anni,2,2
Anna / Anne / Ann / Anni,Impilahti,Anu,1,1
Anna / Anne / Ann / Anni,Isokyrö,Other,1,1
Anna / Anne / Ann / Anni,Jaani,Anne,2,2
Anna / Anne / Ann / Anni,Jaani,Other,1,1
Anna / Anne / Ann / Anni,Janakkala,Anni,1,1
Anna / Anne / Ann / Anni,Joensuu,Anni,1,1
Anna / Anne / Ann / Anni,Joroinen,Anna,1,1
Anna / Anne / Ann / Anni,Juuru,Ann,2,2
Anna / Anne / Ann / Anni,Juuru,Anne,2,1
Anna / Anne / Ann / Anni,Jämaja,Anne,4,2
Anna / Anne / Ann / Anni,Järva-Jaani,Ann,2,1
Anna / Anne / Ann / Anni,Järva-Jaani,Anne,3,3
Anna / Anne / Ann / Anni,Järva-Jaani,Anu,4,1
Anna / Anne / Ann / Anni,Järva-Madise,Anne,8,7
Anna / Anne / Ann / Anni,Jõelähtme,Ann,3,2
Anna / Anne / Ann / Anni,Jõelähtme,Anna,3,1
Anna / Anne / Ann / Anni,Jõelähtme,Anne,4,4
Anna / Anne / Ann / Anni,Jõelähtme,Other,1,1
Anna / Anne / Ann / Anni,Jõhvi,Ann,9,4
Anna / Anne / Ann / Anni,Jõhvi,Anna,1,1
Anna / Anne / Ann / Anni,Jõhvi,Anne,10,6
Anna / Anne / Ann / Anni,Jõhvi,Other,2,2
Anna / Anne / Ann / Anni,Jüri,Ann,1,1
Anna / Anne / Ann / Anni,Jüri,Anne,7,5
Anna / Anne / Ann / Anni,Kaarma,Ann,3,2
Anna / Anne / Ann / Anni,Kaarma,Anne,1,1
Anna / Anne / Ann / Anni,Kaavi,Anna,1,1
Anna / Anne / Ann / Anni,Kadrina,Ann,19,8
Anna / Anne / Ann / Anni,Kadrina,Anna,1,1
Anna / Anne / Ann / Anni,Kadrina,Anne,40,25
Anna / Anne / Ann / Anni,Kadrina,Anni,1,1
Anna / Anne / Ann / Anni,Kadrina,Other,1,1
Anna / Anne / Ann / Anni,Kalajoki,Anna,1,1
Anna / Anne / Ann / Anni,Kambja,Anne,3,3
Anna / Anne / Ann / Anni,Kanepi,Anne,6,5
Anna / Anne / Ann / Anni,Kangaslampi,Anna,1,1
Anna / Anne / Ann / Anni,Kangasniemi,Anna,1,1
Anna / Anne / Ann / Anni,Kaprio,Anni,10,4
Anna / Anne / Ann / Anni,Karja,Ann,6,1
Anna / Anne / Ann / Anni,Karja,Anne,4,2
Anna / Anne / Ann / Anni,Karksi,Anne,50,30
Anna / Anne / Ann / Anni,Karksi,Other,2,1
Anna / Anne / Ann / Anni,Karttula,Anna,1,1
Anna / Anne / Ann / Anni,Karula,Ann,1,1
Anna / Anne / Ann / Anni,Karula,Anne,4,3
Anna / Anne / Ann / Anni,Karula,Anu,1,1
Anna / Anne / Ann / Anni,Karula,Other,1,1
Anna / Anne / Ann / Anni,Karuna,Anni,1,1
Anna / Anne / Ann / Anni,Karunki,Anni,3,2
Anna / Anne / Ann / Anni,Karuse,Ann,7,3
Anna / Anne / Ann / Anni,Karuse,Anne,8,6
Anna / Anne / Ann / Anni,Karuse,Other,1,1
Anna / Anne / Ann / Anni,Kattila,Anu,3,2
Anna / Anne / Ann / Anni,Kattila,Other,1,1
Anna / Anne / Ann / Anni,Kauhajoki,Anni,2,2
Anna / Anne / Ann / Anni,Kaustinen,Anna,1,1
Anna / Anne / Ann / Anni,Kauvatsa,Anni,1,1
Anna / Anne / Ann / Anni,Keila,Anne,1,1
Anna / Anne / Ann / Anni,Keila,Other,1,1
Anna / Anne / Ann / Anni,Kemijärvi,Other,1,1
Anna / Anne / Ann / Anni,Kestilä,Anna,1,1
Anna / Anne / Ann / Anni,Kiestinki,Anni,2,1
Anna / Anne / Ann / Anni,Kiestinki,Other,2,1
Anna / Anne / Ann / Anni,Kihelkonna,Anne,1,1
Anna / Anne / Ann / Anni,Kihniö,Anni,1,1
Anna / Anne / Ann / Anni,Kirvu,Anni,1,1
Anna / Anne / Ann / Anni,Kitee,Anna,1,1
Anna / Anne / Ann / Anni,Kivennapa,Anni,4,4
Anna / Anne / Ann / Anni,Kodavere,Ann,1,1
Anna / Anne / Ann / Anni,Kodavere,Anne,9,7
Anna / Anne / Ann / Anni,Koeru,Ann,8,3
Anna / Anne / Ann / Anni,Koeru,Anne,25,9
Anna / Anne / Ann / Anni,Koeru,Other,1,1
Anna / Anne / Ann / Anni,Koivisto,Anni,11,6
Anna / Anne / Ann / Anni,Kokkola,Anni,1,1
Anna / Anne / Ann / Anni,Kolga-Jaani,Ann,12,8
Anna / Anne / Ann / Anni,Kolga-Jaani,Anne,34,17
Anna / Anne / Ann / Anni,Kolga-Jaani,Anu,1,1
Anna / Anne / Ann / Anni,Kontiolahti,Anni,5,4
Anna / Anne / Ann / Anni,Kontokki,Anni,20,7
Anna / Anne / Ann / Anni,Koprina,Anni,13,3
Anna / Anne / Ann / Anni,Korpilahti,Anni,1,1
Anna / Anne / Ann / Anni,Korpiselkä,Ann,1,1
Anna / Anne / Ann / Anni,Korpiselkä,Anni,7,5
Anna / Anne / Ann / Anni,Kose,Ann,8,5
Anna / Anne / Ann / Anni,Kose,Anne,18,11
Anna / Anne / Ann / Anni,Kose,Other,2,2
Anna / Anne / Ann / Anni,Koskenpää,Anni,1,1
Anna / Anne / Ann / Anni,Kuhmo,Anni,2,1
Anna / Anne / Ann / Anni,Kuivaniemi,Other,1,1
Anna / Anne / Ann / Anni,Kullamaa,Ann,1,1
Anna / Anne / Ann / Anni,Kullamaa,Anni,2,1
Anna / Anne / Ann / Anni,Kuolemajärvi,Anni,3,1
Anna / Anne / Ann / Anni,Kuopio,Anni,3,3
Anna / Anne / Ann / Anni,Kupanitsa,Anni,4,1
Anna / Anne / Ann / Anni,Kurkijoki,Anni,1,1
Anna / Anne / Ann / Anni,Kursi,Ann,1,1
Anna / Anne / Ann / Anni,Kursi,Anne,9,7
Anna / Anne / Ann / Anni,Kursi,Anu,1,1
Anna / Anne / Ann / Anni,Kuusalu,Ann,4,3
Anna / Anne / Ann / Anni,Kuusalu,Anna,3,2
Anna / Anne / Ann / Anni,Kuusalu,Anne,27,17
Anna / Anne / Ann / Anni,Kuusalu,Anni,3,1
Anna / Anne / Ann / Anni,Kuusamo,Anni,9,1
Anna / Anne / Ann / Anni,Kuusjoki,Anni,3,3
Anna / Anne / Ann / Anni,Käina,Ann,10,2
Anna / Anne / Ann / Anni,Kärla,Ann,3,3
Anna / Anne / Ann / Anni,Kärla,Anne,1,1
Anna / Anne / Ann / Anni,Kõpu,Ann,1,1
Anna / Anne / Ann / Anni,Kõpu,Anne,7,4
Anna / Anne / Ann / Anni,Laiuse,Ann,2,2
Anna / Anne / Ann / Anni,Laiuse,Anne,15,13
Anna / Anne / Ann / Anni,Laiuse,Anu,1,1
Anna / Anne / Ann / Anni,Lappee,Other,1,1
Anna / Anne / Ann / Anni,Lapua,Anna,1,1
Anna / Anne / Ann / Anni,Lavansaari,Anni,5,4
Anna / Anne / Ann / Anni,Lempaala,Anni,6,4
Anna / Anne / Ann / Anni,Lempaala,Other,1,1
Anna / Anne / Ann / Anni,Leppävirta,Other,1,1
Anna / Anne / Ann / Anni,Lihula,Anne,3,3
Anna / Anne / Ann / Anni,Liissilä,Anni,4,2
Anna / Anne / Ann / Anni,Liperi,Anna,1,1
Anna / Anne / Ann / Anni,Liperi,Anni,3,2
Anna / Anne / Ann / Anni,Liperi,Other,2,1
Anna / Anne / Ann / Anni,Loppi,Anna,1,1
Anna / Anne / Ann / Anni,Loppi,Anni,1,1
Anna / Anne / Ann / Anni,Luopioinen,Anni,1,1
Anna / Anne / Ann / Anni,Lääne-Nigula,Anu,1,1
Anna / Anne / Ann / Anni,Lüganuse,Anne,4,3
Anna / Anne / Ann / Anni,Lüganuse,Anni,1,1
Anna / Anne / Ann / Anni,Lüganuse,Anu,1,1
Anna / Anne / Ann / Anni,Maarja-Magdaleena,Ann,6,5
Anna / Anne / Ann / Anni,Maarja-Magdaleena,Anna,1,1
Anna / Anne / Ann / Anni,Maarja-Magdaleena,Anne,16,10
Anna / Anne / Ann / Anni,Maksuatiha,Anni,2,2
Anna / Anne / Ann / Anni,Martna,Anne,3,2
Anna / Anne / Ann / Anni,Metsäpirtti,Anni,1,1
Anna / Anne / Ann / Anni,Mihkli,Anne,2,1
Anna / Anne / Ann / Anni,Moloskovitsa,Anni,9,6
Anna / Anne / Ann / Anni,Muhu,Ann,16,3
Anna / Anne / Ann / Anni,Muhu,Anne,12,8
Anna / Anne / Ann / Anni,Muhu,Other,4,2
Anna / Anne / Ann / Anni,Muolaa,Anni,1,1
Anna / Anne / Ann / Anni,Mustjala,Ann,1,1
Anna / Anne / Ann / Anni,Mustjala,Anne,6,3
Anna / Anne / Ann / Anni,Mäntsälä,Anni,1,1
Anna / Anne / Ann / Anni,Mäntyharju,Anni,3,2
Anna / Anne / Ann / Anni,Märjamaa,Ann,1,1
Anna / Anne / Ann / Anni,Märjamaa,Anne,6,6
Anna / Anne / Ann / Anni,Nakkila,Anni,1,1
Anna / Anne / Ann / Anni,Narvusi,Anni,28,15
Anna / Anne / Ann / Anni,Narvusi,Anu,3,2
Anna / Anne / Ann / Anni,Narvusi,Other,2,2
Anna / Anne / Ann / Anni,Noarootsi,Ann,1,1
Anna / Anne / Ann / Anni,Nurmes,Anne,1,1
Anna / Anne / Ann / Anni,Nurmijärvi,Anna,1,1
Anna / Anne / Ann / Anni,Nõo,Anne,8,6
Anna / Anne / Ann / Anni,Nõo,Other,1,1
Anna / Anne / Ann / Anni,Orimattila,Anni,1,1
Anna / Anne / Ann / Anni,Otepää,Ann,3,2
Anna / Anne / Ann / Anni,Otepää,Anne,7,6
Anna / Anne / Ann / Anni,Otepää,Other,2,2
Anna / Anne / Ann / Anni,Oulu,Anna,1,1
Anna / Anne / Ann / Anni,Paatene,Anni,16,1
Anna / Anne / Ann / Anni,Paattinen,Anni,2,2
Anna / Anne / Ann / Anni,Paide,Ann,2,2
Anna / Anne / Ann / Anni,Paide,Anne,9,4
Anna / Anne / Ann / Anni,Paistu,Ann,7,5
Anna / Anne / Ann / Anni,Paistu,Anna,1,1
Anna / Anne / Ann / Anni,Paistu,Anne,42,19
Anna / Anne / Ann / Anni,Paistu,Other,2,2
Anna / Anne / Ann / Anni,Palamuse,Ann,3,3
Anna / Anne / Ann / Anni,Palamuse,Anne,9,8
Anna / Anne / Ann / Anni,Parikkala,Anni,1,1
Anna / Anne / Ann / Anni,Peetri,Ann,8,4
Anna / Anne / Ann / Anni,Peetri,Anna,1,1
Anna / Anne / Ann / Anni,Peetri,Anne,5,4
Anna / Anne / Ann / Anni,Peetri,Anni,2,2
Anna / Anne / Ann / Anni,Perho,Anna,1,1
Anna / Anne / Ann / Anni,Perniö,Anni,1,1
Anna / Anne / Ann / Anni,Pieksämäki,Anni,1,1
Anna / Anne / Ann / Anni,Pielisjärvi,Anni,2,1
Anna / Anne / Ann / Anni,Piippola,Other,1,1
Anna / Anne / Ann / Anni,Pilistvere,Ann,7,3
Anna / Anne / Ann / Anni,Pilistvere,Anna,1,1
Anna / Anne / Ann / Anni,Pilistvere,Anne,18,8
Anna / Anne / Ann / Anni,Pilistvere,Other,5,2
Anna / Anne / Ann / Anni,Pirkkala,Anni,1,1
Anna / Anne / Ann / Anni,Porajärvi,Anni,4,1
Anna / Anne / Ann / Anni,Pudasjärvi,Anni,1,1
Anna / Anne / Ann / Anni,Puhja,Ann,2,2
Anna / Anne / Ann / Anni,Puhja,Anne,5,3
Anna / Anne / Ann / Anni,Puhja,Anu,2,1
Anna / Anne / Ann / Anni,Pukkila,Anni,1,1
Anna / Anne / Ann / Anni,Puolanka,Anna,1,1
Anna / Anne / Ann / Anni,Puolanka,Anni,1,1
Anna / Anne / Ann / Anni,Pyhäjärvi Ul.,Anni,1,1
Anna / Anne / Ann / Anni,Pyhäjärvi Vpl.,Anni,3,3
Anna / Anne / Ann / Anni,Pälkjärvi,Other,1,1
Anna / Anne / Ann / Anni,Pälkäne,Anni,1,1
Anna / Anne / Ann / Anni,Pärnu,Ann,1,1
Anna / Anne / Ann / Anni,Pärnu,Anne,4,4
Anna / Anne / Ann / Anni,Pärnu-Jaagupi,Ann,2,2
Anna / Anne / Ann / Anni,Pärnu-Jaagupi,Anne,8,5
Anna / Anne / Ann / Anni,Põltsamaa,Ann,12,3
Anna / Anne / Ann / Anni,Põltsamaa,Anne,26,12
Anna / Anne / Ann / Anni,Põltsamaa,Anu,2,1
Anna / Anne / Ann / Anni,Põltsamaa,Other,1,1
Anna / Anne / Ann / Anni,Põlva,Ann,2,2
Anna / Anne / Ann / Anni,Põlva,Anne,5,5
Anna / Anne / Ann / Anni,Pöide,Ann,12,6
Anna / Anne / Ann / Anni,Pöide,Anne,7,4
Anna / Anne / Ann / Anni,Pöide,Anu,3,2
Anna / Anne / Ann / Anni,Pühalepa,Ann,12,2
Anna / Anne / Ann / Anni,Pühalepa,Anne,3,3
Anna / Anne / Ann / Anni,Pühalepa,Anu,1,1
Anna / Anne / Ann / Anni,Pühalepa,Other,1,1
Anna / Anne / Ann / Anni,Raahe,Anna,1,1
Anna / Anne / Ann / Anni,Rakvere,Anne,1,1
Anna / Anne / Ann / Anni,Rannu,Ann,1,1
Anna / Anne / Ann / Anni,Rannu,Anne,4,4
Anna / Anne / Ann / Anni,Rannu,Anu,2,1
Anna / Anne / Ann / Anni,Rannu,Other,2,1
Anna / Anne / Ann / Anni,Ranua,Anna,1,1
Anna / Anne / Ann / Anni,Rapla,Ann,2,2
Anna / Anne / Ann / Anni,Rapla,Anne,9,8
Anna / Anne / Ann / Anni,Reigi,Ann,1,1
Anna / Anne / Ann / Anni,Renko,Anna,1,1
Anna / Anne / Ann / Anni,Repola,Anni,5,4
Anna / Anne / Ann / Anni,Ridala,Ann,5,3
Anna / Anne / Ann / Anni,Ridala,Anne,1,1
Anna / Anne / Ann / Anni,Ridala,Other,2,1
Anna / Anne / Ann / Anni,Risti,Anne,4,4
Anna / Anne / Ann / Anni,Risti,Anni,2,1
Anna / Anne / Ann / Anni,Risti,Other,2,1
Anna / Anne / Ann / Anni,Ristijärvi,Anna,1,1
Anna / Anne / Ann / Anni,Ristijärvi,Anni,1,1
Anna / Anne / Ann / Anni,Rovaniemi,Anni,7,7
Anna / Anne / Ann / Anni,Rukajärvi,Anni,3,2
Anna / Anne / Ann / Anni,Räisälä,Anni,1,1
Anna / Anne / Ann / Anni,Räpina,Ann,1,1
Anna / Anne / Ann / Anni,Räpina,Anne,3,3
Anna / Anne / Ann / Anni,Rõngu,Ann,1,1
Anna / Anne / Ann / Anni,Rõngu,Anne,7,6
Anna / Anne / Ann / Anni,Rõuge,Ann,4,4
Anna / Anne / Ann / Anni,Rõuge,Anni,4,1
Anna / Anne / Ann / Anni,Rõuge,Other,1,1
Anna / Anne / Ann / Anni,Saarde,Ann,1,1
Anna / Anne / Ann / Anni,Saarde,Anne,23,6
Anna / Anne / Ann / Anni,Saarde,Other,1,1
Anna / Anne / Ann / Anni,Saarijärvi,Anni,3,3
Anna / Anne / Ann / Anni,Sakkola,Anni,8,1
Anna / Anne / Ann / Anni,Sakkola,Other,1,1
Anna / Anne / Ann / Anni,Salmi,Anni,6,4
Anna / Anne / Ann / Anni,Sangaste,Ann,5,4
Anna / Anne / Ann / Anni,Sangaste,Anne,13,10
Anna / Anne / Ann / Anni,Sangaste,Anu,2,2
Anna / Anne / Ann / Anni,Sangaste,Other,2,2
Anna / Anne / Ann / Anni,Savitaipale,Anne,1,1
Anna / Anne / Ann / Anni,Savitaipale,Anni,1,1
Anna / Anne / Ann / Anni,Seiskari,Anni,8,4
Anna / Anne / Ann / Anni,Serepetta,Anu,2,1
Anna / Anne / Ann / Anni,Setumaa,Ann,15,9
Anna / Anne / Ann / Anni,Setumaa,Anne,22,17
Anna / Anne / Ann / Anni,Setumaa,Other,5,3
Anna / Anne / Ann / Anni,Siilinjärvi,Anni,1,1
Anna / Anne / Ann / Anni,Simo,Anni,2,1
Anna / Anne / Ann / Anni,Simuna,Anne,9,8
Anna / Anne / Ann / Anni,Simuna,Other,2,2
Anna / Anne / Ann / Anni,Skuoritsa,Anni,8,2
Anna / Anne / Ann / Anni,Soanlahti,Anni,2,2
Anna / Anne / Ann / Anni,Soikkola,Anni,23,14
Anna / Anne / Ann / Anni,Soikkola,Other,1,1
Anna / Anne / Ann / Anni,Sortavala,Anni,1,1
Anna / Anne / Ann / Anni,Sotkamo,Anna,1,1
Anna / Anne / Ann / Anni,Sotkamo,Other,1,1
Anna / Anne / Ann / Anni,Spankkova,Anna,1,1
Anna / Anne / Ann / Anni,Spankkova,Anni,2,1
Anna / Anne / Ann / Anni,Suistamo,Anni,22,13
Anna / Anne / Ann / Anni,Suistamo,Anu,2,2
Anna / Anne / Ann / Anni,Suistamo,Other,8,4
Anna / Anne / Ann / Anni,Suojärvi,Anna,1,1
Anna / Anne / Ann / Anni,Suojärvi,Anni,25,11
Anna / Anne / Ann / Anni,Suojärvi,Other,2,1
Anna / Anne / Ann / Anni,Suomussalmi,Anni,1,1
Anna / Anne / Ann / Anni,Suonenjoki,Anna,1,1
Anna / Anne / Ann / Anni,Suure-Jaani,Ann,10,5
Anna / Anne / Ann / Anni,Suure-Jaani,Anne,16,8
Anna / Anne / Ann / Anni,Suure-Jaani,Other,1,1
Anna / Anne / Ann / Anni,Sysmä,Anna,1,1
Anna / Anne / Ann / Anni,Sääksmäki,Anni,1,1
Anna / Anne / Ann / Anni,Sääksmäki,Other,3,2
Anna / Anne / Ann / Anni,Sääminki,Anni,1,1
Anna / Anne / Ann / Anni,Säämäjärvi,Anu,1,1
Anna / Anne / Ann / Anni,Tampere,Anni,4,4
Anna / Anne / Ann / Anni,Tartu-Maarja,Anne,5,2
Anna / Anne / Ann / Anni,Tarvastu,Ann,23,6
Anna / Anne / Ann / Anni,Tarvastu,Anne,25,17
Anna / Anne / Ann / Anni,Tarvastu,Other,3,3
Anna / Anne / Ann / Anni,Terijoki,Anni,4,1
Anna / Anne / Ann / Anni,Tervo,Anni,2,2
Anna / Anne / Ann / Anni,Tohmajärvi,Anni,1,1
Anna / Anne / Ann / Anni,Toksova,Anni,8,3
Anna / Anne / Ann / Anni,Tori,Ann,7,4
Anna / Anne / Ann / Anni,Tori,Anne,8,5
Anna / Anne / Ann / Anni,Tori,Anni,3,3
Anna / Anne / Ann / Anni,Torma,Ann,2,2
Anna / Anne / Ann / Anni,Torma,Anne,9,5
Anna / Anne / Ann / Anni,Tulemajärvi,Anna,2,2
Anna / Anne / Ann / Anni,Tulemajärvi,Anni,19,14
Anna / Anne / Ann / Anni,Tulemajärvi,Other,9,2
Anna / Anne / Ann / Anni,Turku,Anna,1,1
Anna / Anne / Ann / Anni,Tuupovaara,Anni,1,1
Anna / Anne / Ann / Anni,Tuutari,Anni,1,1
Anna / Anne / Ann / Anni,Tyrväntö,Anni,1,1
Anna / Anne / Ann / Anni,Tyrö,Anni,5,4
Anna / Anne / Ann / Anni,Tõstamaa,Anne,4,3
Anna / Anne / Ann / Anni,Tõstamaa,Anu,1,1
Anna / Anne / Ann / Anni,Tõstamaa,Other,1,1
