person_cluster,area_name,variant,observed,expected,standardized_residual,area_total
Anna / Anne / Ann / Anni,Järva-Jaani,Anu,4,0.1584,9.652383177749472,9
Anna / Anne / Ann / Anni,Narvusi,Anni,28,6.4768,8.457199940289902,33
Anna / Anne / Ann / Anni,Soikkola,Anni,23,4.7104,8.427045004033145,24
Anna / Anne / Ann / Anni,Suojärvi,Anni,25,5.495466666666666,8.320190591586908,28
Anna / Anne / Ann / Anni,Kontokki,Anni,20,3.925333333333333,8.113415264016554,20
Anna / Anne / Ann / Anni,Vuole,Anni,20,4.1216,7.821207671516835,21
Anna / Anne / Ann / Anni,Paatene,Anni,16,3.1402666666666668,7.256859224010167,16
Anna / Anne / Ann / Anni,Jõelähtme,Anna,3,0.18186666666666668,6.608227461712274,11
Anna / Anne / Ann / Anni,Koprina,Anni,13,2.5514666666666668,6.541244507748118,13
Anna / Anne / Ann / Anni,Suistamo,Anni,22,6.2805333333333335,6.272483746895838,32
Anna / Anne / Ann / Anni,Tulemajärvi,Other,9,1.52,6.0670811502905195,30
Anna / Anne / Ann / Anni,Heinävesi,Anna,2,0.0992,6.035046035049053,6
Anna / Anne / Ann / Anni,Koivisto,Anni,11,2.158933333333333,6.017069800617843,11
Anna / Anne / Ann / Anni,Kaprio,Anni,10,1.9626666666666666,5.7370509517685475,10
Anna / Anne / Ann / Anni,Vuokkiniemi,Anni,10,1.9626666666666666,5.7370509517685475,10
Anna / Anne / Ann / Anni,Vigala,Ann,24,8.066133333333333,5.610330944977748,38
Anna / Anne / Ann / Anni,Kuusamo,Anni,9,1.7664,5.442644418007625,9
Anna / Anne / Ann / Anni,Moloskovitsa,Anni,9,1.7664,5.442644418007625,9
Anna / Anne / Ann / Anni,Käina,Ann,10,2.1226666666666665,5.406775326429402,10
Anna / Anne / Ann / Anni,Tulemajärvi,Anni,19,5.888,5.403622979478474,30
Anna / Anne / Ann / Anni,Ilomantsi,Anni,12,2.944,5.277977214640177,15
Anna / Anne / Ann / Anni,Seiskari,Anni,8,1.5701333333333334,5.131374367413736,8
Anna / Anne / Ann / Anni,Skuoritsa,Anni,8,1.5701333333333334,5.131374367413736,8
Anna / Anne / Ann / Anni,Toksova,Anni,8,1.5701333333333334,5.131374367413736,8
Anna / Anne / Ann / Anni,Suistamo,Other,8,1.6213333333333333,5.0094927431686775,32
Anna / Anne / Ann / Anni,Rovaniemi,Anni,7,1.3738666666666666,4.799961201534018,7
Anna / Anne / Ann / Anni,Sakkola,Anni,8,1.7664,4.690232836221568,9
Anna / Anne / Ann / Anni,Varbla,Ann,11,2.9717333333333333,4.657114029010407,14
Anna / Anne / Ann / Anni,Puhja,Anu,2,0.1584,4.627194101453412,9
Anna / Anne / Ann / Anni,Rannu,Anu,2,0.1584,4.627194101453412,9
Anna / Anne / Ann / Anni,Karksi,Anne,50,26.346666666666668,4.608180837844583,52
Anna / Anne / Ann / Anni,Salmi,Anni,6,1.1776,4.4439005585085996,6
