person_cluster,area_total_threshold,areas,mentions,variants,chi2,dof,p_value,cramers_v
Mary / Maria / Maarja / Mari,1,391,4683,6,7856.129946220296,1950,0.0,0.5792382704901669
Mary / Maria / Maarja / Mari,5,177,4238,6,6035.052876840357,880,0.0,0.5336727913899635
Mary / Maria / Maarja / Mari,10,103,3756,6,4789.155858842209,510,0.0,0.5049887365144964
Mary / Maria / Maarja / Mari,20,59,3133,6,3672.015316262311,290,0.0,0.48415792203938557
John / Jaan / Jussi / Hans,1,333,2418,6,5242.049036807241,1660,0.0,0.6584721165485274
John / Jaan / Jussi / Hans,5,120,2013,6,3804.2752467549676,595,0.0,0.614793229490872
John / Jaan / Jussi / Hans,10,75,1733,6,3256.286091117054,370,0.0,0.6130233168261542
John / Jaan / Jussi / Hans,20,27,1089,5,900.5361090469452,104,4.360334994887044e-127,0.45468081546307965
Peter / Pietari / Peeter,1,355,1678,5,3745.7134694445294,1416,1.506027868921569e-209,0.7470356065636077
Peter / Pietari / Peeter,5,112,1226,5,2518.6311466754123,444,3.949944387350618e-286,0.7166499157102316
Peter / Pietari / Peeter,10,40,757,5,1426.6666646945055,156,6.2287859528775214e-204,0.6864095566712333
Peter / Pietari / Peeter,20,11,370,5,550.1185482428934,40,6.890345225138968e-91,0.6096734550443694
Martin / Mart / Märt,1,133,3322,6,8203.109027633094,660,0.0,0.702755779049124
Martin / Mart / Märt,5,75,3230,6,7912.931373318166,370,0.0,0.6999748502035866
Martin / Mart / Märt,10,59,3119,5,4518.2167648993145,232,0.0,0.6017912215433624
Martin / Mart / Märt,20,40,2858,5,3919.303384526641,156,0.0,0.5855221561029905
Catherine / Kadri / Katri,1,220,2002,6,5096.463553382246,1095,0.0,0.713538519016391
Catherine / Kadri / Katri,5,85,1791,6,3854.4724588081367,420,0.0,0.656069243224275
Catherine / Kadri / Katri,10,58,1630,6,3427.30676939631,285,0.0,0.6484816404207119
Catherine / Kadri / Katri,20,31,1259,6,2436.1530643839997,150,0.0,0.622091716672854
Anna / Anne / Ann / Anni,1,245,2116,6,4276.234637143311,1220,0.0,0.6357522847728396
Anna / Anne / Ann / Anni,5,108,1875,6,2580.744121647801,535,2.4183865477661645e-264,0.5246707281483936
Anna / Anne / Ann / Anni,10,66,1573,6,1960.7752590335358,325,2.674086527617833e-231,0.49930342565939917
Anna / Anne / Ann / Anni,20,36,1196,6,1353.64396964865,175,3.9978679334232867e-181,0.47577501808546274
