person_cluster,variant_casefold_standard_lemma,broad_region,mentions,share_within_group,share_within_variant
Mary / Maria / Maarja / Mari,Mari,Estonia core/west,1745,0.34465731779577324,0.7328853422931542
Mary / Maria / Maarja / Mari,Mari,South Estonia/Seto,345,0.06814141813154256,0.14489710205795883
Mary / Maria / Maarja / Mari,Mari,Finland/Savo-Karelia,69,0.013628283626308513,0.02897942041159177
Mary / Maria / Maarja / Mari,Mari,Ingria,120,0.023701362828362632,0.0503989920201596
Mary / Maria / Maarja / Mari,Mari,East Karelia/Veps/Tver,29,0.005727829350187636,0.012179756404871903
Mary / Maria / Maarja / Mari,Mari,Other/unclear,73,0.014418329053920601,0.030659386812263753
Mary / Maria / Maarja / Mari,Maria,Estonia core/west,98,0.01935611297649615,0.12612612612612611
Mary / Maria / Maarja / Mari,Maria,South Estonia/Seto,14,0.002765158996642307,0.018018018018018018
Mary / Maria / Maarja / Mari,Maria,Finland/Savo-Karelia,352,0.06952399762986372,0.45302445302445304
Mary / Maria / Maarja / Mari,Maria,Ingria,114,0.0225162946869445,0.14671814671814673
Mary / Maria / Maarja / Mari,Maria,East Karelia/Veps/Tver,197,0.03890973730989532,0.25353925353925355
Mary / Maria / Maarja / Mari,Maria,Other/unclear,2,0.00039502271380604387,0.002574002574002574
Mary / Maria / Maarja / Mari,Maija/Maie,Estonia core/west,4,0.0007900454276120877,0.005847953216374269
Mary / Maria / Maarja / Mari,Maija/Maie,South Estonia/Seto,0,0.0,0.0
Mary / Maria / Maarja / Mari,Maija/Maie,Finland/Savo-Karelia,367,0.07248666798340904,0.5365497076023392
Mary / Maria / Maarja / Mari,Maija/Maie,Ingria,286,0.05648824807426427,0.41812865497076024
Mary / Maria / Maarja / Mari,Maija/Maie,East Karelia/Veps/Tver,27,0.005332806636381592,0.039473684210526314
Mary / Maria / Maarja / Mari,Maija/Maie,Other/unclear,0,0.0,0.0
Mary / Maria / Maarja / Mari,Maarja,Estonia core/west,354,0.06991902034366976,0.7023809523809523
Mary / Maria / Maarja / Mari,Maarja,South Estonia/Seto,133,0.026269010468101917,0.2638888888888889
Mary / Maria / Maarja / Mari,Maarja,Finland/Savo-Karelia,7,0.0013825794983211535,0.013888888888888888
Mary / Maria / Maarja / Mari,Maarja,Ingria,4,0.0007900454276120877,0.007936507936507936
Mary / Maria / Maarja / Mari,Maarja,East Karelia/Veps/Tver,0,0.0,0.0
Mary / Maria / Maarja / Mari,Maarja,Other/unclear,6,0.0011850681414181316,0.011904761904761904
Mary / Maria / Maarja / Mari,Maaria,Estonia core/west,23,0.0045427612087695045,0.05066079295154185
Mary / Maria / Maarja / Mari,Maaria,South Estonia/Seto,0,0.0,0.0
Mary / Maria / Maarja / Mari,Maaria,Finland/Savo-Karelia,195,0.038514714596089274,0.42951541850220265
Mary / Maria / Maarja / Mari,Maaria,Ingria,132,0.026071499111198895,0.2907488986784141
Mary / Maria / Maarja / Mari,Maaria,East Karelia/Veps/Tver,100,0.019751135690302193,0.22026431718061673
