person_cluster,variant_casefold_standard_lemma,Estonia core/west,South Estonia/Seto,Finland/Savo-Karelia,Ingria,East Karelia/Veps/Tver,Other/unclear
Anna / Anne / Ann / Anni,Ann,394,41,0,3,1,15
Anna / Anne / Ann / Anni,Anna,21,1,40,2,4,0
Anna / Anne / Ann / Anni,Anne,949,65,2,0,0,24
Anna / Anne / Ann / Anni,Anni,20,4,202,158,153,3
Anna / Anne / Ann / Anni,Anu,27,3,0,8,4,1
Anna / Anne / Ann / Anni,Other,61,9,19,7,21,1
Catherine / Kadri / Katri,Kadri,921,109,0,0,1,27
Catherine / Kadri / Katri,Kaisa,1,0,168,56,18,3
Catherine / Kadri / Katri,Katariina/Katriina,5,2,17,25,5,0
Catherine / Kadri / Katri,Kati,2,4,8,87,1,2
Catherine / Kadri / Katri,Katri,284,24,40,91,21,0
Catherine / Kadri / Katri,Other,119,101,8,12,6,1
Jesus / Christ,Christ/Kristus,40,7,84,24,45,5
Jesus / Christ,Jeesus,236,157,665,291,340,24
Jesus / Christ,Jesus,7,1,140,53,64,0
Jesus / Christ,Other,13,3,17,6,13,0
John / Jaan / Jussi / Hans,Ants,219,15,0,0,0,5
John / Jaan / Jussi / Hans,Hans,422,5,2,0,0,33
John / Jaan / Jussi / Hans,Iivana,0,0,6,15,5,0
John / Jaan / Jussi / Hans,Jaan,917,59,0,0,0,37
John / Jaan / Jussi / Hans,Jussi/Juss,21,1,563,20,26,3
John / Jaan / Jussi / Hans,Other,142,18,59,22,5,4
Martin / Mart / Märt,Mard/Mardi,605,3,0,0,0,14
Martin / Mart / Märt,Mart/Martin,976,0,3,0,1,17
Martin / Mart / Märt,Martti,0,0,39,13,1,0
Martin / Mart / Märt,Märt,1232,113,0,0,0,11
Martin / Mart / Märt,Märti,201,4,0,0,0,14
Martin / Mart / Märt,Other,243,8,1,0,0,4
Mary / Maria / Maarja / Mari,Maaria,23,0,195,132,100,4
Mary / Maria / Maarja / Mari,Maarja,354,133,7,4,0,6
Mary / Maria / Maarja / Mari,Maija/Maie,4,0,367,286,27,0
Mary / Maria / Maarja / Mari,Mari,1745,345,69,120,29,73
Mary / Maria / Maarja / Mari,Maria,98,14,352,114,197,2
Mary / Maria / Maarja / Mari,Other,97,51,41,53,19,2
Peter / Pietari / Peeter,Other,34,16,10,11,4,2
Peter / Pietari / Peeter,Peeter,406,54,0,0,0,16
Peter / Pietari / Peeter,Pekka,0,0,331,9,30,4
Peter / Pietari / Peeter,Petteri/Petri,0,0,28,39,40,1
Peter / Pietari / Peeter,Pietari,1,0,442,131,182,4
