person_cluster,variant_casefold_standard_lemma,standard_lemma_tokens_casefold,mentions,share_within_group,poems,counties,top_regions,top_counties,standard_lemma_counts,local_lemma_counts
Mary / Maria / Maarja / Mari,Mari,mari,2381,0.4702745407860952,1392,24,Estonia core/west: 1745 (73.3%); South Estonia/Seto: 345 (14.5%); Ingria: 120 (5.0%); Other/unclear: 73 (3.1%); Finland/Savo-Karelia: 69 (2.9%); East Karelia/Veps/Tver: 29 (1.2%),Virumaa (369); Viljandimaa (331); Tartumaa (279); Harjumaa (247); Pärnumaa (228); Setumaa (175); Võrumaa (167); Läänemaa (137),Mari (1256); mari (1125),Mari (1077); mari (834); marja (153); mara (31); Maie (28); marä (14); marakõnõ (13); marju (10); marjad (10); marjakõnõ (10); Marike (10); marjakene (9)
Mary / Maria / Maarja / Mari,Maria,maria,777,0.15346632431364804,596,31,Finland/Savo-Karelia: 352 (45.3%); East Karelia/Veps/Tver: 197 (25.4%); Ingria: 114 (14.7%); Estonia core/west: 98 (12.6%); South Estonia/Seto: 14 (1.8%); Other/unclear: 2 (0.3%),Laatokan Karjala (Raja-Karjala) (138); Pohjois-Karjala (66); Etelä-Savo (58); Länsi-Inkeri (58); Häme (47); Pohjois-Savo (45); Viena (35); Keski-Inkeri (34),Maria (772); maria (5),Maria (379); Maaria (118); maria (37); Moaria (29); Muaria (17); Maarja (15); maaria (13); Marja (8); muarie (8); maarian (8); Maarian (7); Moari (7)
Mary / Maria / Maarja / Mari,Maija/Maie,maie; maija,684,0.135097768121667,431,22,Finland/Savo-Karelia: 367 (53.7%); Ingria: 286 (41.8%); East Karelia/Veps/Tver: 27 (3.9%); Estonia core/west: 4 (0.6%),Länsi-Inkeri (232); Häme (63); Varsinais-Suomi (57); Satakunta (42); Peräpohjola (35); Keski-Inkeri (34); Etelä-Pohjanmaa (31); Etelä-Savo (26),Maija (582); maija (98); Maie (4),Maija (408); maija (117); Maie (51); Maije (34); maijoi (13); maijon (10); maijas (4); maijaa (3); maijen (3); Maijoin (3); Maijal (2); maijo (2)
Mary / Maria / Maarja / Mari,Maarja,maarja,504,0.09954572387912305,280,16,Estonia core/west: 354 (70.2%); South Estonia/Seto: 133 (26.4%); Finland/Savo-Karelia: 7 (1.4%); Other/unclear: 6 (1.2%); Ingria: 4 (0.8%),Pärnumaa (108); Viljandimaa (99); Setumaa (75); Võrumaa (57); Tartumaa (47); Virumaa (44); Harjumaa (20); Läänemaa (18),Maarja (502); maarja (2),Maarja (290); maarja (64); Maari (44); maari (23); Maarija (15); maarinna (8); maarjat (7); marijat (5); Maaria (4); maarijat (3); Marija (3); maarija (3)
Mary / Maria / Maarja / Mari,Maaria,maaria,454,0.08967015603397195,334,25,Finland/Savo-Karelia: 195 (43.0%); Ingria: 132 (29.1%); East Karelia/Veps/Tver: 100 (22.0%); Estonia core/west: 23 (5.1%); Other/unclear: 4 (0.9%),Länsi-Inkeri (83); Laatokan Karjala (Raja-Karjala) (65); Pohjois-Karjala (53); Häme (38); Keski-Inkeri (33); Aunus (30); Kainuu (19); Satakunta (18),Maaria (441); maaria (13),Maaria (361); maaria (20); Maariainen (14); maariainen (6); Maari (4); Maarian (4); Maarii (4); Maariaine (3); maariani (2); Moarijja (2); muari (2); Moarie (2)
Mary / Maria / Maarja / Mari,Other,,263,0.051945486865494765,179,27,Estonia core/west: 97 (36.9%); Ingria: 53 (20.2%); South Estonia/Seto: 51 (19.4%); Finland/Savo-Karelia: 41 (15.6%); East Karelia/Veps/Tver: 19 (7.2%); Other/unclear: 2 (0.8%),Länsi-Inkeri (29); Setumaa (29); Pärnumaa (25); Võrumaa (22); Viljandimaa (21); Keski-Inkeri (16); Tartumaa (15); Virumaa (13),Maari (27); Marja (17); Marian (15); marja (13); marjake (13); marjuke (12); marjakene (11); Marike (8); Marija (8); Marja/Mari (6); marjad (5); Maarjale (5),Maari (26); marja (12); Marja (11); mari (8); marju+ke (8); Marikene (6); marikene (6); Marini (6); marjuke (5); marakõnõ (5); Marija (5); marjakene (4)
Jesus / Christ,Jeesus,jeesus,1713,0.7664429530201342,1030,33,Finland/Savo-Karelia: 665 (38.8%); East Karelia/Veps/Tver: 340 (19.8%); Ingria: 291 (17.0%); Estonia core/west: 236 (13.8%); South Estonia/Seto: 157 (9.2%); Other/unclear: 24 (1.4%),Laatokan Karjala (Raja-Karjala) (289); Pohjois-Karjala (165); Keski-Inkeri (108); Häme (102); Itä- ja Pohjois-Inkeri (95); Võrumaa (93); Länsi-Inkeri (88); Etelä-Savo (72),Jeesus (1712); jeesus (1),Jeesus (967); Jiesus (154); Jesus (71); Iesus (57); jeesus (40); Kiesus (39); Jeesu (37); jiesus (29); Jessus (24); Iessus (21); Jiessus (19); jeesu (12)
Jesus / Christ,Jesus,jesus,265,0.1185682326621924,159,22,Finland/Savo-Karelia: 140 (52.8%); East Karelia/Veps/Tver: 64 (24.2%); Ingria: 53 (20.0%); Estonia core/west: 7 (2.6%); South Estonia/Seto: 1 (0.4%),Laatokan Karjala (Raja-Karjala) (61); Häme (39); Pohjois-Karjala (37); Länsi-Inkeri (23); Itä- ja Pohjois-Inkeri (20); Etelä-Savo (16); Satakunta (12); Keski-Inkeri (10),Jesus (264); jesus (1),Jesus (255); jesus (6); Jeesus (1); Jesus-en (1); Jesuksen (1); Jesus+ta (1)
Jesus / Christ,Christ/Kristus,christ; kristus,205,0.09172259507829977,156,28,Finland/Savo-Karelia: 84 (41.0%); East Karelia/Veps/Tver: 45 (22.0%); Estonia core/west: 40 (19.5%); Ingria: 24 (11.7%); South Estonia/Seto: 7 (3.4%); Other/unclear: 5 (2.4%),Laatokan Karjala (Raja-Karjala) (30); Pohjois-Karjala (17); Tartumaa (16); Länsi-Inkeri (15); Häme (13); Varsinais-Suomi (12); Aunus (11); Etelä-Pohjanmaa (11),Kristus (205),Kristus (136); Ristus (17); kristus (10); Kristos (5); ristus (5); Krist (3); krist (2); kristos (2); Kristo (2); christux (2); Kristuse (1); Kõrstus (1)
Jesus / Christ,Other,,52,0.023266219239373602,44,19,Finland/Savo-Karelia: 17 (32.7%); Estonia core/west: 13 (25.0%); East Karelia/Veps/Tver: 13 (25.0%); Ingria: 6 (11.5%); South Estonia/Seto: 3 (5.8%),Laatokan Karjala (Raja-Karjala) (9); Pohjois-Karjala (7); Virumaa (5); Aunus (4); Häme (4); Länsi-Inkeri (4); Võrumaa (3); Järvamaa (2),Jeesuksen (16); Jeesukene (4); Jeesuse (4); hristos (3); Jeesusesse (2); Jeesu (2); kristillinen (2); Kristian (2); Iesus (1); Jeesu_kene (1); Eesus (1); Jeesuke (1),Jeesukse (3); hristos (3); Jeesukene (2); Jeesuse (2); jeesu (2); Hristos (2); Kristos (2); kristillinen (2); hristoa (2); jesuxen (2); Jeesuksen (2); Iesus (1)
