person_cluster,area_name,mentions,poems
Anna / Anne / Ann / Anni,Alahärmä,1,1
Anna / Anne / Ann / Anni,Alatornio,5,4
Anna / Anne / Ann / Anni,Ambla,27,20
Anna / Anne / Ann / Anni,Anna,1,1
Anna / Anne / Ann / Anni,Anttola,2,1
Anna / Anne / Ann / Anni,Asikkala,1,1
Anna / Anne / Ann / Anni,Audru,15,6
Anna / Anne / Ann / Anni,Emmaste,1,1
Anna / Anne / Ann / Anni,Evijärvi,1,1
Anna / Anne / Ann / Anni,Forssa,1,1
Anna / Anne / Ann / Anni,Halikko,1,1
Anna / Anne / Ann / Anni,Haljala,62,47
Anna / Anne / Ann / Anni,Halliste,28,18
Anna / Anne / Ann / Anni,Hanila,1,1
Anna / Anne / Ann / Anni,Hargla,10,6
Anna / Anne / Ann / Anni,Harju-Jaani,12,11
Anna / Anne / Ann / Anni,Hattula,3,3
Anna / Anne / Ann / Anni,Heinjoki,3,3
Anna / Anne / Ann / Anni,Heinävesi,6,6
Anna / Anne / Ann / Anni,Helme,37,23
Anna / Anne / Ann / Anni,Hietamäki,5,3
Anna / Anne / Ann / Anni,Hollola,2,2
Anna / Anne / Ann / Anni,Hämeenlinna,7,7
Anna / Anne / Ann / Anni,Häädemeeste,9,7
Anna / Anne / Ann / Anni,Iisaku,7,7
Anna / Anne / Ann / Anni,Iitti,2,2
Anna / Anne / Ann / Anni,Ilmajoki,1,1
Anna / Anne / Ann / Anni,Ilomantsi,15,9
Anna / Anne / Ann / Anni,Impilahti,3,2
Anna / Anne / Ann / Anni,Isokyrö,1,1
Anna / Anne / Ann / Anni,Jaani,3,3
Anna / Anne / Ann / Anni,Janakkala,1,1
Anna / Anne / Ann / Anni,Joensuu,1,1
Anna / Anne / Ann / Anni,Joroinen,1,1
Anna / Anne / Ann / Anni,Juuru,4,3
Anna / Anne / Ann / Anni,Jämaja,4,2
Anna / Anne / Ann / Anni,Järva-Jaani,9,5
Anna / Anne / Ann / Anni,Järva-Madise,8,7
Anna / Anne / Ann / Anni,Jõelähtme,11,8
Anna / Anne / Ann / Anni,Jõhvi,22,11
Anna / Anne / Ann / Anni,Jüri,8,6
Anna / Anne / Ann / Anni,Kaarma,4,2
Anna / Anne / Ann / Anni,Kaavi,1,1
Anna / Anne / Ann / Anni,Kadrina,62,33
Anna / Anne / Ann / Anni,Kalajoki,1,1
