place_name_clean,county,person_cluster,mentions
Viljandimaa,Viljandimaa,Catherine / Kadri / Katri,67
Viljandimaa,Viljandimaa,Martin / Mart / Märt,55
välismaa,välismaa,Mary / Maria / Maarja / Mari,29
välismaa,välismaa,Martin / Mart / Märt,25
Itä- ja Pohjois-Inkeri,Itä- ja Pohjois-Inkeri,Mary / Maria / Maarja / Mari,24
Pohjois-Pohjanmaa,Pohjois-Pohjanmaa,Mary / Maria / Maarja / Mari,23
Tartu,Tartumaa,Mary / Maria / Maarja / Mari,22
Etelä-Savo,Etelä-Savo,Mary / Maria / Maarja / Mari,22
Keski-Inkeri,Keski-Inkeri,Mary / Maria / Maarja / Mari,21
Narva l.,Virumaa,Mary / Maria / Maarja / Mari,20
välismaa,välismaa,John / Jaan / Jussi / Hans,20
Länsi-Inkeri,Länsi-Inkeri,Mary / Maria / Maarja / Mari,19
Läänemaa,Läänemaa,John / Jaan / Jussi / Hans,16
Läänemaa,Läänemaa,Martin / Mart / Märt,16
Pärnu l.,Pärnumaa,Martin / Mart / Märt,16
Saaremaa,Saaremaa,Catherine / Kadri / Katri,14
välismaa,välismaa,Anna / Anne / Ann / Anni,14
Tallinn,Harjumaa,Mary / Maria / Maarja / Mari,13
Etelä-Savo,Etelä-Savo,Jesus / Christ,13
Tallinn,Harjumaa,Martin / Mart / Märt,12
Viljandi l.,Viljandimaa,Mary / Maria / Maarja / Mari,12
Narva l.,Virumaa,John / Jaan / Jussi / Hans,12
Tartu,Tartumaa,Anna / Anne / Ann / Anni,12
Itä- ja Pohjois-Inkeri,Itä- ja Pohjois-Inkeri,Peter / Pietari / Peeter,12
Viljandi l.,Viljandimaa,Anna / Anne / Ann / Anni,11
Tartu,Tartumaa,John / Jaan / Jussi / Hans,11
Läänemaa,Läänemaa,Mary / Maria / Maarja / Mari,11
Tallinn,Harjumaa,John / Jaan / Jussi / Hans,11
välismaa,välismaa,Catherine / Kadri / Katri,10
Hiiumaa,Läänemaa,John / Jaan / Jussi / Hans,10
Pohjois-Karjala,Pohjois-Karjala,Mary / Maria / Maarja / Mari,10
Hiiumaa,Läänemaa,Mary / Maria / Maarja / Mari,10
Pärnu l.,Pärnumaa,Mary / Maria / Maarja / Mari,10
Tallinn,Harjumaa,Jesus / Christ,9
Paide l.,Järvamaa,Martin / Mart / Märt,9
Nokia,Satakunta,Mary / Maria / Maarja / Mari,8
Tartu,Tartumaa,Martin / Mart / Märt,8
välismaa,välismaa,Peter / Pietari / Peeter,8
Pohjois-Savo,Pohjois-Savo,Jesus / Christ,8
Võrumaa,Võrumaa,Mary / Maria / Maarja / Mari,7
Uusikirkko Vpl.,Etelä-Karjala,Catherine / Kadri / Katri,7
Võrumaa,Võrumaa,Anna / Anne / Ann / Anni,7
Valga,Valgamaa,John / Jaan / Jussi / Hans,7
Keski-Inkeri,Keski-Inkeri,Anna / Anne / Ann / Anni,7
Etelä-Karjala,Etelä-Karjala,Anna / Anne / Ann / Anni,7
Narva l.,Virumaa,Jesus / Christ,7
Viljandimaa,Viljandimaa,Mary / Maria / Maarja / Mari,7
Keski-Inkeri,Keski-Inkeri,Catherine / Kadri / Katri,7
Nokia,Satakunta,John / Jaan / Jussi / Hans,6
Pohjois-Karjala,Pohjois-Karjala,Anna / Anne / Ann / Anni,6
Paide l.,Järvamaa,John / Jaan / Jussi / Hans,6
Viljandimaa,Viljandimaa,Jesus / Christ,6
Viena,Viena,Mary / Maria / Maarja / Mari,6
Itä- ja Pohjois-Inkeri,Itä- ja Pohjois-Inkeri,Catherine / Kadri / Katri,6
Läänemaa,Läänemaa,Anna / Anne / Ann / Anni,5
Peräpohjola,Peräpohjola,Catherine / Kadri / Katri,5
Paide l.,Järvamaa,Anna / Anne / Ann / Anni,5
välismaa,välismaa,Jesus / Christ,5
Peräpohjola,Peräpohjola,Peter / Pietari / Peeter,5
Hiiumaa,Läänemaa,Jesus / Christ,5
Itä- ja Pohjois-Inkeri,Itä- ja Pohjois-Inkeri,Anna / Anne / Ann / Anni,5
Võrumaa,Võrumaa,John / Jaan / Jussi / Hans,5
Pohjois-Karjala,Pohjois-Karjala,Peter / Pietari / Peeter,5
Viljandi l.,Viljandimaa,Peter / Pietari / Peeter,5
Viljandi l.,Viljandimaa,John / Jaan / Jussi / Hans,5
Pohjois-Karjala,Pohjois-Karjala,Jesus / Christ,4
Tartu,Tartumaa,Peter / Pietari / Peeter,4
Pärnu l.,Pärnumaa,John / Jaan / Jussi / Hans,4
Toijala,Häme,Peter / Pietari / Peeter,4
Saaremaa,Saaremaa,Anna / Anne / Ann / Anni,4
Tartu,Tartumaa,Catherine / Kadri / Katri,4
Peräpohjola,Peräpohjola,Mary / Maria / Maarja / Mari,4
Porvoo mlk,Uusimaa,Peter / Pietari / Peeter,4
Sortavala mlk,Laatokan Karjala (Raja-Karjala),Peter / Pietari / Peeter,4
Pohjois-Savo,Pohjois-Savo,Mary / Maria / Maarja / Mari,4
Viena,Viena,Jesus / Christ,4
Viena,Viena,Anna / Anne / Ann / Anni,4
Valga,Valgamaa,Mary / Maria / Maarja / Mari,4
Länsi-Inkeri,Länsi-Inkeri,Anna / Anne / Ann / Anni,4
