person_cluster,variant,area_name,mentions,poems
Anna / Anne / Ann / Anni,Ann,Ambla,7,7
Anna / Anne / Ann / Anni,Ann,Audru,7,1
Anna / Anne / Ann / Anni,Ann,Emmaste,1,1
Anna / Anne / Ann / Anni,Ann,Haljala,9,8
Anna / Anne / Ann / Anni,Ann,Halliste,2,1
Anna / Anne / Ann / Anni,Ann,Hanila,1,1
Anna / Anne / Ann / Anni,Ann,Harju-Jaani,2,2
Anna / Anne / Ann / Anni,Ann,Helme,2,2
Anna / Anne / Ann / Anni,Ann,Häädemeeste,2,2
Anna / Anne / Ann / Anni,Ann,Juuru,2,2
Anna / Anne / Ann / Anni,Ann,Järva-Jaani,2,1
Anna / Anne / Ann / Anni,Ann,Jõelähtme,3,2
Anna / Anne / Ann / Anni,Ann,Jõhvi,9,4
Anna / Anne / Ann / Anni,Ann,Jüri,1,1
Anna / Anne / Ann / Anni,Ann,Kaarma,3,2
Anna / Anne / Ann / Anni,Ann,Kadrina,19,8
Anna / Anne / Ann / Anni,Ann,Karja,6,1
Anna / Anne / Ann / Anni,Ann,Karula,1,1
Anna / Anne / Ann / Anni,Ann,Karuse,7,3
Anna / Anne / Ann / Anni,Ann,Kodavere,1,1
Anna / Anne / Ann / Anni,Ann,Koeru,8,3
Anna / Anne / Ann / Anni,Ann,Kolga-Jaani,12,8
Anna / Anne / Ann / Anni,Ann,Korpiselkä,1,1
Anna / Anne / Ann / Anni,Ann,Kose,8,5
Anna / Anne / Ann / Anni,Ann,Kullamaa,1,1
Anna / Anne / Ann / Anni,Ann,Kursi,1,1
Anna / Anne / Ann / Anni,Ann,Kuusalu,4,3
Anna / Anne / Ann / Anni,Ann,Käina,10,2
Anna / Anne / Ann / Anni,Ann,Kärla,3,3
Anna / Anne / Ann / Anni,Ann,Kõpu,1,1
Anna / Anne / Ann / Anni,Ann,Laiuse,2,2
Anna / Anne / Ann / Anni,Ann,Maarja-Magdaleena,6,5
Anna / Anne / Ann / Anni,Ann,Muhu,16,3
Anna / Anne / Ann / Anni,Ann,Mustjala,1,1
Anna / Anne / Ann / Anni,Ann,Märjamaa,1,1
Anna / Anne / Ann / Anni,Ann,Noarootsi,1,1
Anna / Anne / Ann / Anni,Ann,Otepää,3,2
Anna / Anne / Ann / Anni,Ann,Paide,2,2
Anna / Anne / Ann / Anni,Ann,Paistu,7,5
Anna / Anne / Ann / Anni,Ann,Palamuse,3,3
Anna / Anne / Ann / Anni,Ann,Peetri,8,4
Anna / Anne / Ann / Anni,Ann,Pilistvere,7,3
Anna / Anne / Ann / Anni,Ann,Puhja,2,2
Anna / Anne / Ann / Anni,Ann,Pärnu,1,1
Anna / Anne / Ann / Anni,Ann,Pärnu-Jaagupi,2,2
Anna / Anne / Ann / Anni,Ann,Põltsamaa,12,3
Anna / Anne / Ann / Anni,Ann,Põlva,2,2
Anna / Anne / Ann / Anni,Ann,Pöide,12,6
Anna / Anne / Ann / Anni,Ann,Pühalepa,12,2
Anna / Anne / Ann / Anni,Ann,Rannu,1,1
Anna / Anne / Ann / Anni,Ann,Rapla,2,2
Anna / Anne / Ann / Anni,Ann,Reigi,1,1
Anna / Anne / Ann / Anni,Ann,Ridala,5,3
Anna / Anne / Ann / Anni,Ann,Räpina,1,1
Anna / Anne / Ann / Anni,Ann,Rõngu,1,1
Anna / Anne / Ann / Anni,Ann,Rõuge,4,4
Anna / Anne / Ann / Anni,Ann,Saarde,1,1
Anna / Anne / Ann / Anni,Ann,Sangaste,5,4
Anna / Anne / Ann / Anni,Ann,Setumaa,15,9
Anna / Anne / Ann / Anni,Ann,Suure-Jaani,10,5
Anna / Anne / Ann / Anni,Ann,Tarvastu,23,6
Anna / Anne / Ann / Anni,Ann,Tori,7,4
Anna / Anne / Ann / Anni,Ann,Torma,2,2
Anna / Anne / Ann / Anni,Ann,Türi,2,2
Anna / Anne / Ann / Anni,Ann,Urvaste,12,7
Anna / Anne / Ann / Anni,Ann,Vaivara,1,1
Anna / Anne / Ann / Anni,Ann,Varbla,11,5
Anna / Anne / Ann / Anni,Ann,Vigala,24,8
Anna / Anne / Ann / Anni,Ann,Viljandi,9,5
Anna / Anne / Ann / Anni,Ann,Viru-Jaagupi,6,1
