person_cluster,variant,broad_region,mentions,poems,variant_total,group_region_total,share_of_variant_in_region,share_within_group_region
Anna / Anne / Ann / Anni,Ann,East Karelia/Veps/Tver,10,3,471,183,0.021231422505307854,0.0546448087431694
Anna / Anne / Ann / Anni,Ann,Estonia core/west,398,195,471,1472,0.8450106157112527,0.2703804347826087
Anna / Anne / Ann / Anni,Ann,Finland/Savo-Karelia,1,1,471,263,0.0021231422505307855,0.0038022813688212928
Anna / Anne / Ann / Anni,Ann,Ingria,5,2,471,178,0.010615711252653927,0.028089887640449437
Anna / Anne / Ann / Anni,Ann,Other/unclear,15,7,471,44,0.03184713375796178,0.3409090909090909
Anna / Anne / Ann / Anni,Ann,South Estonia/Seto,42,23,471,123,0.08917197452229299,0.34146341463414637
Anna / Anne / Ann / Anni,Anna,East Karelia/Veps/Tver,6,5,81,183,0.07407407407407407,0.03278688524590164
Anna / Anne / Ann / Anni,Anna,Estonia core/west,29,21,81,1472,0.35802469135802467,0.01970108695652174
Anna / Anne / Ann / Anni,Anna,Finland/Savo-Karelia,42,41,81,263,0.5185185185185185,0.1596958174904943
Anna / Anne / Ann / Anni,Anna,Ingria,2,2,81,178,0.024691358024691357,0.011235955056179775
Anna / Anne / Ann / Anni,Anna,South Estonia/Seto,2,2,81,123,0.024691358024691357,0.016260162601626018
Anna / Anne / Ann / Anni,Anne,Estonia core/west,970,584,1063,1472,0.9125117591721543,0.6589673913043478
Anna / Anne / Ann / Anni,Anne,Finland/Savo-Karelia,2,2,1063,263,0.0018814675446848542,0.0076045627376425855
Anna / Anne / Ann / Anni,Anne,Other/unclear,25,16,1063,44,0.023518344308560677,0.5681818181818182
Anna / Anne / Ann / Anni,Anne,South Estonia/Seto,66,49,1063,123,0.062088428974600186,0.5365853658536586
Anna / Anne / Ann / Anni,Anni,East Karelia/Veps/Tver,161,79,571,183,0.2819614711033275,0.8797814207650273
Anna / Anne / Ann / Anni,Anni,Estonia core/west,26,17,571,1472,0.04553415061295972,0.017663043478260868
Anna / Anne / Ann / Anni,Anni,Finland/Savo-Karelia,216,156,571,263,0.37828371278458844,0.8212927756653993
Anna / Anne / Ann / Anni,Anni,Ingria,161,79,571,178,0.2819614711033275,0.9044943820224719
Anna / Anne / Ann / Anni,Anni,Other/unclear,3,2,571,44,0.005253940455341506,0.06818181818181818
Anna / Anne / Ann / Anni,Anni,South Estonia/Seto,4,1,571,123,0.0070052539404553416,0.032520325203252036
Anna / Anne / Ann / Anni,Anu,East Karelia/Veps/Tver,4,4,47,183,0.0851063829787234,0.02185792349726776
Anna / Anne / Ann / Anni,Anu,Estonia core/west,30,19,47,1472,0.6382978723404256,0.020380434782608696
Anna / Anne / Ann / Anni,Anu,Ingria,9,6,47,178,0.19148936170212766,0.05056179775280899
Anna / Anne / Ann / Anni,Anu,Other/unclear,1,1,47,44,0.02127659574468085,0.022727272727272728
Anna / Anne / Ann / Anni,Anu,South Estonia/Seto,3,2,47,123,0.06382978723404255,0.024390243902439025
Anna / Anne / Ann / Anni,Other Anna-family,East Karelia/Veps/Tver,2,1,30,183,0.06666666666666667,0.01092896174863388
Anna / Anne / Ann / Anni,Other Anna-family,Estonia core/west,19,15,30,1472,0.6333333333333333,0.012907608695652174
Anna / Anne / Ann / Anni,Other Anna-family,Finland/Savo-Karelia,2,2,30,263,0.06666666666666667,0.0076045627376425855
Anna / Anne / Ann / Anni,Other Anna-family,Ingria,1,1,30,178,0.03333333333333333,0.0056179775280898875
Anna / Anne / Ann / Anni,Other Anna-family,South Estonia/Seto,6,4,30,123,0.2,0.04878048780487805
Catherine / Kadri / Katri,Kadri,East Karelia/Veps/Tver,3,2,1243,52,0.002413515687851971,0.057692307692307696
Catherine / Kadri / Katri,Kadri,Estonia core/west,1005,251,1243,1332,0.8085277554304103,0.7545045045045045
Catherine / Kadri / Katri,Kadri,Ingria,2,1,1243,271,0.0016090104585679806,0.007380073800738007
Catherine / Kadri / Katri,Kadri,Other/unclear,28,10,1243,33,0.02252614641995173,0.8484848484848485
Catherine / Kadri / Katri,Kadri,South Estonia/Seto,205,24,1243,240,0.16492357200321803,0.8541666666666666
Catherine / Kadri / Katri,Kaisa,East Karelia/Veps/Tver,18,14,249,52,0.07228915662650602,0.34615384615384615
Catherine / Kadri / Katri,Kaisa,Estonia core/west,1,1,249,1332,0.004016064257028112,0.0007507507507507507
Catherine / Kadri / Katri,Kaisa,Finland/Savo-Karelia,171,120,249,241,0.6867469879518072,0.7095435684647303
Catherine / Kadri / Katri,Kaisa,Ingria,56,12,249,271,0.2248995983935743,0.2066420664206642
Catherine / Kadri / Katri,Kaisa,Other/unclear,3,2,249,33,0.012048192771084338,0.09090909090909091
Catherine / Kadri / Katri,Katariina/Katriina,East Karelia/Veps/Tver,5,4,58,52,0.08620689655172414,0.09615384615384616
Catherine / Kadri / Katri,Katariina/Katriina,Estonia core/west,5,5,58,1332,0.08620689655172414,0.0037537537537537537
Catherine / Kadri / Katri,Katariina/Katriina,Finland/Savo-Karelia,17,16,58,241,0.29310344827586204,0.07053941908713693
Catherine / Kadri / Katri,Katariina/Katriina,Ingria,29,26,58,271,0.5,0.1070110701107011
Catherine / Kadri / Katri,Katariina/Katriina,South Estonia/Seto,2,1,58,240,0.034482758620689655,0.008333333333333333
Catherine / Kadri / Katri,Kati,East Karelia/Veps/Tver,1,1,104,52,0.009615384615384616,0.019230769230769232
Catherine / Kadri / Katri,Kati,Estonia core/west,2,2,104,1332,0.019230769230769232,0.0015015015015015015
Catherine / Kadri / Katri,Kati,Finland/Savo-Karelia,8,8,104,241,0.07692307692307693,0.03319502074688797
Catherine / Kadri / Katri,Kati,Ingria,87,38,104,271,0.8365384615384616,0.3210332103321033
Catherine / Kadri / Katri,Kati,Other/unclear,2,2,104,33,0.019230769230769232,0.06060606060606061
Catherine / Kadri / Katri,Kati,South Estonia/Seto,4,4,104,240,0.038461538461538464,0.016666666666666666
Catherine / Kadri / Katri,Katri,East Karelia/Veps/Tver,21,12,462,52,0.045454545454545456,0.40384615384615385
Catherine / Kadri / Katri,Katri,Estonia core/west,284,15,462,1332,0.6147186147186147,0.2132132132132132
Catherine / Kadri / Katri,Katri,Finland/Savo-Karelia,40,19,462,241,0.08658008658008658,0.16597510373443983
Catherine / Kadri / Katri,Katri,Ingria,93,44,462,271,0.2012987012987013,0.34317343173431736
Catherine / Kadri / Katri,Katri,South Estonia/Seto,24,10,462,240,0.05194805194805195,0.1
Catherine / Kadri / Katri,Other Catherine-family,East Karelia/Veps/Tver,4,3,53,52,0.07547169811320754,0.07692307692307693
Catherine / Kadri / Katri,Other Catherine-family,Estonia core/west,35,17,53,1332,0.660377358490566,0.026276276276276277
Catherine / Kadri / Katri,Other Catherine-family,Finland/Savo-Karelia,5,5,53,241,0.09433962264150944,0.02074688796680498
Catherine / Kadri / Katri,Other Catherine-family,Ingria,4,4,53,271,0.07547169811320754,0.014760147601476014
Catherine / Kadri / Katri,Other Catherine-family,South Estonia/Seto,5,3,53,240,0.09433962264150944,0.020833333333333332
Jesus / Christ,Christ/Kristus,East Karelia/Veps/Tver,55,37,221,462,0.248868778280543,0.11904761904761904
Jesus / Christ,Christ/Kristus,Estonia core/west,41,35,221,296,0.18552036199095023,0.13851351351351351
Jesus / Christ,Christ/Kristus,Finland/Savo-Karelia,88,73,221,906,0.39819004524886875,0.09713024282560706
Jesus / Christ,Christ/Kristus,Ingria,25,17,221,374,0.11312217194570136,0.06684491978609626
Jesus / Christ,Christ/Kristus,Other/unclear,5,5,221,29,0.02262443438914027,0.1724137931034483
Jesus / Christ,Christ/Kristus,South Estonia/Seto,7,5,221,168,0.03167420814479638,0.041666666666666664
Jesus / Christ,Jeesus,East Karelia/Veps/Tver,343,167,1748,462,0.19622425629290619,0.7424242424242424
Jesus / Christ,Jeesus,Estonia core/west,248,144,1748,296,0.14187643020594964,0.8378378378378378
Jesus / Christ,Jeesus,Finland/Savo-Karelia,677,525,1748,906,0.38729977116704806,0.7472406181015453
Jesus / Christ,Jeesus,Ingria,296,171,1748,374,0.16933638443935928,0.7914438502673797
Jesus / Christ,Jeesus,Other/unclear,24,19,1748,29,0.013729977116704805,0.8275862068965517
Jesus / Christ,Jeesus,South Estonia/Seto,160,35,1748,168,0.09153318077803203,0.9523809523809523
Jesus / Christ,Jesus,East Karelia/Veps/Tver,64,25,265,462,0.24150943396226415,0.13852813852813853
Jesus / Christ,Jesus,Estonia core/west,7,4,265,296,0.026415094339622643,0.02364864864864865
Jesus / Christ,Jesus,Finland/Savo-Karelia,140,100,265,906,0.5283018867924528,0.1545253863134658
Jesus / Christ,Jesus,Ingria,53,30,265,374,0.2,0.14171122994652408
Jesus / Christ,Jesus,South Estonia/Seto,1,1,265,168,0.0037735849056603774,0.005952380952380952
