person_cluster,variant_collapsed,broad_region,mentions,share_within_group,share_within_variant
Mary / Maria / Maarja / Mari,Mari,Estonia core/west,1774,0.3503851471459609,0.7336641852770885
Mary / Maria / Maarja / Mari,Mari,South Estonia/Seto,348,0.06873395220225163,0.14392059553349876
Mary / Maria / Maarja / Mari,Mari,Finland/Savo-Karelia,71,0.014023306340114557,0.029363110008271298
Mary / Maria / Maarja / Mari,Mari,Ingria,123,0.024293896899071698,0.05086848635235732
Mary / Maria / Maarja / Mari,Mari,East Karelia/Veps/Tver,29,0.005727829350187636,0.011993382961124897
Mary / Maria / Maarja / Mari,Mari,Other/unclear,73,0.014418329053920601,0.030190239867659223
Mary / Maria / Maarja / Mari,Maria,Estonia core/west,98,0.01935611297649615,0.12173913043478261
Mary / Maria / Maarja / Mari,Maria,South Estonia/Seto,15,0.002962670353545329,0.018633540372670808
Mary / Maria / Maarja / Mari,Maria,Finland/Savo-Karelia,362,0.07149911119889393,0.4496894409937888
Mary / Maria / Maarja / Mari,Maria,Ingria,119,0.02350385147145961,0.14782608695652175
Mary / Maria / Maarja / Mari,Maria,East Karelia/Veps/Tver,209,0.04127987359273158,0.2596273291925466
Mary / Maria / Maarja / Mari,Maria,Other/unclear,2,0.00039502271380604387,0.002484472049689441
Mary / Maria / Maarja / Mari,Maija/Maie,Estonia core/west,4,0.0007900454276120877,0.0057306590257879654
Mary / Maria / Maarja / Mari,Maija/Maie,South Estonia/Seto,0,0.0,0.0
Mary / Maria / Maarja / Mari,Maija/Maie,Finland/Savo-Karelia,371,0.07327671341102113,0.5315186246418339
Mary / Maria / Maarja / Mari,Maija/Maie,Ingria,295,0.05826585028639147,0.42263610315186245
Mary / Maria / Maarja / Mari,Maija/Maie,East Karelia/Veps/Tver,28,0.005530317993284614,0.04011461318051576
Mary / Maria / Maarja / Mari,Maija/Maie,Other/unclear,0,0.0,0.0
Mary / Maria / Maarja / Mari,Maarja,Estonia core/west,355,0.07011653170057278,0.693359375
Mary / Maria / Maarja / Mari,Maarja,South Estonia/Seto,139,0.02745407860952005,0.271484375
Mary / Maria / Maarja / Mari,Maarja,Finland/Savo-Karelia,7,0.0013825794983211535,0.013671875
Mary / Maria / Maarja / Mari,Maarja,Ingria,5,0.0009875567845151097,0.009765625
Mary / Maria / Maarja / Mari,Maarja,East Karelia/Veps/Tver,0,0.0,0.0
Mary / Maria / Maarja / Mari,Maarja,Other/unclear,6,0.0011850681414181316,0.01171875
Mary / Maria / Maarja / Mari,Maaria,Estonia core/west,23,0.0045427612087695045,0.04904051172707889
Mary / Maria / Maarja / Mari,Maaria,South Estonia/Seto,0,0.0,0.0
Mary / Maria / Maarja / Mari,Maaria,Finland/Savo-Karelia,203,0.04009480545131345,0.43283582089552236
Mary / Maria / Maarja / Mari,Maaria,Ingria,137,0.027059055895714005,0.2921108742004264
Mary / Maria / Maarja / Mari,Maaria,East Karelia/Veps/Tver,102,0.020146158404108237,0.21748400852878466
Mary / Maria / Maarja / Mari,Maaria,Other/unclear,4,0.0007900454276120877,0.008528784648187633
Mary / Maria / Maarja / Mari,Other,Estonia core/west,67,0.01323326091250247,0.4161490683229814
Mary / Maria / Maarja / Mari,Other,South Estonia/Seto,41,0.0080979656330239,0.2546583850931677
Mary / Maria / Maarja / Mari,Other,Finland/Savo-Karelia,17,0.003357693067351373,0.10559006211180125
Mary / Maria / Maarja / Mari,Other,Ingria,30,0.005925340707090658,0.18633540372670807
Mary / Maria / Maarja / Mari,Other,East Karelia/Veps/Tver,4,0.0007900454276120877,0.024844720496894408
Mary / Maria / Maarja / Mari,Other,Other/unclear,2,0.00039502271380604387,0.012422360248447204
Jesus / Christ,Jeesus,Estonia core/west,248,0.11096196868008948,0.14187643020594964
Jesus / Christ,Jeesus,South Estonia/Seto,160,0.07158836689038031,0.09153318077803203
Jesus / Christ,Jeesus,Finland/Savo-Karelia,677,0.3029082774049217,0.38729977116704806
Jesus / Christ,Jeesus,Ingria,296,0.13243847874720358,0.16933638443935928
Jesus / Christ,Jeesus,East Karelia/Veps/Tver,343,0.1534675615212528,0.19622425629290619
Jesus / Christ,Jeesus,Other/unclear,24,0.010738255033557046,0.013729977116704805
Jesus / Christ,Jesus,Estonia core/west,7,0.003131991051454139,0.026415094339622643
Jesus / Christ,Jesus,South Estonia/Seto,1,0.00044742729306487697,0.0037735849056603774
Jesus / Christ,Jesus,Finland/Savo-Karelia,140,0.06263982102908278,0.5283018867924528
Jesus / Christ,Jesus,Ingria,53,0.02371364653243848,0.2
Jesus / Christ,Jesus,East Karelia/Veps/Tver,64,0.028635346756152126,0.24150943396226415
Jesus / Christ,Jesus,Other/unclear,0,0.0,0.0
Jesus / Christ,Christ/Kristus,Estonia core/west,41,0.018344519015659956,0.18552036199095023
Jesus / Christ,Christ/Kristus,South Estonia/Seto,7,0.003131991051454139,0.03167420814479638
Jesus / Christ,Christ/Kristus,Finland/Savo-Karelia,88,0.039373601789709174,0.39819004524886875
Jesus / Christ,Christ/Kristus,Ingria,25,0.011185682326621925,0.11312217194570136
Jesus / Christ,Christ/Kristus,East Karelia/Veps/Tver,55,0.024608501118568233,0.248868778280543
Jesus / Christ,Christ/Kristus,Other/unclear,5,0.0022371364653243847,0.02262443438914027
Jesus / Christ,Other,Estonia core/west,0,0.0,0.0
