person_cluster,variant,Estonia core/west,South Estonia/Seto,Finland/Savo-Karelia,Ingria,East Karelia/Veps/Tver,Other/unclear
Anna / Anne / Ann / Anni,Ann,398,42,1,5,10,15
Anna / Anne / Ann / Anni,Anna,29,2,42,2,6,0
Anna / Anne / Ann / Anni,Anne,970,66,2,0,0,25
Anna / Anne / Ann / Anni,Anni,26,4,216,161,161,3
Anna / Anne / Ann / Anni,Anu,30,3,0,9,4,1
Anna / Anne / Ann / Anni,Other Anna-family,19,6,2,1,2,0
Catherine / Kadri / Katri,Kadri,1005,205,0,2,3,28
Catherine / Kadri / Katri,Kaisa,1,0,171,56,18,3
Catherine / Kadri / Katri,Katariina/Katriina,5,2,17,29,5,0
Catherine / Kadri / Katri,Kati,2,4,8,87,1,2
Catherine / Kadri / Katri,Katri,284,24,40,93,21,0
Catherine / Kadri / Katri,Other Catherine-family,35,5,5,4,4,0
Jesus / Christ,Christ/Kristus,41,7,88,25,55,5
Jesus / Christ,Jeesus,248,160,677,296,343,24
Jesus / Christ,Jesus,7,1,140,53,64,0
Jesus / Christ,Other Jesus-family,0,0,1,0,0,0
John / Jaan / Jussi / Hans,Ants,219,15,0,0,0,5
John / Jaan / Jussi / Hans,Hans,427,5,2,6,0,34
John / Jaan / Jussi / Hans,Iivana,0,0,6,15,5,0
John / Jaan / Jussi / Hans,Jaan,951,65,2,0,1,37
John / Jaan / Jussi / Hans,Johannes,5,2,14,1,1,0
John / Jaan / Jussi / Hans,Juhan,74,10,0,0,0,2
John / Jaan / Jussi / Hans,Juhani/Juhana/Juho,4,0,31,10,3,0
John / Jaan / Jussi / Hans,Jussi/Juss,22,1,565,21,26,3
John / Jaan / Jussi / Hans,Other John-family,19,0,10,4,0,1
Martin / Mart / Märt,Mard/Mardi,664,5,0,0,0,16
Martin / Mart / Märt,Mart/Martin,1070,0,3,0,1,19
Martin / Mart / Märt,Martti,0,0,39,13,1,0
Martin / Mart / Märt,Märt,1303,115,0,0,0,11
Martin / Mart / Märt,Märti,206,4,0,0,0,14
Martin / Mart / Märt,Other Martin-family,14,4,1,0,0,0
Mary / Maria / Maarja / Mari,Maari,22,0,2,3,0,0
Mary / Maria / Maarja / Mari,Maaria,23,0,203,137,102,4
Mary / Maria / Maarja / Mari,Maarja,355,139,7,5,0,6
Mary / Maria / Maarja / Mari,Maija/Maie,4,0,371,295,28,0
Mary / Maria / Maarja / Mari,Mari,1774,348,71,123,29,73
Mary / Maria / Maarja / Mari,Maria,98,15,362,119,209,2
Mary / Maria / Maarja / Mari,Marja,19,31,8,22,2,0
Mary / Maria / Maarja / Mari,Other Mary-family,26,10,7,5,2,2
Peter / Pietari / Peeter,Other Peter-family,4,8,4,3,2,2
Peter / Pietari / Peeter,Peeter,406,54,0,0,0,16
Peter / Pietari / Peeter,Peetrus,27,2,0,0,1,0
Peter / Pietari / Peeter,Pekka,0,0,332,9,30,4
Peter / Pietari / Peeter,Petteri/Petri,0,1,30,40,40,1
Peter / Pietari / Peeter,Pietari,4,5,445,138,183,4
