person_cluster,variant,mentions,share_within_group,poems,counties,top_regions,top_counties,top_standard_lemmas,top_local_lemmas
Mary / Maria / Maarja / Mari,Mari,2418,0.47758246099150703,1412,25,Estonia core/west: 1774 (73.4%); South Estonia/Seto: 348 (14.4%); Ingria: 123 (5.1%); Other/unclear: 73 (3.0%); Finland/Savo-Karelia: 71 (2.9%); East Karelia/Veps/Tver: 29 (1.2%),Virumaa (372); Viljandimaa (339); Tartumaa (287); Harjumaa (249); Pärnumaa (229); Setumaa (177); Võrumaa (168); Läänemaa (140),Mari (1256); mari (1125); Marike (8); Marija (8); marikene (3); Marijale (3); marike (2); Marie (2); Marin (2); marita (2),Mari (1078); mari (835); marja (153); mara (31); Maie (28); marä (14); marakõnõ (13); Marike (12); Marikene (11); marju (10)
Mary / Maria / Maarja / Mari,Maria,805,0.15899664230693264,614,31,Finland/Savo-Karelia: 362 (45.0%); East Karelia/Veps/Tver: 209 (26.0%); Ingria: 119 (14.8%); Estonia core/west: 98 (12.2%); South Estonia/Seto: 15 (1.9%); Other/unclear: 2 (0.2%),Laatokan Karjala (Raja-Karjala) (148); Pohjois-Karjala (68); Etelä-Savo (62); Länsi-Inkeri (61); Pohjois-Savo (47); Häme (47); Viena (37); Keski-Inkeri (35),Maria (772); Marian (15); maria (5); Marialta (3); Mariatta (3); Marianen (2); Mariasta (1); Maria/muori (1); Maria (loan) (1); Maria+n (1),Maria (379); Maaria (120); maria (38); Moaria (29); Muaria (18); Maarja (15); maaria (13); Marian (9); muarie (9); maarian (9)
Mary / Maria / Maarja / Mari,Maija/Maie,698,0.1378629271183093,439,22,Finland/Savo-Karelia: 371 (53.2%); Ingria: 295 (42.3%); East Karelia/Veps/Tver: 28 (4.0%); Estonia core/west: 4 (0.6%),Länsi-Inkeri (238); Häme (63); Varsinais-Suomi (57); Satakunta (42); Keski-Inkeri (37); Peräpohjola (37); Etelä-Pohjanmaa (31); Etelä-Savo (26),Maija (582); maija (98); Maie (4); Maijan (3); maijan (3); Maijaa (2); (name) Maija (2); Maija (prop.) (1); maijaa (1); Maija (diminutive) (1),Maija (408); maija (117); Maie (51); Maije (35); maijon (13); maijoi (13); maijaa (5); maijen (4); maijas (4); maijan (3)
Mary / Maria / Maarja / Mari,Maarja,512,0.10112581473434723,286,16,Estonia core/west: 355 (69.3%); South Estonia/Seto: 139 (27.1%); Finland/Savo-Karelia: 7 (1.4%); Other/unclear: 6 (1.2%); Ingria: 5 (1.0%),Pärnumaa (108); Viljandimaa (99); Setumaa (81); Võrumaa (57); Tartumaa (48); Virumaa (44); Harjumaa (20); Läänemaa (18),Maarja (502); Maarjale (5); maarja (2); Maarjat (1); maarjas (1); Maarjatta (1),Maarja (290); maarja (64); Maari (44); maari (23); Maarija (15); maarinna (8); maarjat (7); marijat (5); Maaria (4); maarijat (3)
Mary / Maria / Maarja / Mari,Maaria,469,0.09263282638751728,342,25,Finland/Savo-Karelia: 203 (43.3%); Ingria: 137 (29.2%); East Karelia/Veps/Tver: 102 (21.7%); Estonia core/west: 23 (4.9%); Other/unclear: 4 (0.9%),Länsi-Inkeri (85); Laatokan Karjala (Raja-Karjala) (65); Pohjois-Karjala (57); Häme (38); Keski-Inkeri (33); Aunus (30); Kainuu (20); Itä- ja Pohjois-Inkeri (19),Maaria (441); maaria (13); maarian (3); Maarian (3); Maarija (2); maariainen (2); Maaria & -ine (2); Maariaan (1); Maariana (1); Maaria+n (1),Maaria (361); maaria (20); Maariainen (14); maariainen (8); Maarian (6); Maari (4); Maarii (4); Maariaine (3); maariani (2); Moarijja (2)
Mary / Maria / Maarja / Mari,Marja,82,0.0161959312660478,57,20,South Estonia/Seto: 31 (37.8%); Ingria: 22 (26.8%); Estonia core/west: 19 (23.2%); Finland/Savo-Karelia: 8 (9.8%); East Karelia/Veps/Tver: 2 (2.4%),Setumaa (17); Võrumaa (14); Keski-Inkeri (11); Länsi-Inkeri (10); Virumaa (6); Pärnumaa (4); Viljandimaa (3); Etelä-Pohjanmaa (3),Marja (17); marja (13); marjake (13); marjakene (11); Marja/Mari (6); marjad (5); Marjatta (4); marjale (3); marjane (2); marjana (2),marja (12); Marja (11); Marini (6); marakõnõ (4); marjakene (4); maräkõnõ (3); marjake (3); marjan (3); morolõ (2); marah (2)
Mary / Maria / Maarja / Mari,Other Mary-family,52,0.01027059055895714,35,21,Estonia core/west: 26 (50.0%); South Estonia/Seto: 10 (19.2%); Finland/Savo-Karelia: 7 (13.5%); Ingria: 5 (9.6%); East Karelia/Veps/Tver: 2 (3.8%); Other/unclear: 2 (3.8%),Viljandimaa (8); Võrumaa (7); Tartumaa (4); Länsi-Inkeri (4); Läänemaa (3); Virumaa (3); Setumaa (3); Saaremaa (3),marjuke (12); marj (3); marjukene (2); Mai (2); Maali (2); maru (dialect) (2); (proper noun) (2); marra (1); marjul (1); marakene (1),marju+ke (8); mari (6); marjuke (5); maija (4); Maija (3); Maie (2); marj (2); Mari (2); Maari (2); marukas (2)
Mary / Maria / Maarja / Mari,Maari,27,0.005332806636381592,11,7,Estonia core/west: 22 (81.5%); Ingria: 3 (11.1%); Finland/Savo-Karelia: 2 (7.4%),Pärnumaa (17); Länsi-Inkeri (3); Läänemaa (2); Viljandimaa (2); Etelä-Savo (1); Pohjois-Karjala (1); Virumaa (1),Maari (27),Maari (24); maareni (3)
Jesus / Christ,Jeesus,1748,0.7821029082774049,1056,33,Finland/Savo-Karelia: 677 (38.7%); East Karelia/Veps/Tver: 343 (19.6%); Ingria: 296 (16.9%); Estonia core/west: 248 (14.2%); South Estonia/Seto: 160 (9.2%); Other/unclear: 24 (1.4%),Laatokan Karjala (Raja-Karjala) (292); Pohjois-Karjala (171); Keski-Inkeri (109); Häme (104); Itä- ja Pohjois-Inkeri (96); Võrumaa (96); Länsi-Inkeri (91); Etelä-Savo (73),Jeesus (1712); Jeesuksen (16); Jeesukene (4); Jeesuse (4); Jeesusesse (2); Jeesu (2); Iesus (1); Jeesu_kene (1); Eesus (1); jeesus (1),Jeesus (967); Jiesus (155); Jesus (71); Iesus (58); jeesus (40); Kiesus (39); Jeesu (38); jiesus (29); Jessus (25); Iessus (21)
Jesus / Christ,Jesus,265,0.1185682326621924,159,22,Finland/Savo-Karelia: 140 (52.8%); East Karelia/Veps/Tver: 64 (24.2%); Ingria: 53 (20.0%); Estonia core/west: 7 (2.6%); South Estonia/Seto: 1 (0.4%),Laatokan Karjala (Raja-Karjala) (61); Häme (39); Pohjois-Karjala (37); Länsi-Inkeri (23); Itä- ja Pohjois-Inkeri (20); Etelä-Savo (16); Satakunta (12); Keski-Inkeri (10),Jesus (264); jesus (1),Jesus (255); jesus (6); Jeesus (1); Jesus-en (1); Jesuksen (1); Jesus+ta (1)
