person_cluster,variant_by_standard_lemma,broad_region,mentions,share_within_group,share_within_variant
Mary / Maria / Maarja / Mari,Mari,Estonia core/west,893,0.17637764171439857,0.7109872611464968
Mary / Maria / Maarja / Mari,Mari,South Estonia/Seto,109,0.02152873790242939,0.08678343949044585
Mary / Maria / Maarja / Mari,Mari,Finland/Savo-Karelia,69,0.013628283626308513,0.05493630573248408
Mary / Maria / Maarja / Mari,Mari,Ingria,118,0.023306340114556588,0.09394904458598727
Mary / Maria / Maarja / Mari,Mari,East Karelia/Veps/Tver,29,0.005727829350187636,0.02308917197452229
Mary / Maria / Maarja / Mari,Mari,Other/unclear,38,0.0075054315623148335,0.030254777070063694
Mary / Maria / Maarja / Mari,Maria,Estonia core/west,94,0.018566067548884062,0.12176165803108809
Mary / Maria / Maarja / Mari,Maria,South Estonia/Seto,14,0.002765158996642307,0.018134715025906734
Mary / Maria / Maarja / Mari,Maria,Finland/Savo-Karelia,352,0.06952399762986372,0.45595854922279794
Mary / Maria / Maarja / Mari,Maria,Ingria,114,0.0225162946869445,0.14766839378238342
Mary / Maria / Maarja / Mari,Maria,East Karelia/Veps/Tver,196,0.0387122259529923,0.2538860103626943
Mary / Maria / Maarja / Mari,Maria,Other/unclear,2,0.00039502271380604387,0.0025906735751295338
Mary / Maria / Maarja / Mari,Maija/Maie,Estonia core/west,4,0.0007900454276120877,0.006825938566552901
Mary / Maria / Maarja / Mari,Maija/Maie,South Estonia/Seto,0,0.0,0.0
Mary / Maria / Maarja / Mari,Maija/Maie,Finland/Savo-Karelia,324,0.0639936796365791,0.552901023890785
Mary / Maria / Maarja / Mari,Maija/Maie,Ingria,246,0.048587793798143396,0.4197952218430034
Mary / Maria / Maarja / Mari,Maija/Maie,East Karelia/Veps/Tver,12,0.002370136282836263,0.020477815699658702
Mary / Maria / Maarja / Mari,Maija/Maie,Other/unclear,0,0.0,0.0
Mary / Maria / Maarja / Mari,Maarja,Estonia core/west,352,0.06952399762986372,0.701195219123506
Mary / Maria / Maarja / Mari,Maarja,South Estonia/Seto,133,0.026269010468101917,0.2649402390438247
Mary / Maria / Maarja / Mari,Maarja,Finland/Savo-Karelia,7,0.0013825794983211535,0.013944223107569721
Mary / Maria / Maarja / Mari,Maarja,Ingria,4,0.0007900454276120877,0.00796812749003984
Mary / Maria / Maarja / Mari,Maarja,East Karelia/Veps/Tver,0,0.0,0.0
Mary / Maria / Maarja / Mari,Maarja,Other/unclear,6,0.0011850681414181316,0.01195219123505976
Mary / Maria / Maarja / Mari,Maaria,Estonia core/west,23,0.0045427612087695045,0.05215419501133787
Mary / Maria / Maarja / Mari,Maaria,South Estonia/Seto,0,0.0,0.0
Mary / Maria / Maarja / Mari,Maaria,Finland/Savo-Karelia,183,0.03614457831325301,0.41496598639455784
Mary / Maria / Maarja / Mari,Maaria,Ingria,132,0.026071499111198895,0.29931972789115646
Mary / Maria / Maarja / Mari,Maaria,East Karelia/Veps/Tver,99,0.01955362433339917,0.22448979591836735
Mary / Maria / Maarja / Mari,Maaria,Other/unclear,4,0.0007900454276120877,0.009070294784580499
Mary / Maria / Maarja / Mari,Other,Estonia core/west,955,0.18862334584238594,0.6341301460823373
Mary / Maria / Maarja / Mari,Other,South Estonia/Seto,287,0.05668575943116729,0.19057104913678619
Mary / Maria / Maarja / Mari,Other,Finland/Savo-Karelia,96,0.018961090262690106,0.06374501992031872
Mary / Maria / Maarja / Mari,Other,Ingria,95,0.018763578905787084,0.06308100929614874
Mary / Maria / Maarja / Mari,Other,East Karelia/Veps/Tver,36,0.00711040884850879,0.02390438247011952
Mary / Maria / Maarja / Mari,Other,Other/unclear,37,0.0073079202054118116,0.024568393094289508
Jesus / Christ,Jeesus,Estonia core/west,235,0.10514541387024609,0.13726635514018692
Jesus / Christ,Jeesus,South Estonia/Seto,157,0.07024608501118568,0.09170560747663552
Jesus / Christ,Jeesus,Finland/Savo-Karelia,665,0.2975391498881432,0.38843457943925236
Jesus / Christ,Jeesus,Ingria,291,0.13020134228187918,0.1699766355140187
Jesus / Christ,Jeesus,East Karelia/Veps/Tver,340,0.15212527964205816,0.1985981308411215
Jesus / Christ,Jeesus,Other/unclear,24,0.010738255033557046,0.014018691588785047
Jesus / Christ,Jesus,Estonia core/west,7,0.003131991051454139,0.026515151515151516
Jesus / Christ,Jesus,South Estonia/Seto,1,0.00044742729306487697,0.003787878787878788
Jesus / Christ,Jesus,Finland/Savo-Karelia,139,0.0621923937360179,0.5265151515151515
Jesus / Christ,Jesus,Ingria,53,0.02371364653243848,0.20075757575757575
Jesus / Christ,Jesus,East Karelia/Veps/Tver,64,0.028635346756152126,0.24242424242424243
Jesus / Christ,Jesus,Other/unclear,0,0.0,0.0
Jesus / Christ,Christ/Kristus,Estonia core/west,40,0.017897091722595078,0.1951219512195122
Jesus / Christ,Christ/Kristus,South Estonia/Seto,7,0.003131991051454139,0.03414634146341464
Jesus / Christ,Christ/Kristus,Finland/Savo-Karelia,84,0.03758389261744966,0.4097560975609756
Jesus / Christ,Christ/Kristus,Ingria,24,0.010738255033557046,0.11707317073170732
Jesus / Christ,Christ/Kristus,East Karelia/Veps/Tver,45,0.020134228187919462,0.21951219512195122
Jesus / Christ,Christ/Kristus,Other/unclear,5,0.0022371364653243847,0.024390243902439025
