person_cluster,variant_by_standard_lemma,Estonia core/west,South Estonia/Seto,Finland/Savo-Karelia,Ingria,East Karelia/Veps/Tver,Other/unclear
Anna / Anne / Ann / Anni,Ann,385,39,0,3,1,15
Anna / Anne / Ann / Anni,Anna,21,1,40,2,4,0
Anna / Anne / Ann / Anni,Anne,663,27,0,0,0,18
Anna / Anne / Ann / Anni,Anni,12,4,199,156,137,3
Anna / Anne / Ann / Anni,Anu,25,0,0,7,4,1
Anna / Anne / Ann / Anni,Other,366,52,24,10,37,7
Catherine / Kadri / Katri,Kadri,771,95,0,0,0,27
Catherine / Kadri / Katri,Kaisa,1,0,141,56,18,3
Catherine / Kadri / Katri,Katariina/Katriina,5,2,17,25,5,0
Catherine / Kadri / Katri,Kati,2,4,4,87,0,2
Catherine / Kadri / Katri,Katri,200,22,40,90,20,0
Catherine / Kadri / Katri,Other,353,117,39,13,9,1
Jesus / Christ,Christ/Kristus,40,7,84,24,45,5
Jesus / Christ,Jeesus,235,157,665,291,340,24
Jesus / Christ,Jesus,7,1,139,53,64,0
Jesus / Christ,Other,14,3,18,6,13,0
John / Jaan / Jussi / Hans,Ants,219,15,0,0,0,5
John / Jaan / Jussi / Hans,Hans,414,5,2,0,0,33
John / Jaan / Jussi / Hans,Iivana,0,0,6,15,5,0
John / Jaan / Jussi / Hans,Jaan,775,58,0,0,0,35
John / Jaan / Jussi / Hans,Jussi/Juss,20,1,563,20,26,2
John / Jaan / Jussi / Hans,Other,293,19,59,22,5,7
Martin / Mart / Märt,Mard/Mardi,214,3,0,0,0,0
Martin / Mart / Märt,Mart/Martin,529,0,3,0,1,12
Martin / Mart / Märt,Martti,0,0,39,13,1,0
Martin / Mart / Märt,Märt,794,100,0,0,0,9
Martin / Mart / Märt,Märti,138,0,0,0,0,0
Martin / Mart / Märt,Other,1582,25,1,0,0,39
Mary / Maria / Maarja / Mari,Maaria,23,0,183,132,99,4
Mary / Maria / Maarja / Mari,Maarja,352,133,7,4,0,6
Mary / Maria / Maarja / Mari,Maija/Maie,4,0,324,246,12,0
Mary / Maria / Maarja / Mari,Mari,893,109,69,118,29,38
Mary / Maria / Maarja / Mari,Maria,94,14,352,114,196,2
Mary / Maria / Maarja / Mari,Other,955,287,96,95,36,37
Peter / Pietari / Peeter,Other,39,16,19,11,5,3
Peter / Pietari / Peeter,Peeter,401,54,0,0,0,15
Peter / Pietari / Peeter,Pekka,0,0,324,9,29,4
Peter / Pietari / Peeter,Petteri/Petri,0,0,27,39,40,1
Peter / Pietari / Peeter,Pietari,1,0,441,131,182,4
