person_cluster,variant_by_standard_lemma,standard_lemma_tokens_included,mentions,share_within_group,poems,counties,top_regions,top_counties,standard_lemma_counts,local_lemma_counts
Mary / Maria / Maarja / Mari,Mari,Mari,1256,0.24807426427019555,655,24,Estonia core/west: 893 (71.1%); Ingria: 118 (9.4%); South Estonia/Seto: 109 (8.7%); Finland/Savo-Karelia: 69 (5.5%); Other/unclear: 38 (3.0%); East Karelia/Veps/Tver: 29 (2.3%),Viljandimaa (206); Tartumaa (144); Virumaa (132); Pärnumaa (119); Harjumaa (114); Läänemaa (86); Võrumaa (66); Järvamaa (56),Mari (1256),Mari (1077); mari (72); Maie (28); Marike (10); Mare (6); Marikene (5); Maari (5); Marri (4); maie (4); Marid (3); Marida (3); marilt (3)
Mary / Maria / Maarja / Mari,Maria,Maria,772,0.15247876752913292,592,31,Finland/Savo-Karelia: 352 (45.6%); East Karelia/Veps/Tver: 196 (25.4%); Ingria: 114 (14.8%); Estonia core/west: 94 (12.2%); South Estonia/Seto: 14 (1.8%); Other/unclear: 2 (0.3%),Laatokan Karjala (Raja-Karjala) (138); Pohjois-Karjala (66); Etelä-Savo (58); Länsi-Inkeri (58); Häme (47); Pohjois-Savo (45); Keski-Inkeri (34); Viena (34),Maria (772),Maria (379); Maaria (118); maria (33); Moaria (29); Muaria (17); Maarja (15); maaria (13); Marja (8); muarie (8); maarian (8); Maarian (7); Moari (7)
Mary / Maria / Maarja / Mari,Maija/Maie,Maie; Maija,586,0.11574165514517085,350,21,Finland/Savo-Karelia: 324 (55.3%); Ingria: 246 (42.0%); East Karelia/Veps/Tver: 12 (2.0%); Estonia core/west: 4 (0.7%),Länsi-Inkeri (206); Häme (60); Varsinais-Suomi (57); Satakunta (42); Etelä-Pohjanmaa (31); Peräpohjola (31); Keski-Inkeri (24); Pohjois-Pohjanmaa (18),Maija (582); Maie (4),Maija (408); Maie (51); maija (48); Maije (34); maijoi (8); maijon (3); Maijoin (3); Maijal (2); Maijja (2); Maikki (2); maijan (2); Maijen (2)
Mary / Maria / Maarja / Mari,Maarja,Maarja,502,0.099150701165317,278,16,Estonia core/west: 352 (70.1%); South Estonia/Seto: 133 (26.5%); Finland/Savo-Karelia: 7 (1.4%); Other/unclear: 6 (1.2%); Ingria: 4 (0.8%),Pärnumaa (108); Viljandimaa (98); Setumaa (75); Võrumaa (57); Tartumaa (46); Virumaa (44); Harjumaa (20); Läänemaa (18),Maarja (502),Maarja (290); maarja (62); Maari (44); maari (23); Maarija (15); maarinna (8); maarjat (7); marijat (5); Maaria (4); maarijat (3); Marija (3); maarija (3)
Mary / Maria / Maarja / Mari,Maaria,Maaria,441,0.08710250839423267,327,25,Finland/Savo-Karelia: 183 (41.5%); Ingria: 132 (29.9%); East Karelia/Veps/Tver: 99 (22.4%); Estonia core/west: 23 (5.2%); Other/unclear: 4 (0.9%),Länsi-Inkeri (83); Laatokan Karjala (Raja-Karjala) (65); Pohjois-Karjala (51); Häme (38); Keski-Inkeri (33); Aunus (30); Satakunta (18); Kainuu (17),Maaria (441),Maaria (361); Maariainen (14); maaria (12); maariainen (6); Maari (4); Maarian (4); Maarii (4); Maariaine (3); maariani (2); Moarijja (2); muari (2); Moarie (2)
Mary / Maria / Maarja / Mari,Other,,1506,0.297452103495951,1030,32,Estonia core/west: 955 (63.4%); South Estonia/Seto: 287 (19.1%); Finland/Savo-Karelia: 96 (6.4%); Ingria: 95 (6.3%); Other/unclear: 37 (2.5%); East Karelia/Veps/Tver: 36 (2.4%),Virumaa (252); Setumaa (162); Tartumaa (151); Viljandimaa (147); Harjumaa (138); Pärnumaa (134); Võrumaa (123); Läänemaa (60),mari (1125); maija (98); Maari (27); Marja (17); Marian (15); marja (13); marjake (13); maaria (13); marjuke (12); marjakene (11); Marike (8); Marija (8),mari (770); marja (165); maija (73); mara (30); Maari (26); marakõnõ (17); marä (14); marjakene (13); marjakõnõ (12); Marja (12); marjad (11); marju (10)
Jesus / Christ,Jeesus,Jeesus,1712,0.7659955257270693,1029,33,Finland/Savo-Karelia: 665 (38.8%); East Karelia/Veps/Tver: 340 (19.9%); Ingria: 291 (17.0%); Estonia core/west: 235 (13.7%); South Estonia/Seto: 157 (9.2%); Other/unclear: 24 (1.4%),Laatokan Karjala (Raja-Karjala) (289); Pohjois-Karjala (165); Keski-Inkeri (108); Häme (102); Itä- ja Pohjois-Inkeri (95); Võrumaa (93); Länsi-Inkeri (88); Etelä-Savo (72),Jeesus (1712),Jeesus (967); Jiesus (154); Jesus (71); Iesus (57); jeesus (40); Kiesus (39); Jeesu (37); jiesus (29); Jessus (24); Iessus (21); Jiessus (19); jeesu (12)
Jesus / Christ,Jesus,Jesus,264,0.11812080536912752,158,22,Finland/Savo-Karelia: 139 (52.7%); East Karelia/Veps/Tver: 64 (24.2%); Ingria: 53 (20.1%); Estonia core/west: 7 (2.7%); South Estonia/Seto: 1 (0.4%),Laatokan Karjala (Raja-Karjala) (61); Häme (39); Pohjois-Karjala (36); Länsi-Inkeri (23); Itä- ja Pohjois-Inkeri (20); Etelä-Savo (16); Satakunta (12); Keski-Inkeri (10),Jesus (264),Jesus (255); jesus (5); Jeesus (1); Jesus-en (1); Jesuksen (1); Jesus+ta (1)
Jesus / Christ,Christ/Kristus,Christ; Kristus,205,0.09172259507829977,156,28,Finland/Savo-Karelia: 84 (41.0%); East Karelia/Veps/Tver: 45 (22.0%); Estonia core/west: 40 (19.5%); Ingria: 24 (11.7%); South Estonia/Seto: 7 (3.4%); Other/unclear: 5 (2.4%),Laatokan Karjala (Raja-Karjala) (30); Pohjois-Karjala (17); Tartumaa (16); Länsi-Inkeri (15); Häme (13); Varsinais-Suomi (12); Aunus (11); Etelä-Pohjanmaa (11),Kristus (205),Kristus (136); Ristus (17); kristus (10); Kristos (5); ristus (5); Krist (3); krist (2); kristos (2); Kristo (2); christux (2); Kristuse (1); Kõrstus (1)
Jesus / Christ,Other,,54,0.024161073825503355,46,19,Finland/Savo-Karelia: 18 (33.3%); Estonia core/west: 14 (25.9%); East Karelia/Veps/Tver: 13 (24.1%); Ingria: 6 (11.1%); South Estonia/Seto: 3 (5.6%),Laatokan Karjala (Raja-Karjala) (9); Pohjois-Karjala (8); Virumaa (6); Aunus (4); Häme (4); Länsi-Inkeri (4); Võrumaa (3); Järvamaa (2),Jeesuksen (16); Jeesukene (4); Jeesuse (4); hristos (3); Jeesusesse (2); Jeesu (2); kristillinen (2); Kristian (2); Iesus (1); Jeesu_kene (1); Eesus (1); jeesus (1),Jeesukse (3); hristos (3); Jeesukene (2); Jeesuse (2); jeesu (2); Hristos (2); Kristos (2); kristillinen (2); hristoa (2); jesuxen (2); Jeesuksen (2); Iesus (1)
