feature_rank_by_size,semantic_name_group,feature_mentions,feature_poems,feature_areas,feature_standard_lemma_types,top_english_variants,top_standard_lemmas
1,Mary / Maria / Maarja / Mari,3871,2373,396,192,Mary (1887); Maija/Maie (895); Mari (882); Maria/Maaria (207),Mari (1086); Maria (719); Maija (498); Maarja (452); Maaria (416); Maie (165); Mai (53); Marikene (32); Marike (25); Maari (24); Maije (20); mari (19)
2,Martin / Mart / Märt,2925,519,136,98,Martin (1119); Märt/Märti (879); Mart/Marti (582); Mardi/Mard (345),Märt (884); Mart (507); mart (353); mard (255); märt (191); Mard (163); Märti (138); marti (55); märti (51); Martti (49); Mardi (34); mardisand (27)
3,John / Jaan / Jussi / Hans,2679,1488,336,165,Jaan/Jaani (676); Jussi (629); John/St John (620); Hans (419); Ants (256); Juhan (79),Jaan (760); Jussi (582); Hans (370); Ants (234); jaan (125); jaanike (88); Juhan (72); Jaani (36); Jaanike (34); jaanikene (25); Johannes (16); jaanilill (15)
4,Catherine / Kadri / Katri,2212,775,220,95,Kadri (1187); Kaisa/Kaie (533); Katri/Katrina (340); Kati (99); Catherine/Katherine (53),Kadri (830); Katri (269); Kaie (224); Kaisa (189); kadri (158); Kati (92); kadrik (47); kadrina (44); Kai (41); Katrina (33); Katariina (30); kadrike (26)
5,Jesus / Christ,2156,1249,312,38,Jesus (1946); Christ (210),Jeesus (1622); Jesus (251); Kristus (194); Jeesuksen (16); Kiesus (11); Jeesukene (10); (proper noun) (7); Jeesuke (6); Jeesuse (4); hristos (3); Eesuke (2); Jeesusesse (2)
6,Anna / Anne / Ann / Anni,2149,1175,274,100,Anne (755); Ann (574); Anni/Annie (511); Anna (268); Anu (41),Anne (642); Anni (467); Ann (400); Anna (280); anne (48); Anu (35); anneke (24); anni (19); Annekene (18); Anneke (15); Annukene (14); Annuke (12)
7,Peter / Pietari / Peeter,1624,1125,349,89,Peter (1036); Pekka/Pekko (367); Peeter (142); Petteri/Pietari (79),Pietari (595); Peeter (405); Pekka (331); Petteri (64); Petri (30); Peetrus (29); Pekko (26); Petra (7); Pietarinpoika (7); Piiter (6); Pietarin (6); Pedri (6)
8,Väinämöinen,1241,583,131,27,Väinämöinen (1099); Väinö/Väinämö (142),Väinämöinen (1069); Väinö (109); Väinämöisen (9); väinö (8); (as above) (7); väinämöinen (5); väinä & möö (5); Väinämö (4); Wäinämöinen (3); Väinön (3); Väinämöisen seinä (2); Väinö & poika (2)
9,Ilmarinen,291,150,73,9,Ilmarinen (266); Ilmari/Ilmar (25),Ilmarinen (257); Ilmari (21); Ilmar (3); Ilmari & isä (3); (as above) (3); Ilja (1); Ilmarinen & itkeä (1); Ilmarinta (1); (prop.name) (1)
10,Lemminkäinen,290,92,34,15,Lemminkäinen (221); Lemmingäinen/Lemming (69),Lemminkäinen (215); Lemmingäinen (27); Lemming (12); sopuli (8); lemminkäinen (5); Lemminkäistä (4); lemmingäistä (3); lempi & -inen (3); Lämminkäinen (2); lemminkäistä (2); Lemminkäisen (2); (proper name) (2)
