feature_rank_by_size,semantic_name_group,english_variant,area_name,macroRegion,langLabel,langCode,county,place_name,p_id,v_id,v_pos,w_pos,word,word_normalised,local_lemma,standard_lemma,root,word_in_english
2,Martin / Mart / Märt,Mardi/Mard,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89256,1189824,1,2,mardisandid,mardisandid,mardisant,mardisant,Mardi (St. Martin's) & sant (saint),Mardi-saints
2,Martin / Mart / Märt,Mardi/Mard,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89256,1189826,3,2,mardipää,mardipääh,mardipää,mardipääh,Mardi (St. Martin's) & pää (head),Mardi-head
2,Martin / Mart / Märt,Mardi/Mard,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89256,1189827,5,2,mardisandid,mardisandid,mardisant,mardisant,Mardi & sant,Mardi-saints
6,Anna / Anne / Ann / Anni,Ann,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89288,1190171,1,1,ann,Ann,Ann,Ann,Anna,Ann
6,Anna / Anne / Ann / Anni,Ann,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89288,1190178,8,3,anne,Anne,Ann,Ann,Anna,Ann's
6,Anna / Anne / Ann / Anni,Ann,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89288,1190179,9,3,annekese,anneke[se],anneke,anneke,Anna & -kene,little Ann
6,Anna / Anne / Ann / Anni,Ann,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89288,1190171,11,1,ann,Ann,Ann,Ann,Anna,Ann
6,Anna / Anne / Ann / Anni,Ann,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89288,1190185,18,3,anne,Anne,Ann,Ann,Anna,Ann's
6,Anna / Anne / Ann / Anni,Ann,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89288,1190186,19,3,annekese,anneke[se],anneke,anneke,Anna & -kene,little Ann
6,Anna / Anne / Ann / Anni,Ann,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89288,1190171,21,1,ann,Ann,Ann,Ann,Anna,Ann
6,Anna / Anne / Ann / Anni,Ann,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89288,1190193,31,3,anne,Anne,Ann,Ann,Anna,Ann's
6,Anna / Anne / Ann / Anni,Ann,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89288,1190195,33,4,annekese,anneke[se],anneke,anneke,Anna & -kene,little Ann
6,Anna / Anne / Ann / Anni,Anne,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89316,1190519,12,3,annekene,Annekene,Anne-kene,Annekene,Anne & -kene,little Anne
2,Martin / Mart / Märt,Martin,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89316,1190525,19,1,mart,Mart,Mart,Mart,Mart,Martin
2,Martin / Mart / Märt,Martin,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89316,1190526,20,1,mardil,Mardil,Mardi-l,Mardi,Mart,at Martin's
