feature_rank_by_size,semantic_name_group,area_name,macroRegion,langLabel,langCode,standard_lemma_map_category,mentions,poems,standard_lemma_types,top_standard_lemmas,top_english_variants
1,Mary / Maria / Maarja / Mari,Alastaro,Finland/Savo-Karelia,Finnish,su,Maija,2,1,1,Maija (2),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Alatornio,Finland/Savo-Karelia,Finnish,su,Maija,3,3,1,Maija (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Alatornio,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Alatornio,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,Lassinmaija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Alavus,Finland/Savo-Karelia,Finnish,su,Maija,3,2,1,Maija (3),Maija/Maie (2); Mary (1)
1,Mary / Maria / Maarja / Mari,Alavus,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Ambla,Estonia core/west,North Estonian,viP,Maie,5,3,1,Maie (5),Maija/Maie (5)
1,Mary / Maria / Maarja / Mari,Ambla,Estonia core/west,North Estonian,viP,Maarja,3,3,1,Maarja (3),Mary (3)
1,Mary / Maria / Maarja / Mari,Ambla,Estonia core/west,North Estonian,viP,Mari,3,1,1,Mari (3),Mary (2); Mari (1)
1,Mary / Maria / Maarja / Mari,Ambla,Estonia core/west,North Estonian,viP,Maria,2,2,1,Maria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Ambla,Estonia core/west,North Estonian,viP,Other,1,1,1,Marike (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Asikkala,Finland/Savo-Karelia,Finnish,su,Maija,8,8,1,Maija (8),Maija/Maie (8)
1,Mary / Maria / Maarja / Mari,Asikkala,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Asikkala,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Audru,Estonia core/west,North Estonian,viP,Mari,11,2,1,Mari (11),Mari (11)
1,Mary / Maria / Maarja / Mari,Audru,Estonia core/west,North Estonian,viP,Maie,3,1,1,Maie (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Audru,Estonia core/west,North Estonian,viP,Maarja,1,1,1,Maarja (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Audru,Estonia core/west,North Estonian,viP,Other,1,1,1,marikene (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Brandval,Finland/Savo-Karelia,Finnish,su,Maria,2,1,1,Maria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Elimäki,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,Anna-Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Emmaste,Estonia core/west,North Estonian,viP,Maarja,1,1,1,Maarja (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Eno,Finland/Savo-Karelia,Finnish,su,Mari,2,2,1,Mari (2),Mary (1); Mari (1)
1,Mary / Maria / Maarja / Mari,Enontekiö,Finland/Savo-Karelia,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Eräjärvi,Finland/Savo-Karelia,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Eräjärvi,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Eura,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,varesmaija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Evijärvi,Finland/Savo-Karelia,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Evijärvi,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,Juurikka-Maija (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Forssa,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Grue Finnskog,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Hailuoto,Finland/Savo-Karelia,Finnish,su,Maaria,2,1,1,Maaria (2),Maria/Maaria (2)
1,Mary / Maria / Maarja / Mari,Hailuoto,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hailuoto,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,maijamaa (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Halikko,Finland/Savo-Karelia,Finnish,su,Other,3,2,3,Helssa & Maija (1); kampela & Maija (1); Helsa & Maija (1),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Halikko,Finland/Savo-Karelia,Finnish,su,Maija,2,2,1,Maija (2),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Haljala,Estonia core/west,North Estonian,viP,Mari,21,14,1,Mari (21),Mari (17); Mary (4)
1,Mary / Maria / Maarja / Mari,Haljala,Estonia core/west,North Estonian,viP,Maie,13,8,1,Maie (13),Maija/Maie (13)
1,Mary / Maria / Maarja / Mari,Haljala,Estonia core/west,North Estonian,viP,Maarja,8,6,1,Maarja (8),Mary (8)
1,Mary / Maria / Maarja / Mari,Haljala,Estonia core/west,North Estonian,viP,Mai,2,1,1,Mai (2),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Haljala,Estonia core/west,North Estonian,viP,Maria,2,2,1,Maria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Haljala,Estonia core/west,North Estonian,viP,Marikene,1,1,1,Marikene (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,Maarja,22,17,1,Maarja (22),Mary (18); Maria/Maaria (2); Mari (2)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,Mari,9,9,1,Mari (9),Mari (7); Mary (2)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,Other,8,6,6,Maari (3); mai (1); Marike (1); maiekene (1); maarjeit (1); Maali (1),Mary (3); Maria/Maaria (3); Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,Maie,3,2,1,Maie (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,Maaria,2,1,1,Maaria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Halsua,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,mustamaija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Hanila,Estonia core/west,North Estonian,viP,Mari,2,2,1,Mari (2),Mary (1); Mari (1)
1,Mary / Maria / Maarja / Mari,Hanila,Estonia core/west,North Estonian,viP,Maarja,1,1,1,Maarja (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hanila,Estonia core/west,North Estonian,viP,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hargla,South Estonia/Seto,South Estonian,viE,Mari,3,2,1,Mari (3),Mari (2); Mary (1)
1,Mary / Maria / Maarja / Mari,Harju-Jaani,Estonia core/west,North Estonian,viP,Mari,15,9,1,Mari (15),Mari (13); Mary (2)
1,Mary / Maria / Maarja / Mari,Harju-Jaani,Estonia core/west,North Estonian,viP,Maarja,2,1,1,Maarja (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Harju-Jaani,Estonia core/west,North Estonian,viP,Maria,2,2,1,Maria (2),Mary (1); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Harju-Jaani,Estonia core/west,North Estonian,viP,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Harju-Jaani,Estonia core/west,North Estonian,viP,Maie,1,1,1,Maie (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Harju-Madise,Estonia core/west,North Estonian,viP,Mari,2,1,1,Mari (2),Mari (2)
1,Mary / Maria / Maarja / Mari,Harju-Madise,Estonia core/west,North Estonian,viP,Other,1,1,1,Marike (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Harlu,East Karelia/Veps/Tver,Finnish,su,Maria,2,2,1,Maria (2),Mary (1); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Hartola,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,mustamaija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Hattula,Finland/Savo-Karelia,Finnish,su,Maija,6,5,1,Maija (6),Maija/Maie (6)
1,Mary / Maria / Maarja / Mari,Hattula,Finland/Savo-Karelia,Finnish,su,Other,3,3,3,Helsanmaija (1); kuppari & Maija (1); Helsinki & Maija (1),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Hattula,Finland/Savo-Karelia,Finnish,su,Mari,2,1,1,Mari (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Hattula,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hattula,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Hauho,Finland/Savo-Karelia,Finnish,su,Maaria,3,3,1,Maaria (3),Mary (2); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Hauho,Finland/Savo-Karelia,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Hauho,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Haukivuori,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hausjärvi,Finland/Savo-Karelia,Outside selected Finnic areas,ru,Maija,3,3,1,Maija (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Hausjärvi,Finland/Savo-Karelia,Outside selected Finnic areas,ru,Other,2,2,2,ahkeramaija (1); Helssa-Maija (1),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Hausjärvi,Finland/Savo-Karelia,Outside selected Finnic areas,ru,Mari,1,1,1,Mari (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Heinjoki,Finland/Savo-Karelia,Finnish,su,Mari,1,1,1,Mari (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Helme,Estonia core/west,South Estonian,viE,Maarja,30,18,1,Maarja (30),Mary (30)
1,Mary / Maria / Maarja / Mari,Helme,Estonia core/west,South Estonian,viE,Maie,10,3,1,Maie (10),Maija/Maie (10)
1,Mary / Maria / Maarja / Mari,Helme,Estonia core/west,South Estonian,viE,Mari,5,4,1,Mari (5),Mari (4); Mary (1)
1,Mary / Maria / Maarja / Mari,Helme,Estonia core/west,South Estonian,viE,Other,2,2,2,mari (1); maie+ke (1),Mary (1); Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Helme,Estonia core/west,South Estonian,viE,Mai,1,1,1,Mai (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Hietamäki,Ingria,Finnish,su,Other,2,2,2,Maijukka (1); Mari & sisar (1),Maija/Maie (1); Mari (1)
1,Mary / Maria / Maarja / Mari,Hietamäki,Ingria,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Hiitola,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hirvensalmi,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
