feature_rank_by_size,semantic_name_group,english_variant,area_name,macroRegion,langLabel,langCode,standard_lemma,mentions,poems,top_local_lemmas,top_surface_forms,top_word_in_english
1,Mary / Maria / Maarja / Mari,Maija/Maie,Alastaro,Finland/Savo-Karelia,Finnish,su,Maija,2,1,Maija (1); Maijal (1),Maijaa (1); Maijalla (1),Maija (1); on Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Alatornio,Finland/Savo-Karelia,Finnish,su,Maija,3,3,Maija (3),Maijaa (2); Maijan (1),Maija (2); Maija's (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Alatornio,Finland/Savo-Karelia,Finnish,su,Lassinmaija,1,1,Lassinmaija (1),Lassinmaija (1),Lassi's Maija (1)
1,Mary / Maria / Maarja / Mari,Mary,Alatornio,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Marja (1),Marja (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Alavus,Finland/Savo-Karelia,Finnish,su,Maija,2,1,Maija (2),Maijalla (1); Maija (1),at Maija's (1); Maija (1)
1,Mary / Maria / Maarja / Mari,Mary,Alavus,Finland/Savo-Karelia,Finnish,su,Maija,1,1,Maija (1),Maija (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Alavus,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Marian (1),Marian (1),Mary's (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Ambla,Estonia core/west,North Estonian,viP,Maie,5,3,Maie (5),Maie (5),Maie (4); Maie's (1)
1,Mary / Maria / Maarja / Mari,Mary,Ambla,Estonia core/west,North Estonian,viP,Maarja,3,3,Maarja (2); maarja (1),Maarja (2); Maarjasse (1),Mary's (2); to Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Ambla,Estonia core/west,North Estonian,viP,Mari,2,1,Mari (2),Mari (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Mary,Ambla,Estonia core/west,North Estonian,viP,Maria,2,2,Maria (2),Maria (1); Marial (1),Mary (1); to Mary (1)
1,Mary / Maria / Maarja / Mari,Mari,Ambla,Estonia core/west,North Estonian,viP,Mari,1,1,Maride (1),Maride (1),Mari's (1)
1,Mary / Maria / Maarja / Mari,Mari,Ambla,Estonia core/west,North Estonian,viP,Marike,1,1,Marikene (1),Marikene (1),little Mari (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Asikkala,Finland/Savo-Karelia,Finnish,su,Maija,8,8,Maija (7); maija (1),Maija (6); Maijaa (1); Maijan (1),Maija (7); Maija's (1)
1,Mary / Maria / Maarja / Mari,Mary,Asikkala,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,Maaria (1),Maarian (1),Mary's (1)
1,Mary / Maria / Maarja / Mari,Mary,Asikkala,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Maria (1),Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mari,Audru,Estonia core/west,North Estonian,viP,Mari,11,2,Mari (11),Marit (7); Mari (4),Mari (obj.) (6); Mari (5)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Audru,Estonia core/west,North Estonian,viP,Maie,3,1,Maie (3),Maie (3),Maie (3)
1,Mary / Maria / Maarja / Mari,Mari,Audru,Estonia core/west,North Estonian,viP,marikene,1,1,marikene (1),marikene (1),little Mari (1)
1,Mary / Maria / Maarja / Mari,Mary,Audru,Estonia core/west,North Estonian,viP,Maarja,1,1,maarja (1),Maarjal (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Brandval,Finland/Savo-Karelia,Finnish,su,Maria,2,1,Maaria (2),Maria (1); Marian (1),Mary (1); Mary's (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Elimäki,Finland/Savo-Karelia,Finnish,su,Anna-Maija,1,1,Anna-Maija (1),Anna-Maija (1),Anna-Maija (1)
1,Mary / Maria / Maarja / Mari,Mary,Emmaste,Estonia core/west,North Estonian,viP,Maarja,1,1,Maarja (1),Maarja (1),Mary's (1)
1,Mary / Maria / Maarja / Mari,Mari,Eno,Finland/Savo-Karelia,Finnish,su,Mari,1,1,Mari (1),Mari (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Mary,Eno,Finland/Savo-Karelia,Finnish,su,Mari,1,1,Mari (1),Mari (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Enontekiö,Finland/Savo-Karelia,Finnish,su,Maija,1,1,Maija (1),Maijan (1),Maija's (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Eräjärvi,Finland/Savo-Karelia,Finnish,su,Maija,1,1,Maija (1),Maija (1),Maija (1)
1,Mary / Maria / Maarja / Mari,Mary,Eräjärvi,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Maaria (1),Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Eura,Finland/Savo-Karelia,Finnish,su,varesmaija,1,1,varesmaija (1),varesmaija (1),Crow-Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Evijärvi,Finland/Savo-Karelia,Finnish,su,Maija,1,1,Maija (1),Maija (1),Maija (1)
1,Mary / Maria / Maarja / Mari,Mary,Evijärvi,Finland/Savo-Karelia,Finnish,su,Juurikka-Maija,1,1,Juurikka-Maija (1),Juurikka-Maija (1),Root-Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Forssa,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,Maaria (1),Maarian (1),Mary's (1)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Grue Finnskog,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Moari (1),Mariaa (1),Maria (1)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Hailuoto,Finland/Savo-Karelia,Finnish,su,Maaria,2,1,Maaria (2),Maariaan (1); Maariasta (1),to Maaria (1); from Maaria (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hailuoto,Finland/Savo-Karelia,Finnish,su,maijamaa,1,1,maijamaa (1),Maijamaa (1),Maija-land (1)
1,Mary / Maria / Maarja / Mari,Mary,Hailuoto,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Mariaja (1),Mariaja (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Halikko,Finland/Savo-Karelia,Finnish,su,Maija,2,2,Maija (2),Maijan (1); Maija (1),Maija's (1); Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Halikko,Finland/Savo-Karelia,Finnish,su,Helsa & Maija,1,1,helssa & maija (1),Helssan-Maija (1),Helsa's Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Halikko,Finland/Savo-Karelia,Finnish,su,Helssa & Maija,1,1,Helssa & Maija (1),Helssa-Maija (1),Helsa's Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Halikko,Finland/Savo-Karelia,Finnish,su,kampela & Maija,1,1,kamparla & Maija (1),Kamparla-Maija (1),Flounder Maija (1)
1,Mary / Maria / Maarja / Mari,Mari,Haljala,Estonia core/west,North Estonian,viP,Mari,17,10,Mari (12); Maie (4); mari (1),Mari (13); Maie (4),Mari (13); little Mari (4)
