feature_rank_by_size,semantic_name_group,area_name,macroRegion,langLabel,langCode,area_mentions,dominant_standard_lemma_category,dominant_mentions,dominant_share,variant_category_count,entropy,variant_distribution
1,Mary / Maria / Maarja / Mari,Narvusi,Ingria,Ingrian,in,317,Maija,154,0.48580441640378547,6,1.4242,Maija (154); Other (48); Maaria (45); Maria (36); Mari (32); Maarja (2)
1,Mary / Maria / Maarja / Mari,Setumaa,South Estonia/Seto,South Estonian,viE,139,Maarja,75,0.539568345323741,4,1.1015,Maarja (75); Mari (41); Maria (14); Other (9)
1,Mary / Maria / Maarja / Mari,Karksi,Estonia core/west,South Estonian,viE,115,Maarja,60,0.5217391304347826,6,1.2671,Maarja (60); Other (22); Mari (20); Maie (11); Maria (1); Marikene (1)
1,Mary / Maria / Maarja / Mari,Soikkola,Ingria,Ingrian,in,104,Maaria,35,0.33653846153846156,6,1.5534,Maaria (35); Maija (26); Maria (19); Other (13); Mari (10); Maarja (1)
1,Mary / Maria / Maarja / Mari,Suistamo,East Karelia/Veps/Tver,Livvi-Karelian,ka,76,Maria,49,0.6447368421052632,5,1.1007,Maria (49); Maaria (12); Other (7); Mari (5); Maija (3)
1,Mary / Maria / Maarja / Mari,Suojärvi,East Karelia/Veps/Tver,Finnish,su,64,Maria,33,0.515625,4,1.0168,Maria (33); Maaria (24); Other (5); Mari (2)
1,Mary / Maria / Maarja / Mari,Viljandi,Estonia core/west,North Estonian,viP,64,Mari,34,0.53125,5,1.0983,Mari (34); Maarja (22); Maaria (3); Other (3); Maria (2)
1,Mary / Maria / Maarja / Mari,Kadrina,Estonia core/west,North Estonian,viP,55,Mari,22,0.4,6,1.5285,Mari (22); Other (11); Mai (9); Maria (8); Maarja (4); Maie (1)
1,Mary / Maria / Maarja / Mari,Paistu,Estonia core/west,South Estonian,viE,55,Mari,24,0.43636363636363634,5,1.296,Mari (24); Maarja (17); Other (8); Maie (5); Mai (1)
1,Mary / Maria / Maarja / Mari,Kolga-Jaani,Estonia core/west,North Estonian,viP,53,Mari,31,0.5849056603773585,6,1.2433,Mari (31); Maarja (9); Other (7); Maie (3); Maria (2); Mai (1)
1,Mary / Maria / Maarja / Mari,Jõhvi,Estonia core/west,North Estonian,viP,49,Mari,30,0.6122448979591837,6,1.2434,Mari (30); Maarja (7); Other (5); Maria (3); Mai (2); Maie (2)
