person_cluster,area_name,category,mentions,poems
Smith / Blacksmith,Alatornio,Other,3,2
Smith / Blacksmith,Alavus,Other,1,1
Smith / Blacksmith,Ambla,Other,2,2
Smith / Blacksmith,Ambla,compound -sepp,5,3
Smith / Blacksmith,Ambla,sepp,7,5
Smith / Blacksmith,Anseküla,sepp,4,2
Smith / Blacksmith,Anttola,seppä,5,1
Smith / Blacksmith,Asikkala,seppä,6,3
Smith / Blacksmith,Askainen,seppä,4,1
Smith / Blacksmith,Audru,Other,1,1
Smith / Blacksmith,Audru,compound -sepp,8,2
Smith / Blacksmith,Audru,sepp,27,7
Smith / Blacksmith,Emmaste,sepp,2,1
Smith / Blacksmith,Eno,seppä,5,4
Smith / Blacksmith,Eura,seppä,3,1
Smith / Blacksmith,Forssa,compound -sepp,1,1
Smith / Blacksmith,Haapavesi,seppä,2,1
Smith / Blacksmith,Hageri,Other,1,1
Smith / Blacksmith,Hailuoto,compound -sepp,1,1
Smith / Blacksmith,Hailuoto,seppä,1,1
Smith / Blacksmith,Halikko,Other,1,1
Smith / Blacksmith,Halikko,seppä,9,2
Smith / Blacksmith,Haljala,Other,3,3
Smith / Blacksmith,Haljala,compound -sepp,10,9
Smith / Blacksmith,Haljala,sepp,14,11
Smith / Blacksmith,Halliste,Other,4,4
Smith / Blacksmith,Halliste,compound -sepp,8,6
Smith / Blacksmith,Halliste,sepp,25,15
Smith / Blacksmith,Halsua,seppä,1,1
Smith / Blacksmith,Hanila,compound -sepp,3,1
Smith / Blacksmith,Hanila,sepp,8,1
Smith / Blacksmith,Hankasalmi,seppä,2,1
Smith / Blacksmith,Hargla,compound -sepp,1,1
Smith / Blacksmith,Hargla,sepp,7,5
Smith / Blacksmith,Harjavalta,seppä,1,1
Smith / Blacksmith,Harju-Jaani,Other,5,2
Smith / Blacksmith,Harju-Jaani,compound -sepp,3,1
Smith / Blacksmith,Harju-Jaani,sepp,12,5
Smith / Blacksmith,Hartola,seppä,2,1
Smith / Blacksmith,Hattula,Other,3,3
Smith / Blacksmith,Hattula,compound -sepp,1,1
Smith / Blacksmith,Hattula,seppä,23,9
Smith / Blacksmith,Hauho,seppä,5,3
Smith / Blacksmith,Haukivuori,seppä,3,2
Smith / Blacksmith,Hausjärvi,seppä,10,3
Smith / Blacksmith,Heinjoki,Other,1,1
Smith / Blacksmith,Heinjoki,compound -sepp,1,1
Smith / Blacksmith,Heinjoki,seppä,2,2
Smith / Blacksmith,Heinola,seppä,10,2
Smith / Blacksmith,Heinävesi,seppo,1,1
Smith / Blacksmith,Heinävesi,seppä,5,5
Smith / Blacksmith,Helme,Other,4,2
Smith / Blacksmith,Helme,compound -sepp,2,2
Smith / Blacksmith,Helme,sepp,21,11
Smith / Blacksmith,Hietamäki,compound -sepp,1,1
Smith / Blacksmith,Hietamäki,seppä,4,3
Smith / Blacksmith,Hiitola,seppä,1,1
Smith / Blacksmith,Hinnerjoki,seppä,1,1
Smith / Blacksmith,Hirvensalmi,seppä,1,1
Smith / Blacksmith,Humppila,seppä,4,1
Smith / Blacksmith,Hyrynsalmi,compound -sepp,1,1
Smith / Blacksmith,Häädemeeste,sepp,4,3
Smith / Blacksmith,Iisaku,Other,1,1
Smith / Blacksmith,Iisaku,sepp,2,1
Smith / Blacksmith,Iisalmi,seppä,3,3
Smith / Blacksmith,Ilomantsi,Other,5,4
Smith / Blacksmith,Ilomantsi,seppo,5,1
Smith / Blacksmith,Ilomantsi,seppä,78,26
Smith / Blacksmith,Impilahti,Other,1,1
Smith / Blacksmith,Impilahti,seppä,12,11
Smith / Blacksmith,Impilahti,takoja,2,2
Smith / Blacksmith,Inkere,seppä,2,1
Smith / Blacksmith,Isojoki,Other,1,1
Smith / Blacksmith,Jaakkima,seppä,1,1
Smith / Blacksmith,Jaani,Other,1,1
Smith / Blacksmith,Jaani,sepp,2,2
Smith / Blacksmith,Joensuu,Other,1,1
Smith / Blacksmith,Johannes,Other,1,1
Smith / Blacksmith,Jokioinen,seppä,7,2
Smith / Blacksmith,Joroinen,seppo,1,1
Smith / Blacksmith,Joroinen,seppä,1,1
Smith / Blacksmith,Joutsa,Other,1,1
Smith / Blacksmith,Joutsa,compound -sepp,1,1
Smith / Blacksmith,Joutseno,seppä,3,1
Smith / Blacksmith,Juuru,sepp,2,1
Smith / Blacksmith,Juva,seppä,9,4
Smith / Blacksmith,Järva-Jaani,Other,2,2
Smith / Blacksmith,Järva-Jaani,sepp,10,4
Smith / Blacksmith,Järva-Madise,sepp,5,4
Smith / Blacksmith,Jääski,seppä,1,1
Smith / Blacksmith,Jõelähtme,Other,1,1
Smith / Blacksmith,Jõelähtme,sepp,4,3
Smith / Blacksmith,Jõhvi,Other,5,4
Smith / Blacksmith,Jõhvi,compound -sepp,5,4
Smith / Blacksmith,Jõhvi,sepp,14,10
Smith / Blacksmith,Jüri,sepp,4,3
Smith / Blacksmith,Kaarina,compound -sepp,1,1
Smith / Blacksmith,Kaarina,seppä,1,1
Smith / Blacksmith,Kaarma,sepp,2,1
Smith / Blacksmith,Kaavi,Other,2,2
Smith / Blacksmith,Kaavi,seppä,5,4
Smith / Blacksmith,Kadrina,Other,7,6
Smith / Blacksmith,Kadrina,compound -sepp,19,7
Smith / Blacksmith,Kadrina,sepp,22,10
Smith / Blacksmith,Kalajoki,seppä,1,1
Smith / Blacksmith,Kalvola,compound -sepp,1,1
Smith / Blacksmith,Kalvola,seppä,1,1
Smith / Blacksmith,Kanepi,compound -sepp,3,2
Smith / Blacksmith,Kangaslampi,seppä,2,2
Smith / Blacksmith,Kangasniemi,seppä,4,3
Smith / Blacksmith,Kaprio,Other,5,2
Smith / Blacksmith,Kaprio,compound -sepp,1,1
Smith / Blacksmith,Kaprio,seppä,38,15
Smith / Blacksmith,Kaprio,takoja,4,3
Smith / Blacksmith,Karkku,seppä,1,1
Smith / Blacksmith,Karksi,Other,4,3
Smith / Blacksmith,Karksi,compound -sepp,10,8
Smith / Blacksmith,Karksi,sepp,52,13
Smith / Blacksmith,Karstula,seppä,1,1
Smith / Blacksmith,Karttula,seppä,1,1
Smith / Blacksmith,Karula,Other,1,1
Smith / Blacksmith,Karula,compound -sepp,2,1
Smith / Blacksmith,Karula,sepp,3,2
Smith / Blacksmith,Karuna,Other,1,1
Smith / Blacksmith,Karuse,Other,1,1
Smith / Blacksmith,Karuse,compound -sepp,19,5
Smith / Blacksmith,Karuse,sepp,11,2
Smith / Blacksmith,Karvia,seppä,2,2
Smith / Blacksmith,Kattila,Other,1,1
Smith / Blacksmith,Kattila,seppä,2,1
Smith / Blacksmith,Kattila,takoja,1,1
Smith / Blacksmith,Kauhava,seppä,1,1
Smith / Blacksmith,Kaukola,seppä,6,3
Smith / Blacksmith,Kauvatsa,seppä,2,2
Smith / Blacksmith,Keila,compound -sepp,1,1
Smith / Blacksmith,Keila,sepp,3,2
Smith / Blacksmith,Keltto,seppä,4,4
Smith / Blacksmith,Keltto,takoja,2,2
Smith / Blacksmith,Kemi,Other,1,1
Smith / Blacksmith,Kemi,seppä,7,6
Smith / Blacksmith,Kerimäki,seppä,2,2
Smith / Blacksmith,Kesälahti,seppo,1,1
Smith / Blacksmith,Kesälahti,seppä,6,4
Smith / Blacksmith,Kiestinki,seppä,1,1
Smith / Blacksmith,Kihelkonna,sepp,3,2
Smith / Blacksmith,Kihnu,compound -sepp,3,2
Smith / Blacksmith,Kihnu,sepp,5,3
Smith / Blacksmith,Kiihtelysvaara,seppo,1,1
Smith / Blacksmith,Kiihtelysvaara,seppä,2,2
Smith / Blacksmith,Kiikala,seppä,2,1
Smith / Blacksmith,Kiimaisjärvi,seppä,1,1
Smith / Blacksmith,Kiiminki,compound -sepp,1,1
Smith / Blacksmith,Kirvu,seppo,1,1
Smith / Blacksmith,Kirvu,seppä,2,2
Smith / Blacksmith,Kitee,Other,1,1
Smith / Blacksmith,Kitee,compound -sepp,1,1
Smith / Blacksmith,Kitee,seppä,20,11
Smith / Blacksmith,Kiuruvesi,seppä,2,2
Smith / Blacksmith,Kivennapa,seppä,4,2
Smith / Blacksmith,Kivijärvi,seppä,1,1
Smith / Blacksmith,Kodavere,compound -sepp,5,3
Smith / Blacksmith,Kodavere,sepp,3,1
Smith / Blacksmith,Koeru,Other,5,4
Smith / Blacksmith,Koeru,compound -sepp,11,6
Smith / Blacksmith,Koeru,sepp,15,9
Smith / Blacksmith,Koivisto,compound -sepp,1,1
Smith / Blacksmith,Kokemäki,compound -sepp,1,1
Smith / Blacksmith,Kokemäki,seppä,1,1
Smith / Blacksmith,Kolga-Jaani,Other,2,1
Smith / Blacksmith,Kolga-Jaani,compound -sepp,13,7
Smith / Blacksmith,Kolga-Jaani,sepp,16,8
Smith / Blacksmith,Kontiolahti,seppo,1,1
Smith / Blacksmith,Kontiolahti,seppä,3,3
Smith / Blacksmith,Kontokki,Other,1,1
Smith / Blacksmith,Kontokki,seppä,3,2
Smith / Blacksmith,Kontokki,takoja,1,1
Smith / Blacksmith,Koprina,Other,1,1
Smith / Blacksmith,Koprina,compound -sepp,2,2
Smith / Blacksmith,Koprina,seppä,4,4
Smith / Blacksmith,Korpilahti,Other,1,1
Smith / Blacksmith,Korpilahti,seppä,5,1
Smith / Blacksmith,Korpiselkä,compound -sepp,1,1
Smith / Blacksmith,Korpiselkä,seppo,7,2
Smith / Blacksmith,Korpiselkä,seppä,19,9
Smith / Blacksmith,Kose,Other,6,2
