unified_name,same_person_confidence,recommended_use,Estonia core/west_mentions,Estonia core/west_standard_forms,Estonia core/west_local_forms,South Estonia/Seto_mentions,South Estonia/Seto_standard_forms,South Estonia/Seto_local_forms,Finland/Savo-Karelia_mentions,Finland/Savo-Karelia_standard_forms,Finland/Savo-Karelia_local_forms,Ingria_mentions,Ingria_standard_forms,Ingria_local_forms,East Karelia/Veps/Tver_mentions,East Karelia/Veps/Tver_standard_forms,East Karelia/Veps/Tver_local_forms,Other/unclear_mentions,Other/unclear_standard_forms,Other/unclear_local_forms
Mary / Maria / Maarja / Mari,medium,"religious female-name cluster; useful for Christian/popular religious register, but Mari/Maija may also be ordinary names.",2321,Mari (893); mari (852); Maarja (352); Maria (94); Maaria (23); Maari (22); marjuke (8); Marike (8); Marija (8); marjake (5),Mari (789); mari (680); Maarja (222); marja (110); Maria (85); Maari (73); maarja (32); Maie (32); Maaria (24); maari (22),543,mari (236); Maarja (133); Mari (109); Maria (14); marjakene (9); marjake (8); marja (5); Maarjale (5); marjuke (4); marjale (2),mari (122); Mari (65); Maarja (56); marja (43); maarja (30); mara (23); marakõnõ (18); marä (13); maräkõnõ (8); maarinna (8),1031,Maria (352); Maija (324); Maaria (183); Mari (69); maija (43); maaria (12); Maarja (7); Marja (5); Marian (5); Maarian (3),Maija (292); Maaria (226); Maria (194); Mari (67); maija (63); maria (16); maaria (15); Maarja (13); Marja (10); Maarija (6),709,Maija (246); Maaria (132); Mari (118); Maria (114); maija (40); Marja (10); Marja/Mari (6); Marian (4); Maarja (4); Marjatta (3),Maaria (127); Maija (114); Mari (104); maija (51); Maie (48); Maria (39); Maije (35); Maariainen (13); maijoi (13); maaria (10),372,Maria (196); Maaria (99); Mari (29); maija (15); Maija (12); Marian (6); Mariatta (3); maarian (2); Marjatta (1); Maria/muori (1),Maaria (104); Maria (59); Moaria (26); Mari (25); Muaria (12); maria (9); Moarie (8); maijon (8); muarie (8); maija (7),87,Mari (38); mari (35); Maarja (6); Maaria (4); Maria (2); marra (1); marj (1),Mari (32); mari (26); marja (11); Maarja (5); Maaria (4); Marja (2); marran (1); marä (1); Maret (1); maarja (1)
Jesus / Christ,high,high-confidence same religious figure; strong spelling/phonological variation across Finnic dialect zones.,296,Jeesus (235); Kristus (40); Jesus (7); Jeesukene (4); Jeesusesse (2); Jeesuse (2); Iesus (1); Jeesu_kene (1); Eesus (1); jeesus (1),Jeesus (183); Kristus (28); jeesus (10); Jesus (8); kristus (7); Jeesu (6); Eesus (6); Jeesukene (6); Jeessu (4); Iesukene (4),168,Jeesus (157); Kristus (7); Jeesuse (2); Jesus (1); Jeesu (1),Jeesus (62); jeesus (15); Jeesu (15); jeesu (13); eesus (12); jessu (11); eesust (6); Kristus (5); Jessu (5); jeesuken (4),906,Jeesus (665); Jesus (139); Kristus (84); Jeesuksen (11); kristillinen (2); kristitty (1); jesus (1); Ristus (1); Jeesus+en (1),Jeesus (385); Jesus (187); Jiesus (61); Kristus (56); Iesus (29); Jessus (19); Kiesus (19); Ristus (15); Jiessus (13); Jeesu (11),374,Jeesus (291); Jesus (53); Kristus (24); Jeesuksen (3); Isus (1); Hristos (1); Jeesu (1),Jeesus (161); Jesus (62); Iesus (27); Kristus (16); Kiesus (14); Iessus (13); Jiesus (8); iesus (7); Jessus (6); Jiessus (6),462,Jeesus (340); Jesus (64); Kristus (45); hristos (3); Kristian (2); Jeesuksen (2); Hristos (Russian) (1); Kristos (1); Kristus (loanword) (1); Kristo (1),Jeesus (166); Jiesus (81); Jesus (67); Kristus (27); jiesus (21); Jiesuksen (10); jiesuksen (8); Kristos (7); Kiesus (6); Jeussei (6),29,Jeesus (24); Kristus (5),Jeesus (11); Jiesus (5); Kristus (4); Jeesu (4); jeesus (1); kristus (1); jeesus + -kene (1); jesuxen (1); Jesus (1)
John / Jaan / Jussi / Hans,medium,very useful east-west/north-south diagnostic: Estonian Jaan/Hans/Ants vs Finnish Jussi/Juhani vs eastern Iivana.,1721,Jaan (775); Hans (414); Ants (219); jaan (142); Juhan (73); Juss (12); jään (9); Jussi (8); hans (8); jaanike (7),Jaan (590); Hans (365); Ants (211); jaan (72); Juhan (70); jaanike (63); Jaanike (37); Jaanikene (33); jaanikene (30); Jaanik (25),98,Jaan (58); Ants (15); Juhan (10); Hans (5); Johannes (2); jaan (1); jaanil (1); Jaanikene (1); jaanike (1); Jaanile (1),Jaan (42); Ants (15); Jaani (7); Juhan (6); Hans (5); jaan (5); jaani (4); jaanil (3); juhan (2); jaanikene (2),630,Jussi (563); Juhani (15); Johannes (14); Iivana (6); Juhana (4); juhannes (4); Juha (4); Juhannes (2); Hans (2); jänis (2),Jussi (546); Juhani (10); Johannes (9); jussi (6); Iivana (5); Juhannes (4); Juakko (4); Juhana (4); juhannes (4); Junn(i) (3),57,Jussi (20); Iivana (15); Juhana (8); Hannus (6); Hannu (3); Juhani (2); Jussi+si (1); Johannes (1); (proper) (1),Jussi (19); Iivana (12); Juhana (6); Hannus (6); Iivaana (3); Hannoi (3); Jaani (1); Jusso (1); Juss (1); J:lan (1),36,Jussi (26); Iivana (5); Jukka (2); jää+n (1); Juhana (1); Johannes (1),Jussi (26); Iivana (5); Juakko (2); jää+n (1); Juhana (1); Johannes (1),82,Jaan (35); Hans (33); Ants (5); jaan (2); Juhan (2); jussi (1); Juss (1); Hannus (1); Jussi (1); Juku (1),Hans (30); Jaan (20); jani (10); Ants (5); Jaani (3); Jussi (2); hans (2); Juhan (2); jussi (1); jaan (1)
Peter / Pietari / Peeter,medium,cross-linguistic biblical/given-name equivalent; good for Finnish/Karelian vs Estonian form split.,441,Peeter (401); Peetrus (27); peeter (5); Peterburi (2); Piiter (1); piiter (1); Pieter (1); pekk (1); peedil (1); Pietari (1),Peeter (308); Peetrus (25); Piiter (18); peeter (13); Pieter (12); Piitre (6); peter (5); Peet (5); peetri (3); Peetrikene (3),70,Peeter (54); Petra (7); Piiter (5); Peetrus (2); *Petteri (1); Peetriga (1),Piitre (14); Peeter (13); Piiter (9); Petra (7); piitri (3); peeter (2); Piitrekene (2); piiterit (2); peeterille (2); peetrikene (2),811,Pietari (441); Pekka (324); Petteri (26); pekka (7); Perttu (3); Pietarin (2); Petter (2); Pekka/pekko (1); petteri (1); Perttuli (1),Pietari (337); Pekka (308); Pietar (20); Petter (17); pietari (16); Piatari (14); Petteri (13); pekka (11); pietar (5); Pekko (5),190,Pietari (131); Petteri (38); Pekka (9); Pietarin (5); Petro (2); Pietarista (2); Petterille (1); Petri (1),Pietari (77); Petteri (34); Petro (12); Pedro (6); Pekka (6); petterissä (3); Peio (3); Pietarissa (2); Pedru (2); petterii (2),256,Pietari (182); Pekka (29); Petri (28); Petteri (12); Pedri (2); pekka (1); Petrus (1); Pietarista (1),Pietari (94); Petri (28); Pekka (25); Pedri (24); Petteri (9); Piiteri (6); Pietar (6); Petra (6); piedari (6); Petru (5),27,Peeter (15); Pietari (4); Pekka (4); Peet (1); peeter (1); Petteri (1),Peeter (7); Pekka (5); Pieter (3); Pietari (3); Pietrus (1); Piitre (1); Pert (1); Peet (1); peetrikene (1); Piedari (1)
Martin / Mart / Märt,medium,highly characteristic Estonian/ritual-name field; Mart/Märt/Märti variants are regionally informative.,3257,Märt (794); Mart (529); mart (447); märt (438); mard (378); Mard (192); Märti (138); marti (82); märti (63); märd (57),Mart (517); Märti (499); mart (434); Märt (328); marti (321); märti (309); mard (284); märt (121); Mard (109); Mardi (67),128,Märt (100); märt (13); pääsuke (4); märti (4); Mard (3); Mardisant (1); Mardu (1); märts (1); märdi (1),märti (42); Märt (35); Märti (21); märt (13); pääsuke (4); Mard (3); Märdi (3); märdi (2); Märdike (1); Mardisand (1),43,Martti (39); Martin (3); räpäsky (1),Martti (26); Martin (10); martti (3); Martti-n (2); rääpyskä (1); Mart (1),13,Martti (13),Martti (8); Mart (2); Martin (2); Marti (1),2,Martin (1); Martti (1),Martin (1); Martti-n (1),60,märti (14); Mart (12); mard (11); Märt (9); mart (5); mardi (3); märt (2); marti (2); mardikesed (1); mardu (1),märti (14); Mart (11); mard (11); Märt (9); mart (5); mardi (3); märt (2); marti (2); mardikesed (1); marsi (1)
Catherine / Kadri / Katri,medium,saint/name-family field; useful for Kadri/Katri/Kaisa ritual and given-name variation.,1332,Kadri (771); Katri (200); kadri (150); katri (84); kadrike (28); kadrina (25); kadr (12); Kadrina (10); Triinu (8); Kadril (7),Kadri (704); Katri (202); kadri (182); katri (96); kadrina (25); kadrikene (22); kadr (12); Kadrina (10); Kaie (9); Triinu (8),240,Kadri (95); kadrik (47); kadrina (44); Katri (22); kadri (14); Kati (4); kadrile (2); Kadril (2); Katre (2); katri (2),Kadri (76); kadrike (47); kadrina (44); kadri (27); katri (13); Katri (8); kadrile (2); kati (2); kadriko (2); kadrel (2),241,Kaisa (141); Katri (40); kaisa (27); Katriina (9); Katariina (8); kati (4); Kati (4); Kaisa+pa (2); Kaisan (1); Kaari (1),Kaisa (129); Katri (39); kaisa (29); Katariina (6); kati (6); Katriina (6); Kaija (3); Kati (3); Katri-n (2); Kaesa (2),271,Katri (90); Kati (87); Kaisa (56); Katariina (17); Katriina (8); Katrina (3); Kadrina (2); Katrin (1); katri (1); Katri & -kka (diminutive) & -ine (comitative) (1),Kati (83); Katri (80); Kaisa (48); Katrina (18); Katriina (5); Kaisu (5); Kadrina (2); kati (2); Katariina (2); Kaiso (2),52,Katri (20); Kaisa (18); Katariina (5); Katti (2); Kadrina (2); katri (1); kadri (1); Kateriina (1); Katja (1); kati (1),Katri (15); Kaisa (14); Kadri (2); Katti (2); kaisa (2); Kadrina (2); katri (1); Katrikka (1); kadri (1); Katerina (1),33,Kadri (27); Kaisa (3); Kati (2); kadrina (1),Kadri (27); Kaisa (3); Kati (2); kadrina (1)
Anna / Anne / Ann / Anni,medium,"common female name-family; broad coverage, but ordinary-name ambiguity requires context.",1472,Anne (663); Ann (385); anne (286); Anu (25); Anna (21); Anni (12); ann (9); Änni (7); Annel (6); Annike (5),Anne (606); Ann (355); anne (224); Annekene (28); Anu (21); annekene (18); Anna (18); ann (17); anni (16); Anni (12),123,Ann (39); anne (38); Anne (27); Anni (4); anu (3); andis (2); andeid (2); ann (2); andja (1); Annuke (1),Ann (28); Anne (18); anni (15); anne (11); and (6); Annõ (5); Anni (4); ane (3); ann (3); anu (3),263,Anni (199); Anna (40); Annikki (6); anni (3); Annin (2); Annille (2); anne (2); Annika (2); anta (1); Anni-kin (1),Anni (179); Anna (36); Annin (7); Annikki (5); anni (4); Anikka (2); Annille (2); anne (2); Annikainen (2); antaa (1),178,Anni (156); Anu (7); Ann (3); anni (2); Anno (2); Anna (2); Annin (1); Annikki (1); anu (dialectal) (1); anu (1),Anni (151); Anu (7); Annin (4); anni (4); anu (2); Anninee (1); annilleen (1); Annikki (1); Annojais (1); Annoin (1),183,Anni (137); anni (16); Annolle (7); Anna (4); Annin (4); Anu (4); Annikki (3); anta- (2); Annan (2); Annukainen (2),Anni (123); anni (23); annoi (7); Annin (4); antaa (2); annil (2); Anu (2); Anna+n (2); Annjo (2); Annukainen (2),44,Anne (18); Ann (15); anne (6); Anni (3); Anneke (1); Anu (1),Anne (15); Ann (15); anne (6); Annekene (3); Anni (3); annekene (1); Anu (1)
Väinämöinen,high,high-confidence epic figure; strongly diagnostic for Kalevala/Karelian-Finnish material.,1,Väinämöinen (1),vänämöinen (1),0,,,542,Väinämöinen (539); väinämöinen (1); Vainämöinen (1),Väinämöinen (456); Wäinämöinen (18); väinämöinen (15); Väinämöisen (6); Väinämöinen+sen (5); Väinämöine (4); vänämöinen (3); Väinämöise+n (3); Väinämöönen (3); Väin (2),90,Väinämöinen (88); Väinämöinen (via metathesis) (1); Proper noun (1),Väinämöinen (37); Väinämöin (20); Väinämöine (7); väinämöine (7); Väinimöinen (4); väinöväin (3); Väinämöi (3); Väinimöiseltä (1); Väzmärö (1); Väinämö (1),575,Väinämöinen (532); Väinämöisen (9); Väinö (9); (as above) (7); väinä & möö (6); väinämöinen (4); Wäinämöinen (3); V. (1); Väinämöisellä (1); Väinämöistä (1),Väinämöinen (316); Väinämöini (31); väinämöini (28); väinämöine (26); väinämöinen (25); Väinämöine (17); väinämöisen (10); väinämöne (10); Väinö (7); Väinämö (7),17,Väinämöinen (16); väinämöinen (1),Väinämöinen (15); väinämöinen (1); vänämöinen (1)
Ilmarinen,high,high-confidence epic figure; lower frequency but very characteristic of epic material.,0,,,0,,,167,Ilmarinen (160); Ilmari (5); (prop.name) (1); Ilmar (1),Ilmarinen (125); Ilmari (7); Ilmovoinen (7); Ilimarinen (6); ilmarisen (3); ilmarinen (3); (proper name) (3); Ilmarise-n (2); Ilmorinen (2); ilmarille (1),35,Ilmarinen (35),Ilmarinen (11); Ilmarinta (6); Ilmarin (5); Ilmaroi (3); Ismaroinen (3); Ilmaroinen (2); Ilmaro (2); ilmaro (2); Ilmarine (1),91,Ilmarinen (87); (as above) (3); Ilmari (1),Ilmarinen (38); ilmolline (8); Ilmollinen (6); Ilmoninen (5); Ilmari (4); ilmollinen (4); Ilmollini (4); ilmollini (3); ilmarini (3); Ilmorinen (3),6,Ilmarinen (6),Ilmarinen (5); Silmarinen (1)
Lemminkäinen,high,high-confidence epic figure; concentrated and highly diagnostic despite lower frequency.,4,Lemminkäinen (4),Lemmingi (3); Lemming (1),0,,,68,Lemminkäinen (61); lemminkäinen (5); Lämminkäinen (2),Lemminkäinen (48); lemminkäine (3); lemminkäinen (3); lemmingäinen (3); lämminkäinen (2); Lemminkäine (2); Lämminkäinen (2); Lemmes (1); lemminkäistä (1); L (1),1,Lemminkäinen (1),Lemminkäinen (1),196,Lemminkäinen (175); Lemminkäistä (8); Lemmingäinen (5); lempi & -inen (3); lemminkäistä (2); Lemminkäisen (2); lemminkäinen (1),Lemminkäinen (123); lemminkäin+ni (7); lemminkäinen (6); lemminkäistä (6); lemminkäin (5); lemminkäisen (5); Lemminkäini (4); Lemminkäin+tä (4); Lemminkäin (4); Lemmingäinen (4),0,,
