person_cluster,word_in_english_category,mentions_total,share_total,mapped_mentions,share_among_mapped,total_group_mentions,mapped_group_mentions,top_raw_word_in_english
Mary / Maria / Maarja / Mari,Mary,1587,0.31345052340509577,1483,0.3166773435831732,5063,4683,Mary (1413); to Mary (55); from Mary (48); into Mary (10); little Mary (10); Virgin Mary (8); with Mary (7); Little Mary (6)
Mary / Maria / Maarja / Mari,Mari,937,0.18506814141813155,836,0.178518043988896,5063,4683,Mari (695); Mari's (37); Maris (30); little Mari (28); to Mari (21); Mari (obj.) (16); Maari (16); on Mari (15)
Mary / Maria / Maarja / Mari,Maija/Maie,526,0.10389097373098953,458,0.09780055519965834,5063,4683,Maija (373); Maie (73); Maije (16); to Maija (12); little Maie (12); Maija (name) (6); my Maija (4); on Maija (2)
Mary / Maria / Maarja / Mari,Maria/Maaria,199,0.03930476002370136,181,0.038650437753576766,5063,4683,Maria (98); to Maria (18); from Maria (16); Maaria (13); from Maaria (13); to Maaria (7); to Maarja (6); Maarja (5)
Mary / Maria / Maarja / Mari,Berry,1113,0.2198301402330634,1045,0.22314755498612002,5063,4683,berry (612); berries (230); little berry (92); to berry (16); with berry (12); on the berry (12); to berries (11); from berries (9)
Mary / Maria / Maarja / Mari,Other,701,0.13845546118901836,680,0.1452060644885757,5063,4683,Mary's (334); Maija's (80); berry's (48); Maria's (12); Marys (10); Maijas' (8); Maaria's (8); Maarjanna's (8)
Jesus / Christ,Jesus,1541,0.6894854586129754,1461,0.6878531073446328,2235,2124,Jesus (1368); to Jesus (42); little Jesus (33); Jesus' (33); from Jesus (22); of Jesus (12); my Jesus (6); little-Jesus (3)
Jesus / Christ,Christ,163,0.07293064876957495,154,0.07250470809792843,2235,2124,Christ (153); from Christ (3); to Christ (3); Christian (2); of Christ (1); into Christ (1)
Jesus / Christ,Other,531,0.23758389261744967,509,0.2396421845574388,2235,2124,Jesus's (467); Christ's (54); Kiesus's (3); Christian's (1); Ristus (Christ) (1); Ristus (1); Christus (1); Jesus's too (1)
John / Jaan / Jussi / Hans,Jussi,548,0.20884146341463414,521,0.21546732837055418,2624,2418,Jussi (528); Jussi (name) (5); Jussi (John) (3); from Jussi (2); to Jussi (2); Jussi (dear) (1); on Jussi (1); Jussi (diminutive) (1)
John / Jaan / Jussi / Hans,Jaan/Jaani,416,0.15853658536585366,397,0.1641852770885029,2624,2418,Jaan (241); little Jaan (87); with Jaan (36); to Jaan (12); Jaani (9); on Jaan (8); Little Jaan (7); at Jaan (4)
John / Jaan / Jussi / Hans,Hans,384,0.14634146341463414,321,0.1327543424317618,2624,2418,Hans (282); to Hans (33); Hans' (28); little Hans (11); on Hans (5); of Hans (4); from Hans (4); Hans (name) (3)
John / Jaan / Jussi / Hans,John/St John,272,0.10365853658536585,243,0.10049627791563276,2624,2418,John (151); little John (53); Little John (25); little St. John (18); from John (7); on John (4); to John (4); Midsummer fire (2)
John / Jaan / Jussi / Hans,Ants,180,0.06859756097560976,172,0.07113316790736146,2624,2418,Ants (158); little Ants (8); to Ants (3); Ants (name) (3); at Ants (2); At Ants (1); from Ants (1); to Ants' (1)
John / Jaan / Jussi / Hans,Juhan,69,0.026295731707317072,62,0.02564102564102564,2624,2418,Juhan (60); to Juhan (6); little Juhan (2); of Juhan (1)
John / Jaan / Jussi / Hans,Other,755,0.28772865853658536,702,0.2903225806451613,2624,2418,Jaan's (159); John's (120); Jussi's (73); Hans's (68); Ants's (43); Jaanik's (24); at St. John's (19); Jaani's (12)
Peter / Pietari / Peeter,Peter,858,0.47799442896935934,799,0.4761620977353993,1795,1678,Peter (734); to Peter (60); from Peter (23); little Peter (9); with Peter (5); of Peter (4); at Peter (2); in Peter (2)
Peter / Pietari / Peeter,Peeter,91,0.050696378830083565,88,0.052443384982121574,1795,1678,Peeter (66); to Peeter (7); from Peeter (4); little Peeter (4); with Peeter (3); Peeter (name) (2); on Peeter (2); Peeter (acc.) (2)
Peter / Pietari / Peeter,Pekka/Pekko,316,0.17604456824512535,293,0.17461263408820024,1795,1678,Pekka (293); Pekko (6); to Pekka (5); Pekka (name) (2); (name) Pekka (2); pekka (1); Pekka too (1); from Pekka (1)
