person_cluster,area_name,english_category,mentions,poems
Anna / Anne / Ann / Anni,Alahärmä,Anna,1,1
Anna / Anne / Ann / Anni,Alatornio,Ann,1,1
Anna / Anne / Ann / Anni,Alatornio,Anni/Annie,3,2
Anna / Anne / Ann / Anni,Alatornio,Other,1,1
Anna / Anne / Ann / Anni,Ambla,Ann,8,7
Anna / Anne / Ann / Anni,Ambla,Anna,2,1
Anna / Anne / Ann / Anni,Ambla,Anne,9,8
Anna / Anne / Ann / Anni,Ambla,Gift,5,4
Anna / Anne / Ann / Anni,Ambla,Other,3,3
Anna / Anne / Ann / Anni,Anna,Gift,1,1
Anna / Anne / Ann / Anni,Anttola,Gift,2,1
Anna / Anne / Ann / Anni,Asikkala,Other,1,1
Anna / Anne / Ann / Anni,Audru,Ann,8,2
Anna / Anne / Ann / Anni,Audru,Anna,1,1
Anna / Anne / Ann / Anni,Audru,Anne,3,2
Anna / Anne / Ann / Anni,Audru,Other,3,2
Anna / Anne / Ann / Anni,Emmaste,Ann,1,1
Anna / Anne / Ann / Anni,Evijärvi,Other,1,1
Anna / Anne / Ann / Anni,Forssa,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Halikko,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Haljala,Ann,8,7
Anna / Anne / Ann / Anni,Haljala,Anne,22,16
Anna / Anne / Ann / Anni,Haljala,Anni/Annie,2,2
Anna / Anne / Ann / Anni,Haljala,Anu,1,1
Anna / Anne / Ann / Anni,Haljala,Gift,16,15
Anna / Anne / Ann / Anni,Haljala,Other,13,12
Anna / Anne / Ann / Anni,Halliste,Ann,3,2
Anna / Anne / Ann / Anni,Halliste,Anne,20,12
Anna / Anne / Ann / Anni,Halliste,Gift,5,5
Anna / Anne / Ann / Anni,Hanila,Ann,1,1
Anna / Anne / Ann / Anni,Hargla,Anne,4,2
Anna / Anne / Ann / Anni,Hargla,Gift,5,4
Anna / Anne / Ann / Anni,Hargla,Other,1,1
Anna / Anne / Ann / Anni,Harju-Jaani,Ann,3,3
Anna / Anne / Ann / Anni,Harju-Jaani,Anna,2,2
Anna / Anne / Ann / Anni,Harju-Jaani,Anne,2,2
Anna / Anne / Ann / Anni,Harju-Jaani,Anu,1,1
Anna / Anne / Ann / Anni,Harju-Jaani,Gift,2,2
Anna / Anne / Ann / Anni,Harju-Jaani,Other,2,2
Anna / Anne / Ann / Anni,Hattula,Anna,1,1
Anna / Anne / Ann / Anni,Hattula,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Hattula,Other,1,1
Anna / Anne / Ann / Anni,Heinjoki,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Heinjoki,Other,2,2
Anna / Anne / Ann / Anni,Heinävesi,Anna,2,2
Anna / Anne / Ann / Anni,Heinävesi,Anni/Annie,4,4
Anna / Anne / Ann / Anni,Helme,Ann,3,3
Anna / Anne / Ann / Anni,Helme,Anne,27,16
Anna / Anne / Ann / Anni,Helme,Anni/Annie,2,1
Anna / Anne / Ann / Anni,Helme,Gift,3,3
Anna / Anne / Ann / Anni,Helme,Other,2,2
Anna / Anne / Ann / Anni,Hietamäki,Anni/Annie,4,3
Anna / Anne / Ann / Anni,Hietamäki,Other,1,1
Anna / Anne / Ann / Anni,Hollola,Anni/Annie,2,2
Anna / Anne / Ann / Anni,Hämeenlinna,Anni/Annie,6,6
Anna / Anne / Ann / Anni,Hämeenlinna,Other,1,1
Anna / Anne / Ann / Anni,Häädemeeste,Ann,1,1
Anna / Anne / Ann / Anni,Häädemeeste,Anna,1,1
Anna / Anne / Ann / Anni,Häädemeeste,Anne,7,5
Anna / Anne / Ann / Anni,Iisaku,Anne,4,4
Anna / Anne / Ann / Anni,Iisaku,Gift,2,2
Anna / Anne / Ann / Anni,Iisaku,Other,1,1
Anna / Anne / Ann / Anni,Iitti,Anni/Annie,2,2
Anna / Anne / Ann / Anni,Ilmajoki,Other,1,1
Anna / Anne / Ann / Anni,Ilomantsi,Ann,2,2
Anna / Anne / Ann / Anni,Ilomantsi,Anna,2,1
Anna / Anne / Ann / Anni,Ilomantsi,Anni/Annie,10,5
Anna / Anne / Ann / Anni,Ilomantsi,Other,1,1
Anna / Anne / Ann / Anni,Impilahti,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Impilahti,Anu,1,1
Anna / Anne / Ann / Anni,Impilahti,Other,1,1
Anna / Anne / Ann / Anni,Isokyrö,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Jaani,Gift,2,2
Anna / Anne / Ann / Anni,Jaani,Other,1,1
Anna / Anne / Ann / Anni,Janakkala,Other,1,1
Anna / Anne / Ann / Anni,Joensuu,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Joroinen,Anna,1,1
Anna / Anne / Ann / Anni,Juuru,Ann,1,1
Anna / Anne / Ann / Anni,Juuru,Gift,2,1
Anna / Anne / Ann / Anni,Juuru,Other,1,1
Anna / Anne / Ann / Anni,Jämaja,Anne,3,1
Anna / Anne / Ann / Anni,Jämaja,Gift,1,1
Anna / Anne / Ann / Anni,Järva-Jaani,Ann,2,1
Anna / Anne / Ann / Anni,Järva-Jaani,Anne,2,2
Anna / Anne / Ann / Anni,Järva-Jaani,Anu,4,1
Anna / Anne / Ann / Anni,Järva-Jaani,Gift,1,1
Anna / Anne / Ann / Anni,Järva-Madise,Anne,3,3
Anna / Anne / Ann / Anni,Järva-Madise,Gift,4,4
Anna / Anne / Ann / Anni,Järva-Madise,Other,1,1
Anna / Anne / Ann / Anni,Jõelähtme,Ann,5,4
Anna / Anne / Ann / Anni,Jõelähtme,Anna,3,1
Anna / Anne / Ann / Anni,Jõelähtme,Anne,1,1
Anna / Anne / Ann / Anni,Jõelähtme,Gift,1,1
Anna / Anne / Ann / Anni,Jõelähtme,Other,1,1
Anna / Anne / Ann / Anni,Jõhvi,Ann,11,4
Anna / Anne / Ann / Anni,Jõhvi,Anne,3,2
Anna / Anne / Ann / Anni,Jõhvi,Gift,3,3
Anna / Anne / Ann / Anni,Jõhvi,Other,5,3
Anna / Anne / Ann / Anni,Jüri,Ann,1,1
Anna / Anne / Ann / Anni,Jüri,Anne,5,4
Anna / Anne / Ann / Anni,Jüri,Gift,2,1
Anna / Anne / Ann / Anni,Kaarma,Ann,3,2
Anna / Anne / Ann / Anni,Kaarma,Anne,1,1
Anna / Anne / Ann / Anni,Kaavi,Anna,1,1
Anna / Anne / Ann / Anni,Kadrina,Ann,15,7
Anna / Anne / Ann / Anni,Kadrina,Anne,27,16
Anna / Anne / Ann / Anni,Kadrina,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Kadrina,Gift,10,8
Anna / Anne / Ann / Anni,Kadrina,Other,9,7
Anna / Anne / Ann / Anni,Kalajoki,Anna,1,1
Anna / Anne / Ann / Anni,Kambja,Anna,1,1
Anna / Anne / Ann / Anni,Kambja,Anne,2,2
Anna / Anne / Ann / Anni,Kanepi,Anne,5,4
Anna / Anne / Ann / Anni,Kanepi,Gift,1,1
Anna / Anne / Ann / Anni,Kangaslampi,Anna,1,1
Anna / Anne / Ann / Anni,Kangasniemi,Anna,1,1
Anna / Anne / Ann / Anni,Kaprio,Anni/Annie,7,3
Anna / Anne / Ann / Anni,Kaprio,Other,3,2
Anna / Anne / Ann / Anni,Karja,Ann,6,1
Anna / Anne / Ann / Anni,Karja,Anne,4,2
Anna / Anne / Ann / Anni,Karksi,Anna,3,2
Anna / Anne / Ann / Anni,Karksi,Anne,35,20
Anna / Anne / Ann / Anni,Karksi,Gift,11,7
Anna / Anne / Ann / Anni,Karksi,Other,3,2
Anna / Anne / Ann / Anni,Karttula,Anna,1,1
Anna / Anne / Ann / Anni,Karula,Ann,1,1
Anna / Anne / Ann / Anni,Karula,Anne,3,2
Anna / Anne / Ann / Anni,Karula,Gift,1,1
Anna / Anne / Ann / Anni,Karula,Other,2,2
Anna / Anne / Ann / Anni,Karuna,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Karunki,Anni/Annie,3,2
Anna / Anne / Ann / Anni,Karuse,Ann,7,3
Anna / Anne / Ann / Anni,Karuse,Anne,5,3
Anna / Anne / Ann / Anni,Karuse,Gift,1,1
Anna / Anne / Ann / Anni,Karuse,Other,3,3
Anna / Anne / Ann / Anni,Kattila,Anu,3,2
Anna / Anne / Ann / Anni,Kattila,Other,1,1
Anna / Anne / Ann / Anni,Kauhajoki,Anni/Annie,2,2
Anna / Anne / Ann / Anni,Kaustinen,Anna,1,1
Anna / Anne / Ann / Anni,Kauvatsa,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Keila,Ann,1,1
Anna / Anne / Ann / Anni,Keila,Other,1,1
Anna / Anne / Ann / Anni,Kemijärvi,Other,1,1
Anna / Anne / Ann / Anni,Kestilä,Anna,1,1
Anna / Anne / Ann / Anni,Kiestinki,Anni/Annie,2,1
Anna / Anne / Ann / Anni,Kiestinki,Other,2,1
Anna / Anne / Ann / Anni,Kihelkonna,Gift,1,1
Anna / Anne / Ann / Anni,Kihniö,Other,1,1
Anna / Anne / Ann / Anni,Kirvu,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Kitee,Anna,1,1
Anna / Anne / Ann / Anni,Kivennapa,Anni/Annie,3,3
Anna / Anne / Ann / Anni,Kivennapa,Other,1,1
Anna / Anne / Ann / Anni,Kodavere,Ann,1,1
Anna / Anne / Ann / Anni,Kodavere,Anne,6,4
