person_cluster,area_name,variant,observed,expected,standardized_residual,area_total
Anna / Anne / Ann / Anni,Järva-Jaani,Anu,4,0.1488,9.983770916864534,9
Anna / Anne / Ann / Anni,Suojärvi,Anni/Annie,24,4.718933333333333,8.875833265350911,28
Anna / Anne / Ann / Anni,Vuole,Anni/Annie,20,3.5392,8.749805226455281,21
Anna / Anne / Ann / Anni,Narvusi,Anni/Annie,25,5.5616,8.242531954834462,33
Anna / Anne / Ann / Anni,Paatene,Anni/Annie,16,2.6965333333333334,8.101434576301461,16
Anna / Anne / Ann / Anni,Tulemajärvi,Anni/Annie,23,5.056,7.980235871010457,30
Anna / Anne / Ann / Anni,Vuokkiniemi,Anni/Annie,10,1.6853333333333333,6.404746393988448,10
Anna / Anne / Ann / Anni,Soikkola,Anni/Annie,16,4.0448,5.944404027361054,24
Anna / Anne / Ann / Anni,Setumaa,Gift,19,5.4208,5.8323354225987485,42
Anna / Anne / Ann / Anni,Skuoritsa,Anni/Annie,8,1.3482666666666667,5.728579326241928,8
Anna / Anne / Ann / Anni,Jõelähtme,Anna,3,0.24053333333333332,5.626489560514178,11
Anna / Anne / Ann / Anni,Suistamo,Anni/Annie,18,5.393066666666667,5.428646492691898,32
Anna / Anne / Ann / Anni,Koprina,Anni/Annie,10,2.190933333333333,5.275754147426043,13
Anna / Anne / Ann / Anni,Kuusamo,Anni/Annie,8,1.5168,5.264113679149057,9
Anna / Anne / Ann / Anni,Heinävesi,Anna,2,0.1312,5.15936089821683,6
Anna / Anne / Ann / Anni,Käina,Ann,10,2.272,5.126995660915099,10
Anna / Anne / Ann / Anni,Toksova,Anni/Annie,7,1.3482666666666667,4.867363303414505,8
Anna / Anne / Ann / Anni,Puhja,Anu,2,0.1488,4.799012443212408,9
Anna / Anne / Ann / Anni,Rannu,Anu,2,0.1488,4.799012443212408,9
Anna / Anne / Ann / Anni,Suistamo,Other,12,3.345066666666667,4.732180898319691,32
Anna / Anne / Ann / Anni,Ilomantsi,Anni/Annie,10,2.528,4.699464014684701,15
Anna / Anne / Ann / Anni,Kuusalu,Gift,15,4.7754666666666665,4.678811903457476,37
Anna / Anne / Ann / Anni,Pühalepa,Ann,13,3.8624,4.649470736286988,17
Anna / Anne / Ann / Anni,Tyrö,Anni/Annie,5,0.8426666666666667,4.528839606969319,5
Anna / Anne / Ann / Anni,Koivisto,Anni/Annie,8,1.8538666666666668,4.51401221225612,11
Anna / Anne / Ann / Anni,Moloskovitsa,Anni/Annie,7,1.5168,4.452151426072018,9
Anna / Anne / Ann / Anni,Hämeenlinna,Anni/Annie,6,1.1797333333333333,4.4379166326754556,7
Anna / Anne / Ann / Anni,Lempaala,Anni/Annie,6,1.1797333333333333,4.4379166326754556,7
Anna / Anne / Ann / Anni,Rovaniemi,Anni/Annie,6,1.1797333333333333,4.4379166326754556,7
Anna / Anne / Ann / Anni,Pöide,Anu,3,0.36373333333333335,4.371170906389285,22
Anna / Anne / Ann / Anni,Risti,Anna,2,0.17493333333333333,4.363575024205487,8
Anna / Anne / Ann / Anni,Karksi,Anne,35,17.277866666666668,4.263545877723718,52
Anna / Anne / Ann / Anni,Vigala,Ann,21,8.6336,4.208693780236844,38
Anna / Anne / Ann / Anni,Helme,Anne,27,12.293866666666666,4.194249388248161,37
Anna / Anne / Ann / Anni,Kaprio,Anni/Annie,7,1.6853333333333333,4.093861309563494,10
Anna / Anne / Ann / Anni,Korpiselkä,Anni/Annie,6,1.3482666666666667,4.006147280587083,8
Anna / Anne / Ann / Anni,Seiskari,Anni/Annie,6,1.3482666666666667,4.006147280587083,8
Anna / Anne / Ann / Anni,Salmi,Anni/Annie,5,1.0112,3.96664861890019,6
Anna / Anne / Ann / Anni,Varbla,Ann,10,3.1808,3.8235365554345715,14
Anna / Anne / Ann / Anni,Saarde,Anne,19,8.306666666666667,3.7102204365149842,25
Anna / Anne / Ann / Anni,Sakkola,Anni/Annie,6,1.5168,3.6401891729949796,9
Anna / Anne / Ann / Anni,Halliste,Anne,20,9.303466666666667,3.5068779059081057,28
Anna / Anne / Ann / Anni,Hietamäki,Anni/Annie,4,0.8426666666666667,3.4394779311428305,5
Anna / Anne / Ann / Anni,Kontiolahti,Anni/Annie,4,0.8426666666666667,3.4394779311428305,5
Anna / Anne / Ann / Anni,Repola,Anni/Annie,4,0.8426666666666667,3.4394779311428305,5
Anna / Anne / Ann / Anni,Harju-Jaani,Anna,2,0.2624,3.392094108220524,12
Anna / Anne / Ann / Anni,Narvusi,Anu,3,0.5456,3.3228302955493425,33
Anna / Anne / Ann / Anni,Paistu,Anne,31,17.277866666666668,3.3012360253981026,52
Anna / Anne / Ann / Anni,Hargla,Gift,5,1.2906666666666666,3.2650423239845554,10
Anna / Anne / Ann / Anni,Pärnu-Jaagupi,Gift,5,1.2906666666666666,3.2650423239845554,10
Anna / Anne / Ann / Anni,Muhu,Ann,16,7.2704,3.237540363552832,32
Anna / Anne / Ann / Anni,Pöide,Ann,12,4.9984,3.1317118242367097,22
Anna / Anne / Ann / Anni,Ridala,Ann,6,1.8176,3.102247254518732,8
Anna / Anne / Ann / Anni,Kontokki,Anni/Annie,9,3.3706666666666667,3.066189996892954,20
Anna / Anne / Ann / Anni,Sangaste,Gift,8,2.8394666666666666,3.0625007255042402,22
Anna / Anne / Ann / Anni,Tarvastu,Ann,22,11.5872,3.0589915361844247,51
Anna / Anne / Ann / Anni,Kontokki,Ann,11,4.544,3.028617032039635,20
Anna / Anne / Ann / Anni,Liperi,Other,3,0.6272,2.996112447141857,6
Anna / Anne / Ann / Anni,Heinävesi,Anni/Annie,4,1.0112,2.972202013680527,6
Anna / Anne / Ann / Anni,Järva-Madise,Gift,4,1.0325333333333333,2.9203426343373438,8
Anna / Anne / Ann / Anni,Risti,Gift,4,1.0325333333333333,2.9203426343373438,8
Anna / Anne / Ann / Anni,Ilomantsi,Anna,2,0.328,2.9194386363168365,15
Anna / Anne / Ann / Anni,Tulemajärvi,Anna,3,0.656,2.8940477181832973,30
Anna / Anne / Ann / Anni,Lüganuse,Anu,1,0.0992,2.86004286004429,6
Anna / Anne / Ann / Anni,Tõstamaa,Anu,1,0.0992,2.86004286004429,6
Anna / Anne / Ann / Anni,Võnnu,Ann,11,4.7712,2.8516129315179746,21
