person_cluster,area_total_threshold,areas,mentions,variants,chi2,dof,p_value,cramers_v
Mary / Maria / Maarja / Mari,1,391,4683,6,6806.848530642305,1950,0.0,0.5391703012375516
Mary / Maria / Maarja / Mari,5,177,4238,6,5058.608983425024,880,0.0,0.48859619115346725
Mary / Maria / Maarja / Mari,10,103,3756,6,3831.9052125552034,510,0.0,0.45170987492546133
Mary / Maria / Maarja / Mari,20,59,3133,6,2866.2460885618893,290,0.0,0.4277514968177255
Jesus / Christ,1,311,2124,3,1048.7223074287413,620,1.5064407043374882e-24,0.49686453501486877
Jesus / Christ,5,105,1698,3,479.26673070096336,208,1.8527602154396883e-23,0.3756685170700336
Jesus / Christ,10,44,1295,3,295.07117304091173,86,1.0375291228238206e-24,0.3375308783477296
Jesus / Christ,20,19,977,3,157.24795539901706,36,4.279050809793135e-17,0.2836809835165437
John / Jaan / Jussi / Hans,1,333,2418,7,4576.078198277019,1992,4.187643413161924e-204,0.5616204914270412
John / Jaan / Jussi / Hans,5,120,2013,7,3384.0856776902674,714,0.0,0.5293259215779715
John / Jaan / Jussi / Hans,10,75,1733,7,2791.041409741677,444,0.0,0.5180936071229311
John / Jaan / Jussi / Hans,20,27,1089,7,1146.530434023342,156,2.128387604973006e-150,0.4188931210902687
Peter / Pietari / Peeter,1,355,1678,6,3251.930054451045,1770,1.566244541391765e-90,0.6225720472737339
Peter / Pietari / Peeter,5,112,1226,6,1866.9406048429082,555,2.078342735661934e-141,0.5518677473615958
Peter / Pietari / Peeter,10,40,757,6,1116.7936934181103,195,4.6167020924703516e-129,0.5431922118130944
Peter / Pietari / Peeter,20,11,370,6,338.0788711019673,50,2.1484613670787038e-44,0.4274872345822658
Martin / Mart / Märt,1,133,3322,7,5310.755179223,792,0.0,0.5161818162531623
Martin / Mart / Märt,5,75,3230,7,4984.3048593309695,444,0.0,0.5071371345473452
Martin / Mart / Märt,10,59,3119,7,4736.138317301569,348,0.0,0.5030705289589747
Martin / Mart / Märt,20,40,2858,7,4023.14912057028,234,0.0,0.4843689861103014
Catherine / Kadri / Katri,1,220,2002,7,5847.174860114426,1314,0.0,0.6976946279586219
Catherine / Kadri / Katri,5,85,1791,7,4167.772662398766,504,0.0,0.6227713036349619
Catherine / Kadri / Katri,10,58,1630,7,3503.7799808113723,342,0.0,0.5985480028697816
Catherine / Kadri / Katri,20,31,1259,7,2472.4412160169904,180,0.0,0.5721033583048285
Anna / Anne / Ann / Anni,1,245,2116,7,4175.216293677979,1464,2.1295904950787467e-258,0.5734638320529104
Anna / Anne / Ann / Anni,5,108,1875,7,2525.672889727759,642,6.157333439234296e-221,0.4738188017213856
Anna / Anne / Ann / Anni,10,66,1573,7,1897.9942513581018,390,2.634898184663041e-196,0.4484432174526751
Anna / Anne / Ann / Anni,20,36,1196,7,1305.2605076205143,210,2.260025792680651e-157,0.4264885577757891
