p_id,v_id,v_pos,w_pos,county,place_name,area_name,person_cluster,english_variant,word,word_normalised,word_in_english
89256,1189824,1,2,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Mardi/Mard,mardisandid,mardisandid,Mardi-saints
89256,1189826,3,2,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Mardi/Mard,mardipää,mardipääh,Mardi-head
89256,1189827,5,2,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Mardi/Mard,mardisandid,mardisandid,Mardi-saints
89288,1190171,1,1,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Anna / Anne / Ann / Anni,Ann,ann,Ann,Ann
89288,1190178,8,3,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Anna / Anne / Ann / Anni,Ann,anne,Anne,Ann's
89288,1190179,9,3,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Anna / Anne / Ann / Anni,Ann,annekese,anneke[se],little Ann
89288,1190171,11,1,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Anna / Anne / Ann / Anni,Ann,ann,Ann,Ann
89288,1190185,18,3,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Anna / Anne / Ann / Anni,Ann,anne,Anne,Ann's
89288,1190186,19,3,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Anna / Anne / Ann / Anni,Ann,annekese,anneke[se],little Ann
89288,1190171,21,1,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Anna / Anne / Ann / Anni,Ann,ann,Ann,Ann
89288,1190193,31,3,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Anna / Anne / Ann / Anni,Ann,anne,Anne,Ann's
89288,1190195,33,4,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Anna / Anne / Ann / Anni,Ann,annekese,anneke[se],little Ann
89316,1190519,12,3,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Anna / Anne / Ann / Anni,Anne,annekene,Annekene,little Anne
89316,1190525,19,1,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Martin,mart,Mart,Martin
89316,1190526,20,1,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Martin,mardil,Mardil,at Martin's
89316,1190529,23,1,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Martin,mart,Mart,Martin
89316,1190519,26,3,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Anna / Anne / Ann / Anni,Anne,annekene,Annekene,little Anne
89316,1190532,27,1,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Martin,mart,Mart,Martin
89316,1190526,28,1,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Martin,mardil,Mardil,at Martin's
89316,1190535,32,1,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Martin,mardil,Mardil,at Martin's
89316,1190536,33,2,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Martin,mardile,Mardile,to Martin
89316,1190537,34,2,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Martin,mardile,Mardile,to Martin
89316,1190548,45,3,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Martin,mart,Mart,Martin
89316,1190549,46,1,Virumaa,Viru-Jaagupi,Viru-Jaagupi,Martin / Mart / Märt,Martin,mart,Mart,Martin
89447,1192441,6,3,Pärnumaa,Häädemeeste,Häädemeeste,Anna / Anne / Ann / Anni,Anne,annele,Annele,Annele
89597,1194448,2,2,Pärnumaa,Pärnu-Jaagupi,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,Mari,mari,Mari,Mari
89597,1194450,4,2,Pärnumaa,Pärnu-Jaagupi,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,Mari,mari,Mari,Mari
89597,1194451,5,1,Pärnumaa,Pärnu-Jaagupi,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,Mari,mari,Mari,Mari
89597,1194452,6,2,Pärnumaa,Pärnu-Jaagupi,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,Mari,mari,Mari,Mari
89597,1194453,7,2,Pärnumaa,Pärnu-Jaagupi,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,Mari,mari,Mari,Mari
89597,1194454,8,2,Pärnumaa,Pärnu-Jaagupi,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,Mari,mari,Mari,Mari
89597,1194456,11,1,Pärnumaa,Pärnu-Jaagupi,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,Mari,mari,Mari,Mari
89629,1194994,5,1,Tartumaa,Kodavere,Kodavere,Anna / Anne / Ann / Anni,Ann,Ann,Ann,Ann
89629,1194995,6,1,Tartumaa,Kodavere,Kodavere,Catherine / Kadri / Katri,Kadri,kadri,Kadri,Kadri
89702,1195989,1,3,Tartumaa,Sangaste,Sangaste,Martin / Mart / Märt,Martin,märti,Märti,Martin
