person_cluster,area_name,english_variant,mentions,poems
Anna / Anne / Ann / Anni,Alahärmä,Anna,1,1
Anna / Anne / Ann / Anni,Alatornio,Ann,1,1
Anna / Anne / Ann / Anni,Alatornio,Anni/Annie,4,3
Anna / Anne / Ann / Anni,Ambla,Ann,8,7
Anna / Anne / Ann / Anni,Ambla,Anna,3,2
Anna / Anne / Ann / Anni,Ambla,Anne,11,10
Anna / Anne / Ann / Anni,Ambla,Anni/Annie,2,1
Anna / Anne / Ann / Anni,Anseküla,Anna,1,1
Anna / Anne / Ann / Anni,Asikkala,Anna,1,1
Anna / Anne / Ann / Anni,Audru,Ann,26,2
Anna / Anne / Ann / Anni,Audru,Anna,1,1
Anna / Anne / Ann / Anni,Audru,Anne,3,2
Anna / Anne / Ann / Anni,Emmaste,Ann,1,1
Anna / Anne / Ann / Anni,Evijärvi,Ann,1,1
Anna / Anne / Ann / Anni,Forssa,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Halikko,Anna,1,1
Anna / Anne / Ann / Anni,Halikko,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Haljala,Ann,10,9
Anna / Anne / Ann / Anni,Haljala,Anna,1,1
Anna / Anne / Ann / Anni,Haljala,Anne,34,25
Anna / Anne / Ann / Anni,Haljala,Anni/Annie,2,2
Anna / Anne / Ann / Anni,Haljala,Anu,1,1
Anna / Anne / Ann / Anni,Halliste,Ann,3,2
Anna / Anne / Ann / Anni,Halliste,Anna,1,1
Anna / Anne / Ann / Anni,Halliste,Anne,20,12
Anna / Anne / Ann / Anni,Hanila,Ann,1,1
Anna / Anne / Ann / Anni,Hargla,Anna,3,3
Anna / Anne / Ann / Anni,Hargla,Anne,4,2
Anna / Anne / Ann / Anni,Harju-Jaani,Ann,5,3
Anna / Anne / Ann / Anni,Harju-Jaani,Anna,16,5
Anna / Anne / Ann / Anni,Harju-Jaani,Anne,4,4
Anna / Anne / Ann / Anni,Harju-Jaani,Anu,1,1
Anna / Anne / Ann / Anni,Hattula,Anna,3,3
Anna / Anne / Ann / Anni,Hattula,Anni/Annie,3,3
Anna / Anne / Ann / Anni,Hausjärvi,Anna,1,1
Anna / Anne / Ann / Anni,Heinjoki,Anni/Annie,3,3
Anna / Anne / Ann / Anni,Heinävesi,Anna,4,4
Anna / Anne / Ann / Anni,Heinävesi,Anni/Annie,4,4
Anna / Anne / Ann / Anni,Helme,Ann,7,6
Anna / Anne / Ann / Anni,Helme,Anna,4,2
Anna / Anne / Ann / Anni,Helme,Anne,29,17
Anna / Anne / Ann / Anni,Helme,Anni/Annie,2,1
Anna / Anne / Ann / Anni,Helsinki,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Hietamäki,Anni/Annie,5,3
Anna / Anne / Ann / Anni,Hollola,Anni/Annie,2,2
Anna / Anne / Ann / Anni,Hämeenlinna,Anni/Annie,8,8
Anna / Anne / Ann / Anni,Häädemeeste,Ann,1,1
Anna / Anne / Ann / Anni,Häädemeeste,Anna,1,1
Anna / Anne / Ann / Anni,Häädemeeste,Anne,10,7
Anna / Anne / Ann / Anni,Iisaku,Anne,4,4
Anna / Anne / Ann / Anni,Iitti,Anni/Annie,2,2
Anna / Anne / Ann / Anni,Ilomantsi,Ann,4,3
Anna / Anne / Ann / Anni,Ilomantsi,Anna,3,2
Anna / Anne / Ann / Anni,Ilomantsi,Anni/Annie,11,6
Anna / Anne / Ann / Anni,Impilahti,Ann,1,1
Anna / Anne / Ann / Anni,Impilahti,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Impilahti,Anu,1,1
Anna / Anne / Ann / Anni,Isokyrö,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Janakkala,Ann,1,1
Anna / Anne / Ann / Anni,Janakkala,Anna,1,1
Anna / Anne / Ann / Anni,Joensuu,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Joroinen,Anna,2,2
Anna / Anne / Ann / Anni,Juuru,Ann,2,2
Anna / Anne / Ann / Anni,Juuru,Anna,1,1
Anna / Anne / Ann / Anni,Juva,Anna,2,2
Anna / Anne / Ann / Anni,Jällivaara,Anna,1,1
Anna / Anne / Ann / Anni,Jämaja,Anne,3,1
Anna / Anne / Ann / Anni,Järva-Jaani,Ann,2,1
Anna / Anne / Ann / Anni,Järva-Jaani,Anne,2,2
Anna / Anne / Ann / Anni,Järva-Jaani,Anu,4,1
Anna / Anne / Ann / Anni,Järva-Madise,Anne,5,5
Anna / Anne / Ann / Anni,Jõelähtme,Ann,5,4
Anna / Anne / Ann / Anni,Jõelähtme,Anna,3,1
Anna / Anne / Ann / Anni,Jõelähtme,Anne,2,2
Anna / Anne / Ann / Anni,Jõhvi,Ann,14,5
Anna / Anne / Ann / Anni,Jõhvi,Anna,1,1
Anna / Anne / Ann / Anni,Jõhvi,Anne,4,3
Anna / Anne / Ann / Anni,Jüri,Ann,1,1
Anna / Anne / Ann / Anni,Jüri,Anne,5,4
Anna / Anne / Ann / Anni,Kaarma,Ann,3,2
Anna / Anne / Ann / Anni,Kaarma,Anne,1,1
Anna / Anne / Ann / Anni,Kaavi,Anna,1,1
Anna / Anne / Ann / Anni,Kadrina,Ann,20,9
Anna / Anne / Ann / Anni,Kadrina,Anna,4,3
Anna / Anne / Ann / Anni,Kadrina,Anne,29,17
Anna / Anne / Ann / Anni,Kadrina,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Kalajoki,Anna,1,1
Anna / Anne / Ann / Anni,Kambja,Anna,1,1
Anna / Anne / Ann / Anni,Kambja,Anne,2,2
Anna / Anne / Ann / Anni,Kanepi,Anna,3,3
Anna / Anne / Ann / Anni,Kanepi,Anne,7,5
Anna / Anne / Ann / Anni,Kangaslampi,Anna,2,2
Anna / Anne / Ann / Anni,Kangasniemi,Anna,1,1
Anna / Anne / Ann / Anni,Kaprio,Ann,3,2
Anna / Anne / Ann / Anni,Kaprio,Anni/Annie,7,3
Anna / Anne / Ann / Anni,Karja,Ann,6,1
Anna / Anne / Ann / Anni,Karja,Anne,4,2
Anna / Anne / Ann / Anni,Karksi,Anna,8,3
Anna / Anne / Ann / Anni,Karksi,Anne,37,21
Anna / Anne / Ann / Anni,Karstula,Anni/Annie,2,2
Anna / Anne / Ann / Anni,Karttula,Anna,1,1
Anna / Anne / Ann / Anni,Karula,Ann,1,1
Anna / Anne / Ann / Anni,Karula,Anne,3,2
Anna / Anne / Ann / Anni,Karuna,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Karunki,Anni/Annie,3,2
Anna / Anne / Ann / Anni,Karuse,Ann,8,4
Anna / Anne / Ann / Anni,Karuse,Anna,2,1
Anna / Anne / Ann / Anni,Karuse,Anne,5,3
Anna / Anne / Ann / Anni,Kattila,Anu,4,2
Anna / Anne / Ann / Anni,Kauhajoki,Anni/Annie,2,2
Anna / Anne / Ann / Anni,Kaustinen,Anna,1,1
Anna / Anne / Ann / Anni,Kauvatsa,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Keila,Ann,2,2
Anna / Anne / Ann / Anni,Kemijärvi,Anna,1,1
Anna / Anne / Ann / Anni,Kerimäki,Anna,3,2
Anna / Anne / Ann / Anni,Kestilä,Anna,1,1
Anna / Anne / Ann / Anni,Kiestinki,Ann,2,1
Anna / Anne / Ann / Anni,Kiestinki,Anni/Annie,2,1
Anna / Anne / Ann / Anni,Kihniö,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Kihnu,Ann,1,1
Anna / Anne / Ann / Anni,Kiihtelysvaara,Anna,2,2
Anna / Anne / Ann / Anni,Kirvu,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Kitee,Anna,1,1
Anna / Anne / Ann / Anni,Kittilä,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Kiuruvesi,Anna,1,1
Anna / Anne / Ann / Anni,Kivennapa,Anna,1,1
Anna / Anne / Ann / Anni,Kivennapa,Anni/Annie,4,4
Anna / Anne / Ann / Anni,Kivijärvi,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Kodavere,Ann,1,1
Anna / Anne / Ann / Anni,Kodavere,Anne,6,4
Anna / Anne / Ann / Anni,Kodavere,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Koeru,Ann,8,3
Anna / Anne / Ann / Anni,Koeru,Anne,18,6
Anna / Anne / Ann / Anni,Koivisto,Ann,2,2
Anna / Anne / Ann / Anni,Koivisto,Anni/Annie,10,5
Anna / Anne / Ann / Anni,Kokemäki,Anna,2,1
Anna / Anne / Ann / Anni,Kokkola,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Kolga-Jaani,Ann,14,9
Anna / Anne / Ann / Anni,Kolga-Jaani,Anne,30,13
Anna / Anne / Ann / Anni,Kolga-Jaani,Anu,1,1
Anna / Anne / Ann / Anni,Kontiolahti,Anni/Annie,6,5
Anna / Anne / Ann / Anni,Kontokki,Ann,11,3
Anna / Anne / Ann / Anni,Kontokki,Anni/Annie,9,4
Anna / Anne / Ann / Anni,Koprina,Anni/Annie,13,3
Anna / Anne / Ann / Anni,Korpilahti,Anni/Annie,1,1
Anna / Anne / Ann / Anni,Korpiselkä,Ann,1,1
Anna / Anne / Ann / Anni,Korpiselkä,Anni/Annie,7,5
Anna / Anne / Ann / Anni,Kose,Ann,8,5
Anna / Anne / Ann / Anni,Kose,Anna,5,2
Anna / Anne / Ann / Anni,Kose,Anne,13,9
