person_cluster,area_total_threshold,areas,mentions,variants,chi2,dof,p_value,cramers_v
Jesus / Christ,1,312,2158,2,619.9616587146581,311,1.0011181018229375e-22,0.5359900104865403
Jesus / Christ,5,106,1729,2,255.2692922815334,105,1.5829130816312778e-14,0.3842393071510753
Jesus / Christ,10,46,1334,2,126.64522726517481,45,1.0738565569475632e-09,0.30811759479583395
Jesus / Christ,20,20,1007,2,72.20285174641975,19,3.943314011058543e-08,0.2677703216013795
Mary / Maria / Maarja / Mari,1,396,3881,4,3738.4736318993055,1185,1.1068885464738171e-261,0.5666497639510395
Mary / Maria / Maarja / Mari,5,172,3416,4,2732.278330162372,513,1.489450239794618e-298,0.5163484890224491
Mary / Maria / Maarja / Mari,10,95,2909,4,1935.654898721854,282,4.2486398181972115e-244,0.47095723983298154
Mary / Maria / Maarja / Mari,20,48,2233,4,1356.5174334949177,141,1.2875074296006667e-197,0.4499950130746409
John / Jaan / Jussi / Hans,1,336,2680,6,4759.238406217174,1675,9.229240033069245e-293,0.5959589291554307
John / Jaan / Jussi / Hans,5,123,2290,6,3811.716485142927,610,0.0,0.5769757387180602
John / Jaan / Jussi / Hans,10,75,1990,6,3199.308015782341,370,0.0,0.5670436438656874
John / Jaan / Jussi / Hans,20,33,1397,6,891.7088506007808,160,6.122731289673234e-102,0.3572961474053705
Peter / Pietari / Peeter,1,349,1625,4,2109.9899031315617,1044,1.8504698838972967e-74,0.6578893840669666
Peter / Pietari / Peeter,5,109,1161,4,1263.0276418172539,324,7.012730678637179e-111,0.6021846632016208
Peter / Pietari / Peeter,10,36,687,4,711.9048644030246,105,6.73813050171512e-91,0.5877220494217723
Peter / Pietari / Peeter,20,10,335,4,257.04015276462223,27,2.277642853576969e-39,0.5057285299787327
Martin / Mart / Märt,1,136,2925,4,3434.529835115025,405,0.0,0.6256192223782128
Martin / Mart / Märt,5,72,2817,4,3171.80116399679,213,0.0,0.6126309397368823
Martin / Mart / Märt,10,59,2730,4,3060.376268300762,174,0.0,0.6112874250561998
Martin / Mart / Märt,20,37,2447,4,2622.7921940256765,108,0.0,0.5977290030140983
Catherine / Kadri / Katri,1,220,2213,5,4255.442480319538,876,0.0,0.6933486267068657
Catherine / Kadri / Katri,5,95,2009,5,3047.9395098338655,376,0.0,0.6158617160446254
Catherine / Kadri / Katri,10,63,1794,5,2390.1190560772234,248,0.0,0.5771232254918057
Catherine / Kadri / Katri,20,37,1440,5,1723.0613656133123,144,2.2586091743690438e-268,0.5469393002854664
Anna / Anne / Ann / Anni,1,274,2152,5,3808.547423592077,1092,1.4800679538653918e-296,0.6651637218792709
Anna / Anne / Ann / Anni,5,109,1856,5,2513.6103610686196,432,8.590530742563455e-290,0.581875400601345
Anna / Anne / Ann / Anni,10,69,1586,5,1931.01750806988,272,1.8300530386723573e-247,0.5517108419276792
Anna / Anne / Ann / Anni,20,37,1171,5,1315.9616395362382,144,2.854546935902541e-188,0.5300455242714739
Ilmarinen,1,73,291,2,151.39324208203908,72,1.380256800378539e-07,0.721284750291846
Ilmarinen,5,15,190,2,80.76504273133486,14,2.0403944852778186e-11,0.6519809600518894
Ilmarinen,10,3,115,2,7.586263870047654,2,0.022524944599017667,0.256841413937585
Ilmarinen,20,2,101,2,1.2938320067226317,1,0.25534295980517396,0.1131822330948762
Väinämöinen,1,131,1242,2,303.61769270384764,130,6.37018372905254e-16,0.49442763856570066
Väinämöinen,5,45,1097,2,159.30196879400108,44,5.689484532833759e-15,0.381072191728845
Väinämöinen,10,30,998,2,84.1406694743525,29,2.8239070658789e-07,0.29036061725112344
Väinämöinen,20,11,740,2,50.25240382458874,10,2.398420255945767e-07,0.26059288903769384
Lemminkäinen,1,34,290,2,141.1312685609361,33,2.4966416564039365e-15,0.6976098814967063
Lemminkäinen,5,12,251,2,95.26950614861329,11,1.5359874497774529e-15,0.6160842356793773
Lemminkäinen,10,9,232,2,84.59095547309833,8,5.796808512588083e-15,0.6038345695503401
Lemminkäinen,20,4,167,2,29.914945246391238,3,1.4380946014527339e-06,0.42323918611232747
