person_cluster,english_variant,mentions_total,share_total,mapped_mentions,share_among_mapped,areas,top_areas,top_counties,top_raw_word_in_english,total_group_mentions,mapped_group_mentions
Jesus / Christ,Jesus,2054,0.9036515618125824,1948,0.9026876737720111,291,Suistamo (172); Narvusi (88); Lempaala (85); Setumaa (65); Suojärvi (56); Vastseliina (47); Ilomantsi (46); Kitee (44); Liissilä (36); Salmi (32),Laatokan Karjala (Raja-Karjala) (351); Pohjois-Karjala (205); Häme (139); Keski-Inkeri (129); Länsi-Inkeri (117); Itä- ja Pohjois-Inkeri (116); Võrumaa (95); Etelä-Savo (76),Jesus (1369); Jesus's (467); to Jesus (42); little Jesus (40); Jesus' (33); from Jesus (22); of Jesus (12); dear Jesus (9); Kiesus's (9); of Kiesus (8),2273,2158
Jesus / Christ,Christ,219,0.0963484381874175,210,0.09731232622798888,93,Ilomantsi (13); Salmi (12); Narvusi (11); Suistamo (11); Korpiselkä (8); Kuusalu (6); Soikkola (5); Liissilä (5); Saarde (4); Laiuse (4),Laatokan Karjala (Raja-Karjala) (38); Länsi-Inkeri (17); Pohjois-Karjala (17); Tartumaa (15); Aunus (15); Häme (13); Varsinais-Suomi (13); Etelä-Pohjanmaa (9),Christ (153); Christ's (54); from Christ (3); to Christ (3); Andrew-Christ (1); of Christ (1); Christ's land (1); into Christ (1); Lord Christ (1); Christ's jury (1),2273,2158
Jesus / Christ,Other,0,0.0,0,0.0,0,,,,2273,2158
Mary / Maria / Maarja / Mari,Mary,2006,0.4771646051379638,1887,0.4862148930687967,293,Setumaa (119); Narvusi (99); Karksi (68); Suojärvi (60); Suistamo (58); Soikkola (52); Viljandi (42); Helme (32); Vastseliina (30); Kaprio (30),Laatokan Karjala (Raja-Karjala) (193); Viljandimaa (189); Länsi-Inkeri (154); Pärnumaa (142); Setumaa (119); Pohjois-Karjala (117); Tartumaa (96); Virumaa (92),Mary (1413); Mary's (334); to Mary (55); from Mary (48); Virgin Mary (25); little Mary (19); into Mary (11); Little Mary (10); with Mary (7); dear Mary (5),4204,3881
Mary / Maria / Maarja / Mari,Mari,989,0.2352521408182683,888,0.22880700850296315,131,Risti (32); Rõuge (28); Jõhvi (28); Narvusi (27); Karksi (26); Palamuse (26); Kolga-Jaani (25); Tori (24); Paistu (22); Setumaa (19),Viljandimaa (129); Pärnumaa (113); Tartumaa (111); Virumaa (105); Harjumaa (86); Läänemaa (68); Võrumaa (64); Järvamaa (45),Mari (695); little Mari (82); Mari's (37); to Mari (21); Maari (16); Mari (obj.) (16); on Mari (15); Little Mari (12); from Mari (12); at Mari's (9),4204,3881
Mary / Maria / Maarja / Mari,Maija/Maie,983,0.23382492863939106,899,0.2316413295542386,231,Narvusi (189); Soikkola (36); Simuna (29); Pöide (24); Kodavere (19); Karksi (16); Haljala (15); Saarijärvi (15); Viru-Nigula (12); Helme (12),Länsi-Inkeri (225); Virumaa (93); Häme (71); Varsinais-Suomi (69); Satakunta (46); Viljandimaa (36); Saaremaa (36); Pärnumaa (33),Maija (373); Maie (271); Maija's (80); little Maie (31); Maije (31); Maie's (16); to Maija (12); Black-Maija (12); Maije's (10); to Maie (8),4204,3881
Mary / Maria / Maarja / Mari,Maria/Maaria,226,0.053758325404376785,207,0.053336768874001544,98,Viljandi (12); Soikkola (10); Suistamo (8); Huittinen (6); Tyrö (6); Halliste (5); Karksi (5); Tervo (5); Kuusalu (4); Repola (4),Laatokan Karjala (Raja-Karjala) (20); Viljandimaa (16); Pohjois-Savo (15); Keski-Inkeri (15); Kainuu (14); Etelä-Pohjanmaa (14); Länsi-Inkeri (14); Satakunta (12),Maria (98); to Maria (18); from Maria (16); from Maaria (13); Maaria (13); Maria's (12); Maaria's (8); to Maaria (7); to Maarja (6); Maarja (5),4204,3881
Mary / Maria / Maarja / Mari,Other,0,0.0,0,0.0,0,,,,4204,3881
John / Jaan / Jussi / Hans,Jussi,657,0.22717842323651452,629,0.23470149253731343,239,Uskela (17); Muurla (17); Heinävesi (14); Hattula (14); Saarijärvi (13); Nurmes (11); Vuokkiniemi (11); Tammela (10); Kiuruvesi (10); Mynämäki (8),Häme (116); Varsinais-Suomi (84); Pohjois-Savo (60); Satakunta (48); Pohjois-Karjala (48); Etelä-Savo (43); Etelä-Karjala (43); Etelä-Pohjanmaa (41),Jussi (528); Jussi's (73); Jussi (name) (5); rooster-Jussi (3); Jussi (John) (3); Tar-Jussi's (2); from Jussi (2); Jussi-bag (2); house Jussi (2); at Jussi's (2),2892,2680
John / Jaan / Jussi / Hans,Jaan/Jaani,715,0.24723374827109268,676,0.25223880597014925,86,Paistu (60); Karksi (41); Helme (38); Halliste (31); Karuse (29); Kolga-Jaani (27); Kuusalu (21); Muhu (17); Märjamaa (15); Tori (15),Viljandimaa (172); Pärnumaa (123); Läänemaa (98); Tartumaa (73); Harjumaa (61); Järvamaa (40); Virumaa (38); Saaremaa (34),Jaan (244); Jaan's (161); little Jaan (116); with Jaan (36); Jaanik's (24); Little Jaan (16); Jaani's (15); Jaani (12); to Jaan (12); on Jaan (8),2892,2680
